Player,Tm,Pos,RushingTD
C.MCCAFFREY,CAR,RB,15.0
D.HENRY,TEN,RB,16.0
A.JONES,GB,RB,16.0
E.ELLIOTT,DAL,RB,12.0
D.COOK,MIN,RB,13.0
N.CHUBB,CLE,RB,8.0
A.EKELER,LAC,RB,3.0
M.INGRAM,BAL,RB,10.0
C.CARSON,SEA,RB,7.0
S.BARKLEY,NYG,RB,6.0
J.MIXON,CIN,RB,5.0
T.GURLEY,LA,RB,12.0
L.FOURNETTE,JAX,RB,3.0
J.JACOBS,OAK,RB,7.0
M.SANDERS,PHI,RB,3.0
A.KAMARA,NO,RB,5.0
M.MACK,IND,RB,8.0
K.DRAKE,2TM,RB,8.0
P.LINDSAY,DEN,RB,7.0
R.MOSTERT,SF,RB,8.0
L.BELL,NYJ,RB,3.0
D.MONTGOMERY,CHI,RB,6.0
C.HYDE,HOU,RB,6.0
S.MICHEL,NE,RB,7.0
D.FREEMAN,ATL,RB,2.0
M.GORDON,LAC,RB,8.0
R.JONES,TB,RB,6.0
A.PETERSON,WAS,RB,5.0
J.WHITE,NE,RB,1.0
L.MURRAY,NO,RB,5.0
D.SINGLETARY,BUF,RB,2.0
T.COLEMAN,SF,RB,6.0
J.CONNER,PIT,RB,4.0
D.WILLIAMS,KC,RB,5.0
D.JOHNSON,HOU,RB,2.0
J.WILLIAMS,GB,RB,1.0
D.JOHNSON,ARI,RB,2.0
P.BARBER,TB,RB,6.0
J.HOWARD,PHI,RB,6.0
R.FREEMAN,DEN,RB,3.0
L.MCCOY,KC,RB,4.0
G.EDWARDS,BAL,RB,2.0
D.WASHINGTON,OAK,RB,3.0
T.COHEN,CHI,RB,0.0
M.BREIDA,SF,RB,1.0
F.GORE,BUF,RB,2.0
K.JOHNSON,DET,RB,3.0
R.BURKHEAD,NE,RB,3.0
N.HINES,IND,RB,2.0
T.POLLARD,DAL,RB,2.0
B.SCOTT,PHI,RB,5.0
C.EDMONDS,ARI,RB,4.0
R.PENNY,SEA,RB,3.0
K.HUNT,CLE,RB,2.0
A.MATTISON,MIN,RB,1.0
M.BROWN,LA,RB,5.0
B.HILL,ATL,RB,2.0
J.SAMUELS,PIT,RB,1.0
B.SNELL,PIT,RB,2.0
