,Player,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN,FPTS
0,Pittsburgh Steelers,3.6,1.1,0.7,0.9,0.2,0.1,16.1,287.1,9.4
1,Indianapolis Colts,2.3,1.2,0.6,1.0,0.2,0.1,17.2,325.0,8.1
2,New England Patriots,2.6,1.1,0.5,0.7,0.2,0.0,19.5,340.7,7.9
3,Buffalo Bills,1.9,1.2,0.6,1.1,0.2,0.0,15.3,302.6,7.7
4,New Orleans Saints,2.3,1.0,0.6,0.8,0.2,0.0,18.1,332.5,7.4
5,Los Angeles Rams,3.2,0.9,0.6,0.8,0.2,0.0,21.8,350.5,7.1
6,San Francisco 49ers,2.7,0.9,0.7,0.9,0.2,0.0,20.4,308.7,7.0
7,Las Vegas Raiders,2.6,0.8,0.7,1.0,0.2,0.0,21.8,347.7,6.7
8,Minnesota Vikings,2.7,0.9,0.6,1.0,0.1,0.1,27.3,392.0,6.5
9,Arizona Cardinals,2.3,0.9,0.8,1.5,0.1,0.0,23.2,349.6,6.5
10,Dallas Cowboys,2.5,0.9,0.5,0.9,0.2,0.0,20.2,351.6,6.4
11,Miami Dolphins,2.6,0.8,0.6,1.1,0.2,0.1,20.1,336.0,6.2
12,Houston Texans,2.7,0.7,0.6,0.9,0.1,0.0,23.7,343.1,6.2
13,Cleveland Browns,2.5,0.8,0.5,0.7,0.1,0.0,24.5,339.8,6.1
14,Cincinnati Bengals,2.4,0.8,0.6,0.8,0.1,0.0,22.0,360.2,6.0
15,Philadelphia Eagles,2.4,0.8,0.6,0.7,0.1,0.1,23.6,364.4,5.9
16,Los Angeles Chargers,2.2,0.7,0.6,0.9,0.1,0.0,23.2,335.2,5.8
17,Kansas City Chiefs,2.3,0.8,0.5,0.8,0.1,0.0,21.2,346.1,5.8
18,Green Bay Packers,1.9,0.9,0.6,1.0,0.1,0.0,25.7,393.2,5.8
19,Baltimore Ravens,2.1,0.7,0.6,0.9,0.2,0.0,21.8,384.5,5.8
20,Carolina Panthers,2.1,0.8,0.6,0.9,0.1,0.0,22.2,328.7,5.7
21,New York Giants,2.1,0.7,0.6,0.9,0.1,0.1,23.7,367.9,5.6
22,Atlanta Falcons,1.9,0.8,0.5,0.8,0.1,0.0,25.5,327.0,5.5
23,New York Jets,2.0,0.7,0.6,0.9,0.1,0.1,28.3,359.5,5.5
24,Denver Broncos,1.8,0.7,0.5,0.8,0.1,0.0,29.3,410.0,5.1
25,Chicago Bears,1.7,0.7,0.5,0.8,0.1,0.0,23.1,339.0,5.0
26,Tennessee Titans,1.7,0.7,0.5,0.8,0.1,0.0,28.9,393.9,4.7
27,Jacksonville Jaguars,1.5,0.6,0.5,0.6,0.1,0.0,30.6,416.2,4.6
