,Player,FG,FGA,XPT,FPTS
0,Greg ZuerleinDAL,2.0,2.4,2.9,8.9
1,Nick FolkNE,2.1,2.5,2.4,8.8
2,Robbie GouldSF,1.8,2.2,2.9,8.3
3,Ryan SuccopTB,1.7,2.1,2.9,8.0
4,Chris BoswellPIT,2.0,2.2,2.0,7.9
5,Michael BadgleyIND,1.8,2.1,2.5,7.8
6,Tyler BassBUF,1.8,2.2,2.3,7.7
7,Greg JosephMIN,1.8,2.1,2.2,7.6
8,Dustin HopkinsLAC,1.7,2.0,2.4,7.6
9,Justin TuckerBAL,1.7,2.0,2.5,7.6
10,Younghoe KooATL,1.8,2.1,2.2,7.6
11,Evan McPhersonCIN,1.8,2.1,2.3,7.6
12,Zane GonzalezCAR,1.8,2.1,2.0,7.5
13,Joey SlyeWAS,1.8,2.2,1.9,7.4
14,Brandon McManusDEN,1.8,2.1,2.1,7.4
15,Matt GayLAR,1.7,1.9,2.3,7.3
16,Jake ElliottPHI,1.7,2.0,2.0,7.2
17,Graham GanoNYG,1.8,2.0,1.9,7.2
18,Daniel CarlsonLV,1.7,2.0,2.0,7.1
19,Ka'imi FairbairnHOU,1.5,1.9,2.5,7.1
20,Cairo SantosCHI,1.7,2.0,1.9,7.0
21,Mason CrosbyGB,1.5,1.8,2.5,7.0
22,Jason MyersSEA,1.4,1.7,2.5,6.8
23,Randy BullockTEN,1.6,1.9,1.9,6.8
24,Chase McLaughlinCLE,1.6,1.8,2.0,6.7
25,Ryan SantosoLAR,1.7,1.9,1.7,6.7
26,Matthew WrightJAC,1.5,1.8,2.2,6.6
27,Brett MaherNO,1.6,1.8,1.9,6.5
28,Jason SandersMIA,1.4,1.8,2.1,6.4
29,Matt AmmendolaNYJ,1.3,1.6,2.0,6.0
30,Riley PattersonDET,1.4,1.6,1.6,5.7
31,Austin SeibertDET,1.0,1.0,2.0,5.0
32,Brian JohnsonWAS,1.0,1.2,1.0,4.0
