,Player,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
0,Najee HarrisPIT,19.7,77.1,0.7,4.8,39.7,0.2,0.1,16.6
1,Jonathan TaylorIND,17.3,82.6,0.9,2.8,24.7,0.1,0.1,16.4
2,Austin EkelerLAC,14.5,63.1,0.6,5.0,44.3,0.3,0.1,15.8
3,Dalvin CookMIN,17.5,80.8,0.6,3.2,25.4,0.1,0.1,14.6
4,Ezekiel ElliottDAL,17.5,77.6,0.7,2.3,17.9,0.1,0.1,13.9
5,Antonio GibsonWAS,16.0,70.2,0.7,2.1,18.9,0.1,0.1,13.5
6,Chuba HubbardCAR,16.5,69.9,0.6,3.0,23.2,0.1,0.1,12.9
7,D'Andre SwiftDET,10.6,44.4,0.4,5.4,45.2,0.3,0.1,12.5
8,Khalil HerbertCHI,16.4,66.7,0.6,2.0,15.5,0.1,0.1,11.7
9,Myles GaskinMIA,11.4,49.3,0.3,4.1,32.0,0.2,0.1,11.0
10,Josh JacobsLV,15.2,58.9,0.5,2.3,16.5,0.0,0.1,10.8
11,Melvin Gordon IIIDEN,12.6,57.0,0.6,1.8,13.4,0.1,0.1,10.6
12,Darrel WilliamsKC,13.7,52.2,0.6,2.1,16.4,0.1,0.1,10.5
13,Zack MossBUF,11.9,48.0,0.5,1.7,14.4,0.1,0.1,9.8
14,Alex CollinsSEA,14.0,56.7,0.4,1.6,14.1,0.0,0.1,9.8
15,Damien HarrisNE,13.1,57.1,0.5,1.1,9.3,0.0,0.2,9.6
16,Latavius MurrayBAL,12.3,53.3,0.5,1.1,7.8,0.0,0.1,9.2
17,Devontae BookerNYG,12.8,49.3,0.3,2.5,17.6,0.1,0.1,9.1
18,Javonte WilliamsDEN,10.7,47.9,0.3,2.2,17.1,0.1,0.1,8.5
19,Jamaal WilliamsDET,10.9,44.1,0.2,2.3,16.4,0.1,0.1,7.9
20,James ConnerARI,10.3,39.0,0.4,1.0,7.8,0.0,0.1,6.8
21,Devin SingletaryBUF,8.6,37.4,0.2,1.8,12.9,0.1,0.1,6.4
22,J.D. McKissicWAS,3.7,16.1,0.1,3.7,29.1,0.2,0.0,6.0
23,AJ DillonGB,8.4,35.5,0.2,1.4,12.0,0.0,0.1,5.9
24,Nyheim HinesIND,4.3,18.3,0.1,3.0,24.9,0.1,0.1,5.8
