,Player,REC,YDS,TDS,FL,FPTS
0,Travis KelceKC,7.1,89.4,0.8,0.1,13.4
1,Darren WallerLV,6.8,80.3,0.6,0.1,11.4
2,George KittleSF,5.4,69.0,0.5,0.1,10.1
3,Mark AndrewsBAL,4.9,59.1,0.6,0.0,9.5
4,Rob GronkowskiTB,3.5,44.3,0.6,0.0,8.2
5,Noah FantDEN,4.6,54.8,0.5,0.0,8.2
6,Tyler HigbeeLAR,4.0,44.1,0.4,0.0,6.7
7,Jared CookLAC,3.7,45.6,0.4,0.0,6.7
8,Jonnu SmithNE,3.2,34.2,0.4,0.0,5.8
9,Kyle PittsATL,4.2,45.5,0.2,0.0,5.8
10,Austin HooperCLE,3.3,35.7,0.3,0.0,5.2
11,Cole KmetCHI,3.5,36.2,0.2,0.0,5.0
12,Hunter HenryNE,3.0,34.5,0.2,0.0,4.8
13,Mike GesickiMIA,2.9,34.2,0.2,0.0,4.8
14,Gerald EverettSEA,2.8,31.2,0.2,0.0,4.6
15,Hayden HurstATL,3.2,32.6,0.2,0.0,4.4
16,Dawson KnoxBUF,2.5,29.4,0.2,0.0,4.2
17,Eric EbronPIT,2.7,29.3,0.2,0.0,4.2
18,Zach ErtzARI,2.9,30.0,0.2,0.0,4.0
19,Adam TrautmanNO,2.5,28.2,0.2,0.0,3.9
20,Anthony FirkserTEN,2.7,30.7,0.1,0.0,3.9
21,Dalton SchultzDAL,2.8,28.6,0.2,0.0,3.8
22,David NjokuCLE,1.9,25.8,0.2,0.0,3.6
23,Albert OkwuegbunamDEN,2.3,26.2,0.2,0.1,3.6
24,Tyler ConklinMIN,2.7,29.0,0.1,0.0,3.6
25,Jack DoyleIND,2.4,24.5,0.2,0.0,3.4
26,C.J. UzomahCIN,2.5,25.7,0.1,0.0,3.4
27,Blake JarwinDAL,2.3,24.7,0.2,0.0,3.4
28,Kyle RudolphNYG,2.5,24.1,0.1,0.0,3.3
29,Dan ArnoldJAC,1.8,22.7,0.2,0.0,3.3
30,Tyler KroftNYJ,2.3,24.3,0.1,0.0,3.2
31,Pharaoh BrownHOU,2.0,24.4,0.1,0.0,3.1
32,Juwan JohnsonNO,1.8,22.6,0.1,0.0,3.0
33,Will DisslySEA,1.8,19.8,0.2,0.0,2.9
34,Jordan AkinsHOU,2.1,22.2,0.1,0.0,2.9
35,Pat FreiermuthPIT,1.7,18.5,0.1,0.0,2.6
36,Mo Alie-CoxIND,1.8,19.8,0.1,0.0,2.6
37,Harrison BryantCLE,1.2,13.8,0.2,0.0,2.2
38,Jimmy GrahamCHI,1.2,13.8,0.1,0.0,2.0
39,Geoff SwaimTEN,1.3,13.3,0.1,0.0,1.8
40,Cameron BrateTB,1.1,11.4,0.1,0.0,1.7
41,O.J. HowardTB,0.9,12.4,0.1,0.0,1.6
42,Durham SmytheMIA,1.2,11.0,0.1,0.0,1.6
43,Marcedes LewisGB,0.8,10.1,0.1,0.0,1.5
44,Demetrius HarrisARI,0.9,9.2,0.1,0.0,1.4
45,Chris Herndon IVMIN,0.9,9.8,0.1,0.0,1.3
46,Drew SampleCIN,1.3,10.6,0.0,0.0,1.3
47,Chris ManhertzJAC,0.9,10.9,0.0,0.0,1.3
48,Stephen AndersonLAC,0.8,8.1,0.1,0.0,1.3
49,Kaden SmithNYG,1.1,9.0,0.1,0.0,1.3
50,Noah GrayKC,0.9,8.6,0.1,0.0,1.2
51,Ian ThomasCAR,1.0,8.7,0.0,0.0,1.1
52,Deon YelderARI,0.7,7.4,0.1,0.0,1.1
53,Adam ShaheenMIA,0.7,6.9,0.1,0.0,1.0
54,Eric SaubertDEN,0.6,5.9,0.1,0.0,1.0
55,Jacob HarrisLAR,0.5,6.7,0.1,0.0,1.0
56,Dominique DafneyGB,0.5,5.5,0.1,0.0,0.9
57,Josh OliverBAL,0.7,7.6,0.0,0.0,0.9
58,Tommy SweeneyBUF,0.6,7.9,0.0,0.0,0.9
59,Foster MoreauLV,0.5,5.8,0.1,0.0,0.9
60,Luke FarrellJAC,0.6,5.7,0.1,0.0,0.9
61,Ross DwelleySF,0.5,5.8,0.0,0.0,0.7
62,MyCole PruittTEN,0.5,4.3,0.1,0.0,0.7
63,Tommy TrembleCAR,0.5,5.2,0.0,0.0,0.7
64,Zach GentryPIT,0.5,4.6,0.0,0.0,0.7
65,Evan EngramNYG,1.0,7.0,0.0,0.0,0.7
66,Ben EllefsonMIN,0.7,7.0,0.0,0.0,0.7
67,John BatesWAS,0.7,5.8,0.0,0.1,0.7
68,Blake BellKC,0.5,4.5,0.0,0.0,0.7
69,Darrell DanielsARI,0.4,4.6,0.0,0.0,0.6
70,Hunter LongMIA,0.7,6.0,0.0,0.0,0.6
71,Reggie GilliamBUF,0.3,2.9,0.1,0.0,0.6
72,Chris MyarickCIN,0.6,5.5,0.0,0.0,0.6
73,Jesse JamesCHI,0.3,3.0,0.0,0.0,0.5
74,Josiah DeguaraGB,0.4,4.0,0.0,0.0,0.4
75,Charlie WoernerSF,0.3,3.6,0.0,0.0,0.4
76,Luke StockerMIN,0.3,2.4,0.0,0.0,0.4
77,Trevon WescoNYJ,0.3,3.5,0.0,0.0,0.4
78,Cethan CarterMIA,0.2,1.4,0.0,0.0,0.3
79,J.P. HoltzCHI,0.3,3.1,0.0,0.0,0.3
80,Derek CarrierLV,0.2,2.7,0.0,0.0,0.3
81,Garrett GriffinNO,0.2,2.3,0.0,0.0,0.2
82,Antony AuclairHOU,0.2,2.2,0.0,0.0,0.2
83,Kylen GransonIND,0.2,2.0,0.0,0.0,0.2
