,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,ARI,vsWAS,@LAR,vsCHI,vsSEA,@SF,@MIN,vsDEN,vsSF,BYE,@KC,vsLV,@LAC,@GB,vsDET,@ATL,vsLAR,@SEA
1,ATL,@PHI,vsCAR,vsNO,vsCIN,@PIT,vsTB,vsNYG,BYE,@WAS,@CLE,vsDAL,@NO,vsBAL,@GB,vsARI,@CAR,@TB
2,BAL,vsBUF,@CIN,vsDEN,@PIT,@CLE,@TEN,vsNO,@CAR,vsPIT,BYE,vsCIN,vsLV,@ATL,@KC,vsTB,@LAC,vsCLE
3,BUF,@BAL,vsLAC,@MIN,@GB,vsTEN,@HOU,@IND,vsNE,vsCHI,@NYJ,BYE,vsJAC,@MIA,vsNYJ,vsDET,@NE,vsMIA
4,CAR,vsDAL,@ATL,vsCIN,BYE,vsNYG,@WAS,@PHI,vsBAL,vsTB,@PIT,@DET,vsSEA,@TB,@CLE,vsNO,vsATL,@NO
5,CHI,@GB,vsSEA,@ARI,vsTB,BYE,@MIA,vsNE,vsNYJ,@BUF,vsDET,vsMIN,@DET,@NYG,vsLAR,vsGB,@SF,@MIN
6,CIN,@IND,vsBAL,@CAR,@ATL,vsMIA,vsPIT,@KC,vsTB,BYE,vsNO,@BAL,vsCLE,vsDEN,@LAC,vsLV,@CLE,@PIT
7,CLE,vsPIT,@NO,vsNYJ,@LV,vsBAL,vsLAC,@TB,@PIT,vsKC,vsATL,BYE,@CIN,@HOU,vsCAR,@DEN,vsCIN,@BAL
8,DAL,@CAR,vsNYG,@SEA,vsDET,@HOU,vsJAC,@WAS,BYE,vsTEN,@PHI,@ATL,vsWAS,vsNO,vsPHI,@IND,vsTB,@NYG
9,DEN,vsSEA,vsLV,@BAL,vsKC,@NYJ,vsLAR,@ARI,@KC,vsHOU,BYE,@LAC,vsPIT,@CIN,@SF,vsCLE,@LV,vsLAC
