,Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
0,Aaron Rodgers,QB,GB,1,31,31,46,3,0,61,61,14.2,45.8
1,Ben Roethlisberger,QB,PIT,1,76,76,100,4,0,62,62,12.4,16.3
2,Danny Amendola,WR,HOU,1,30,30,53,0,30,23,30,25.3,84.3
3,Jared Cook,TE,LAC,1,65,65,70,0,11,6,11,8.0,12.3
4,Marcedes Lewis,TE,GB,1,20,20,29,0,5,0,5,0.0,0.0
5,Matt Ryan,QB,ATL,1,50,50,100,2,0,68,68,11.8,23.6
6,Matthew Stafford,QB,LAR,1,65,65,100,0,0,49,49,19.5,30.0
7,Tom Brady,QB,TB,1,51,51,85,0,0,73,73,25.0,49.0
8,Andre Roberts,WR,LAC,1,3,3,3,0,0,0,0,-2.0,-66.7
9,Jimmy Graham,TE,CHI,1,20,20,24,0,10,10,10,1.6,8.0
10,Rob Gronkowski,TE,TB,1,50,50,83,0,20,14,20,13.7,27.4
11,A.J. Green,WR,ARI,1,68,68,89,0,13,6,13,2.3,3.4
12,Blaine Gabbert,QB,TB,1,9,9,15,11,0,33,33,-0.1,-1.1
13,Julio Jones,WR,TEN,1,46,46,68,0,20,11,20,11.8,25.7
14,Cam Newton,QB,CAR,1,1,1,1,0,0,0,0,0.0,0.0
15,Kyle Rudolph,TE,NYG,1,34,34,57,0,18,12,18,1.7,5.0
16,Andy Dalton,QB,CHI,1,82,82,100,1,0,60,60,17.7,21.6
17,Luke Stocker,TE,MIN,1,14,14,29,0,0,0,0,0.0,0.0
18,Ryan Tannehill,QB,TEN,1,68,68,100,3,0,50,50,27.3,40.1
19,Kirk Cousins,QB,MIN,1,48,48,100,2,0,48,48,21.9,45.6
20,Russell Wilson,QB,SEA,1,58,58,100,7,0,52,52,25.0,43.1
21,T.Y. Hilton,WR,IND,1,40,40,70,0,13,5,13,3.9,9.8
22,Travis Benjamin,WR,SF,1,6,6,9,0,17,0,17,0.0,0.0
23,Marvin Jones Jr.,WR,JAC,1,61,61,90,0,13,11,13,14.8,24.3
24,Brandon Bolden,RB,NE,1,28,28,45,25,7,32,32,18.6,66.4
25,Derek Carrier,TE,LV,1,12,12,15,0,0,0,0,0.0,0.0
26,Case Keenum,QB,CLE,1,66,66,100,8,0,44,44,13.5,20.5
27,Josh Gordon,WR,KC,1,21,21,27,0,5,0,5,0.0,0.0
