"Rank","Player","SACK","INT","FR","FF","DEF TD","SFTY","SPC TD","G","FPTS","FPTS/G","ROST"
"1","Buffalo Bills (BUF)","3","4","1","1","0","0","0","1","23.0","23.0","95.9%"
"2","Baltimore Ravens (BAL)","5","1","0","0","0","0","0","1","11.0","11.0","51.9%"
"3","Tampa Bay Buccaneers (TB)","4","1","1","1","0","0","0","1","9.0","9.0","98.0%"
"4","Chicago Bears (CHI)","4","0","2","2","0","0","0","1","9.0","9.0","35.9%"
"5","Indianapolis Colts (IND)","3","0","2","1","0","0","0","1","8.0","8.0","66.4%"
"6","Cleveland Browns (CLE)","2","1","0","0","0","0","0","1","8.0","8.0","40.8%"
"7","Dallas Cowboys (DAL)","5","2","0","0","0","0","0","1","8.0","8.0","82.9%"
"8","Los Angeles Chargers (LAC)","4","1","0","1","0","0","0","1","7.0","7.0","44.3%"
"9","Green Bay Packers (GB)","2","1","1","1","0","0","0","1","7.0","7.0","60.6%"
"10","New York Jets (NYJ)","7","0","0","0","0","0","0","1","7.0","7.0","3.3%"
"11","Washington Football Team (WAS)","1","0","0","1","0","0","1","1","6.0","6.0","27.5%"
"12","Seattle Seahawks (SEA)","2","1","1","0","0","0","0","1","6.0","6.0","39.4%"
"13","Pittsburgh Steelers (PIT)","3","0","1","1","0","0","0","1","5.0","5.0","44.6%"
"14","Arizona Cardinals (ARI)","0","1","1","1","0","0","0","1","5.0","5.0","60.9%"
"15","Miami Dolphins (MIA)","2","0","1","0","0","0","0","1","4.0","4.0","60.2%"
"16","Minnesota Vikings (MIN)","3","0","0","0","0","0","0","1","4.0","4.0","28.0%"
"17","Denver Broncos (DEN)","3","0","0","0","0","0","0","1","3.0","3.0","48.5%"
"18","Tennessee Titans (TEN)","1","1","0","1","0","0","0","1","3.0","3.0","48.4%"
"19","Detroit Lions (DET)","1","1","0","1","0","0","0","1","3.0","3.0","1.1%"
"20","New England Patriots (NE)","1","0","0","0","0","0","0","1","2.0","2.0","93.2%"
"21","New Orleans Saints (NO)","0","1","0","2","0","0","0","1","2.0","2.0","79.3%"
"22","New York Giants (NYG)","0","1","0","0","0","0","0","1","2.0","2.0","4.5%"
"23","San Francisco 49ers (SF)","3","0","0","2","0","0","0","1","2.0","2.0","79.5%"
"24","Kansas City Chiefs (KC)","3","0","0","2","0","0","0","1","2.0","2.0","45.7%"
"25","Cincinnati Bengals (CIN)","1","0","0","0","0","0","0","1","1.0","1.0","14.7%"
"26","Jacksonville Jaguars (JAC)","1","0","0","0","0","0","0","1","1.0","1.0","6.9%"
"27","Las Vegas Raiders (LV)","2","0","0","0","0","0","0","1","1.0","1.0","7.6%"
"28","Atlanta Falcons (ATL)","1","0","0","0","0","0","0","1","0.0","0.0","5.8%"
"29","Houston Texans (HOU)","1","1","0","2","0","0","0","1","-1.0","-1.0","6.4%"
"30","Los Angeles Rams (LAR)","3","0","0","1","0","0","0","1","-1.0","-1.0","74.5%"
"31","Philadelphia Eagles (PHI)","1","1","0","0","0","0","0","1","-1.0","-1.0","52.5%"
"32","Carolina Panthers (CAR)","0","0","0","0","0","0","0","1","-4.0","-4.0","27.8%"
""
""
