,Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Joe Burrow(CIN),30,39,76.9,446,11.4,4,0,4,5,10,0,0,1,34.8,34.8,88.3%
1,2,Russell Wilson(SEA),20,29,69.0,236,8.1,4,0,1,6,24,0,0,1,27.8,27.8,90.4%
2,3,Tom Brady(FA),34,50,68.0,410,8.2,3,1,1,0,0,0,0,1,27.4,27.4,99.1%
3,4,Josh Allen(BUF),11,26,42.3,120,4.6,0,3,0,15,81,2,0,1,23.9,23.9,100.0%
4,5,Dak Prescott(DAL),24,38,63.2,226,5.9,3,0,1,5,20,0,1,1,23.0,23.0,98.2%
5,6,Kyler Murray(ARI),26,38,68.4,263,6.9,2,0,1,9,44,0,0,1,22.9,22.9,99.3%
6,7,Mac Jones(NE),22,30,73.3,227,7.6,3,0,0,2,12,0,0,1,22.3,22.3,28.5%
7,8,Patrick Mahomes II(KC),26,35,74.3,259,7.4,2,0,0,2,25,0,0,1,20.9,20.9,100.0%
8,9,Aaron Rodgers(GB),29,38,76.3,288,7.6,2,0,0,2,8,0,0,1,20.3,20.3,97.4%
9,10,Trey Lance(SF),16,23,69.6,249,10.8,2,1,1,8,31,0,0,1,20.1,20.1,26.3%
10,11,Tim Boyle(DET),22,37,59.5,262,7.1,2,3,0,1,14,0,0,1,18.9,18.9,0.2%
11,12,Justin Herbert(LAC),22,31,71.0,237,7.6,2,0,0,4,2,0,0,1,17.7,17.7,98.8%
12,13,Taysom Hill(NO),17,28,60.7,222,7.9,1,0,2,12,45,0,0,1,17.4,17.4,53.2%
13,14,Matthew Stafford(LAR),26,35,74.3,309,8.8,2,2,1,1,-1,0,1,1,16.3,16.3,97.2%
14,15,Baker Mayfield(CLE),16,38,42.1,185,4.9,2,2,9,2,16,0,0,1,15.0,15.0,26.4%
15,16,Drew Lock(DEN),18,25,72.0,245,9.8,1,0,1,3,10,0,0,1,14.9,14.9,1.5%
16,17,Ryan Tannehill(TEN),13,18,72.2,120,6.7,2,0,1,4,7,0,0,1,13.5,13.5,62.7%
17,18,Zach Wilson(NYJ),19,33,57.6,234,7.1,1,0,1,2,0,0,0,1,13.4,13.4,6.6%
18,19,Jalen Hurts(PHI),17,26,65.4,214,8.2,0,0,1,7,44,0,0,1,13.0,13.0,94.4%
19,20,Sean Mannion(MIN),22,36,61.1,189,5.3,1,0,2,2,14,0,0,1,13.0,13.0,0.8%
20,21,Tyler Huntley(BAL),20,32,62.5,197,6.2,0,1,5,6,54,0,0,1,12.3,12.3,28.7%
21,22,Derek Carr(LV),24,31,77.4,255,8.2,1,2,2,0,0,0,0,1,12.2,12.2,58.1%
22,23,Andy Dalton(CHI),18,35,51.4,173,4.9,1,1,2,3,14,0,0,1,11.3,11.3,1.6%
23,24,Carson Wentz(IND),16,27,59.3,148,5.5,1,0,1,3,10,0,0,1,10.9,10.9,44.0%
24,25,Trevor Lawrence(JAC),17,27,63.0,193,7.1,1,3,2,2,16,0,0,1,10.3,10.3,23.9%
25,26,Taylor Heinicke(WAS),27,36,75.0,247,6.9,0,1,3,2,14,0,0,1,10.3,10.3,21.2%
26,27,Davis Mills(HOU),21,32,65.6,163,5.1,1,1,3,1,4,0,0,1,9.9,9.9,3.7%
27,28,Ben Roethlisberger(FA),24,46,52.2,123,2.7,1,1,2,1,-1,0,0,1,7.8,7.8,23.8%
