,Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Rob Gronkowski(TB),8,8,90,11.3,20,0,2,0,0,0,0,1,21.0,21.0,97.7%
1,2,Travis Kelce(KC),6,7,76,12.7,19,0,2,0,0,0,0,1,19.6,19.6,100.0%
2,3,T.J. Hockenson(DET),8,11,97,12.1,23,0,1,0,0,0,0,1,17.7,17.7,57.4%
3,4,Darren Waller(LV),10,19,105,10.5,24,0,1,0,0,0,0,1,16.5,16.5,92.6%
4,5,Juwan Johnson(NO),3,3,21,7.0,12,0,2,0,0,0,0,1,14.1,14.1,1.9%
5,6,Dallas Goedert(PHI),4,5,42,10.5,13,0,1,0,0,0,0,1,10.2,10.2,89.8%
6,7,Logan Thomas(WAS),3,3,30,10.0,12,0,1,0,0,0,0,1,9.0,9.0,27.1%
7,8,Chris Manhertz(JAC),1,1,22,22.0,22,0,1,0,0,0,0,1,8.2,8.2,0.0%
8,9,Gerald Everett(SEA),2,2,20,10.0,11,0,1,0,0,0,0,1,8.0,8.0,35.7%
9,10,George Kittle(SF),4,5,78,19.5,35,0,0,0,0,0,0,1,7.8,7.8,99.7%
10,11,David Njoku(CLE),3,5,76,25.3,43,0,0,0,0,0,0,1,7.6,7.6,12.9%
11,12,Tyler Higbee(LAR),5,6,68,13.6,37,0,0,0,0,0,0,1,6.8,6.8,77.4%
12,13,Pharaoh Brown(HOU),4,5,67,16.8,29,0,0,0,0,0,0,1,6.7,6.7,0.1%
13,14,Noah Fant(DEN),6,8,62,10.3,25,0,0,0,0,0,0,1,6.2,6.2,80.3%
14,15,Albert Okwuegbunam(DEN),3,3,16,5.3,6,0,1,0,0,0,1,1,5.6,5.6,1.0%
15,16,Jared Cook(LAC),5,8,56,11.2,23,0,0,0,0,0,0,1,5.6,5.6,50.2%
16,17,Jonnu Smith(NE),5,5,42,8.4,11,0,0,1,6,0,0,1,4.8,4.8,22.7%
17,18,James O'Shaughnessy(JAC),6,8,48,8.0,22,0,0,0,0,0,0,1,4.8,4.8,1.7%
