,Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Danny Amendola(HOU),7,9,113,16.1,37,0,2,0,0,0,0,1,25.3,25.3,0.1%
1,2,Deebo Samuel(SF),4,6,95,23.8,43,0,0,8,45,1,0,1,25.0,25.0,98.8%
2,3,Cedrick Wilson Jr.(DAL),5,6,119,23.8,37,0,2,0,0,0,0,1,23.9,23.9,4.0%
3,4,Tyler Lockett(SEA),5,5,98,19.6,43,0,2,1,2,0,0,1,22.0,22.0,97.5%
4,5,Jauan Jennings(SF),6,7,94,15.7,34,0,2,0,0,0,0,1,21.4,21.4,0.6%
5,6,Mike Evans(TB),6,7,89,14.8,37,0,2,0,0,0,0,1,20.9,20.9,97.8%
6,7,Cooper Kupp(LAR),7,7,118,16.9,46,0,1,1,18,0,0,1,19.6,19.6,100.0%
7,8,Allen Lazard(GB),5,6,75,15.0,29,0,2,0,0,0,0,1,19.5,19.5,23.4%
8,9,Russell Gage(ATL),9,13,126,14.0,26,0,1,0,0,0,0,1,18.6,18.6,60.2%
9,10,Amon-Ra St. Brown(DET),8,10,109,13.6,28,0,1,1,12,0,0,1,18.1,18.1,82.8%
10,11,Mike Williams(LAC),9,17,119,13.2,47,0,1,0,0,0,0,1,17.9,17.9,91.9%
11,12,Kalif Raymond(DET),4,5,101,25.3,75,0,1,1,13,0,0,1,17.4,17.4,3.3%
12,13,Justin Jefferson(MIN),5,7,107,21.4,45,0,1,1,4,0,0,1,17.1,17.1,99.9%
13,14,Ihmir Smith-Marsette(MIN),3,3,103,34.3,44,0,1,0,0,0,0,1,16.3,16.3,0.1%
14,15,Marvin Jones Jr.(JAC),7,8,88,12.6,29,0,1,0,0,0,0,1,14.8,14.8,55.4%
15,16,Michael Pittman Jr.(IND),6,7,64,10.7,21,0,1,0,0,0,0,1,14.4,14.4,92.6%
16,17,Quez Watkins(PHI),5,7,84,16.8,36,0,1,0,0,0,0,1,14.4,14.4,1.3%
17,18,Stefon Diggs(BUF),9,14,81,9.0,17,0,1,0,0,0,0,1,14.1,14.1,100.0%
18,19,Nick Westbrook-Ikhine(TEN),4,5,78,19.5,36,0,1,0,0,0,0,1,13.8,13.8,8.5%
19,20,Tre'Quan Smith(NO),5,7,76,15.2,34,0,1,0,0,0,0,1,13.6,13.6,7.5%
20,21,Jarvis Landry(CLE),6,8,75,12.5,26,0,1,0,0,0,0,1,13.5,13.5,72.5%
21,22,Chase Claypool(PIT),5,7,37,7.4,10,0,1,3,33,0,0,1,13.0,13.0,85.4%
22,23,Hunter Renfrow(LV),4,5,13,3.3,12,0,2,1,-4,0,0,1,12.9,12.9,89.8%
23,24,A.J. Brown(TEN),4,6,68,17.0,24,0,1,0,0,0,0,1,12.8,12.8,97.8%
24,25,Darnell Mooney(CHI),12,16,126,10.5,19,0,0,0,0,0,0,1,12.6,12.6,76.3%
25,26,Julio Jones(TEN),5,9,58,11.6,19,0,1,0,0,0,0,1,11.8,11.8,60.7%
26,27,Keelan Cole Sr.(NYJ),3,3,54,18.0,40,0,1,0,0,0,0,1,11.4,11.4,1.0%
27,28,Mecole Hardman(KC),8,11,103,12.9,44,0,0,1,10,0,0,1,11.3,11.3,29.2%
28,29,Scotty Miller(TB),1,1,9,9.0,9,0,0,2,43,1,0,1,11.2,11.2,0.7%
29,30,Robby Anderson(CAR),7,9,50,7.1,19,0,1,0,0,0,0,1,11.0,11.0,42.2%
30,31,Brandon Aiyuk(SF),6,7,107,17.8,31,0,0,0,0,0,0,1,10.7,10.7,88.8%
31,32,Joshua Palmer(LAC),4,9,45,11.3,23,0,1,0,0,0,0,1,10.5,10.5,5.4%
32,33,DJ Moore(CAR),7,10,87,12.4,20,0,0,1,13,0,0,1,10.0,10.0,95.7%
33,34,Chris Moore(HOU),3,3,38,12.7,28,0,1,0,0,0,0,1,9.8,9.8,0.1%
34,35,Tim Patrick(DEN),6,10,95,15.8,31,0,0,0,0,0,0,1,9.5,9.5,17.6%
35,36,Terry McLaurin(WAS),4,6,93,23.3,40,0,0,0,0,0,0,1,9.3,9.3,97.0%
36,37,Darius Slayton(NYG),2,3,29,14.5,22,0,1,0,0,0,0,1,8.9,8.9,4.3%
37,38,Jaylen Waddle(MIA),5,7,27,5.4,9,0,1,0,0,0,0,1,8.7,8.7,94.6%
38,39,Tom Kennedy(DET),2,2,16,8.0,11,0,0,0,0,0,0,1,8.6,8.6,0.0%
39,40,Freddie Swain(SEA),1,1,25,25.0,25,0,1,0,0,0,0,1,8.5,8.5,0.7%
40,41,Laquon Treadwell(JAC),3,5,24,8.0,14,0,1,0,0,0,0,1,8.4,8.4,2.5%
41,42,K.J. Osborn(MIN),1,4,21,21.0,21,0,1,0,0,0,0,1,8.1,8.1,39.9%
42,43,Amari Cooper(DAL),5,7,79,15.8,27,0,0,0,0,0,0,1,7.9,7.9,97.7%
43,44,Nico Collins(HOU),3,7,67,22.3,30,0,0,0,0,0,0,1,6.7,6.7,1.8%
44,45,Bryan Edwards(LV),4,5,63,15.8,30,0,0,0,0,0,0,1,6.3,6.3,8.3%
45,46,Laviska Shenault Jr.(JAC),5,7,62,12.4,18,0,0,0,0,0,0,1,6.2,6.2,34.3%
46,47,D.K. Metcalf(SEA),5,11,58,11.6,31,0,0,0,0,0,0,1,5.8,5.8,98.9%
47,48,Byron Pringle(KC),5,8,56,11.2,19,0,0,0,0,0,0,1,5.6,5.6,2.7%
48,49,Davante Adams(GB),6,7,55,9.2,16,0,0,0,0,0,0,1,5.5,5.5,100.0%
49,50,Keenan Allen(LAC),6,8,52,8.7,14,0,0,0,0,0,0,1,5.2,5.2,99.3%
50,51,Jalen Guyton(LAC),6,9,52,8.7,17,0,0,0,0,0,0,1,5.2,5.2,7.1%
51,52,Diontae Johnson(PIT),7,10,51,7.3,16,0,0,0,0,0,0,1,5.1,5.1,98.1%
52,53,Jakobi Meyers(NE),4,8,70,17.5,39,0,0,0,0,0,1,1,5.0,5.0,66.5%
