,Player,Pos,Team,Games,Snaps,Snaps/Gm,Snap %,Rush %,Tgt %,Touch %,Util %,Fantasy Pts,Pts/100 Snaps
0,Aaron Rodgers,QB,GB,1,50,50,100,2,0,72,72,12.9,25.8
1,Adrian Peterson,RB,WAS,1,35,35,70,51,3,54,54,13.0,37.1
2,Benjamin Watson,TE,NE,1,67,67,100,0,7,6,7,2.8,4.2
3,Brian Hoyer,QB,IND,1,55,55,79,2,0,49,49,16.3,29.6
4,Danny Amendola,WR,DET,1,42,42,61,0,12,7,12,2.9,6.9
5,Darren Sproles,RB,PHI,1,10,10,12,20,20,30,40,1.0,10.0
6,DeSean Jackson,WR,PHI,1,4,4,5,0,25,25,25,0.5,12.5
7,Frank Gore,RB,BUF,1,21,21,34,52,0,52,52,1.5,7.1
8,Greg Olsen,TE,CAR,1,65,65,90,0,9,5,9,4.0,6.2
9,Jason Witten,TE,DAL,1,55,55,80,0,16,15,16,5.8,10.5
10,Julian Edelman,WR,NE,1,67,67,100,0,16,15,16,6.9,10.3
11,Larry Fitzgerald,WR,ARI,1,53,53,95,0,8,8,8,3.8,7.2
12,LeSean McCoy,RB,KC,1,6,6,10,50,17,67,67,0.9,15.0
13,Marcedes Lewis,TE,GB,1,17,17,34,0,0,0,0,0.0,0.0
14,Matt Moore,QB,KC,1,59,59,100,0,0,59,59,15.0,25.4
15,Matthew Stafford,QB,DET,1,69,69,100,4,0,64,64,25.8,37.4
16,Philip Rivers,QB,LAC,1,71,71,99,4,0,44,44,11.8,16.6
17,Ryan Fitzpatrick,QB,MIA,1,69,69,100,7,0,59,59,23.7,34.3
18,Tom Brady,QB,NE,1,67,67,100,0,0,69,69,14.4,21.5
19,Golden Tate,WR,NYG,1,67,67,94,1,9,10,10,5.8,8.7
20,Andre Roberts,WR,BUF,1,18,18,29,0,0,0,0,0.0,0.0
21,Emmanuel Sanders,WR,SF,1,66,66,93,0,14,11,14,17.2,26.1
22,Jimmy Graham,TE,GB,1,32,32,64,0,13,13,13,1.7,5.3
23,Mark Ingram II,RB,BAL,1,28,28,42,54,11,61,64,12.4,44.3
24,Randall Cobb,WR,DAL,1,52,52,75,2,15,13,17,1.5,2.9
25,Kyle Rudolph,TE,MIN,1,54,54,77,0,9,6,9,8.3,15.4
26,Lance Kendricks,TE,LAC,1,1,1,1,0,0,0,0,0.0,0.0
27,Anthony Sherman,RB,KC,1,2,2,3,0,0,0,0,0.0,0.0
