,Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Alvin Kamara(NO),5,87,17.4,74,1,1,6,6,101,16.8,1,0,1,30.8,30.8,100.0%
1,2,Jamaal Williams(DET),21,66,3.1,12,0,1,4,5,69,17.3,1,0,1,25.5,25.5,58.2%
2,3,Joe Mixon(CIN),23,114,5.0,19,0,1,3,3,51,17.0,0,0,1,22.5,22.5,98.1%
3,4,Tevin Coleman(NYJ),19,97,5.1,20,1,2,0,0,0,0,0,0,1,21.7,21.7,18.5%
4,5,Rex Burkhead(HOU),13,50,3.8,22,1,1,2,2,3,1.5,1,0,1,17.3,17.3,31.5%
5,6,Marshawn Lynch(FA),26,67,2.6,7,0,1,3,3,43,14.3,0,0,1,17.1,17.1,0.3%
6,7,Le'Veon Bell(FA),20,95,4.8,14,0,0,12,14,88,7.3,0,1,1,16.3,16.3,5.4%
7,8,Latavius Murray(BAL),20,84,4.2,46,1,1,0,1,0,0,0,0,1,14.4,14.4,22.2%
8,9,Frank Gore(FA),17,62,3.6,14,0,1,2,5,17,8.5,0,0,1,13.9,13.9,12.2%
9,10,Samaje Perine(CIN),24,100,4.2,16,0,0,3,4,30,10.0,0,0,1,13.0,13.0,15.2%
10,11,Todd Gurley II(FA),17,74,4.4,14,0,0,4,7,54,13.5,0,0,1,12.8,12.8,0.4%
11,12,Peyton Barber(LV),5,7,1.4,3,0,2,0,0,0,0,0,0,1,12.7,12.7,1.2%
12,13,Lamar Miller(FA),17,51,3.0,17,0,1,1,3,7,7.0,0,0,1,11.8,11.8,0.0%
13,14,Alex Collins(SEA),16,60,3.8,29,1,1,2,2,-3,-1.5,0,0,1,11.7,11.7,18.8%
14,15,Dion Lewis(FA),15,112,7.5,25,3,0,1,2,1,1.0,0,0,1,11.3,11.3,2.0%
15,16,Rod Smith(FA),9,41,4.6,9,0,1,2,2,7,3.5,0,0,1,10.8,10.8,0.0%
16,17,Isaiah Crowell(FA),16,95,5.9,27,1,0,1,2,10,10.0,0,0,1,10.5,10.5,0.1%
17,18,DeMarco Murray(FA),12,9,0.8,12,0,1,3,4,33,11.0,0,0,1,10.2,10.2,0.1%
18,19,Adrian Peterson(SEA),20,79,4.0,10,0,0,4,5,20,5.0,0,0,1,9.9,9.9,4.9%
19,20,Christian McCaffrey(CAR),7,62,8.9,40,1,0,2,5,35,17.5,0,0,1,9.7,9.7,47.2%
20,21,Jalen Richard(LV),2,17,8.5,9,0,0,2,2,13,6.5,1,0,1,9.0,9.0,0.7%
21,22,Derrick Henry(TEN),13,79,6.1,16,0,0,1,2,10,10.0,0,0,1,8.9,8.9,78.0%
22,23,Melvin Gordon III(DEN),21,65,3.1,11,0,0,3,3,23,7.7,0,0,1,8.8,8.8,87.8%
23,24,Kenyan Drake(LV),9,20,2.2,13,0,0,3,4,27,9.0,1,1,1,8.7,8.7,29.4%
24,25,Jonathan Stewart(FA),15,26,1.7,4,0,1,0,0,0,0,0,0,1,8.6,8.6,0.0%
25,26,LeSean McCoy(FA),22,49,2.2,14,0,0,4,4,30,7.5,0,0,1,7.9,7.9,2.0%
26,27,LeGarrette Blount(FA),15,97,6.5,35,2,0,0,0,0,0,0,1,1,7.7,7.7,0.1%
27,28,Javorius Allen(FA),5,15,3.0,10,0,1,1,1,2,2.0,0,0,1,7.7,7.7,0.1%
28,29,Austin Ekeler(LAC),6,15,2.5,7,0,0,3,3,55,18.3,0,0,1,7.0,7.0,99.9%
29,30,Carlos Hyde(JAC),16,47,2.9,14,0,0,7,13,21,3.0,0,0,1,6.8,6.8,6.9%
30,31,Duke Johnson Jr.(MIA),6,35,5.8,13,0,0,4,5,32,8.0,0,0,1,6.7,6.7,7.4%
31,32,Eddie Lacy(FA),17,46,2.7,11,0,0,3,3,15,5.0,0,0,1,6.1,6.1,0.3%
32,33,Jerick McKinnon(KC),13,23,1.8,16,0,0,1,3,31,31.0,0,0,1,5.4,5.4,0.8%
33,34,Damien Williams(CHI),8,38,4.8,11,0,0,3,5,14,4.7,0,0,1,5.2,5.2,4.4%
34,35,T.J. Yeldon(FA),3,10,3.3,6,0,0,5,6,42,8.4,0,0,1,5.2,5.2,0.0%
35,36,Alfred Morris(NYG),9,36,4.0,6,0,0,1,1,13,13.0,0,0,1,4.9,4.9,0.0%
36,37,Travaris Cadet(FA),6,28,4.7,8,0,0,3,3,21,7.0,0,0,1,4.9,4.9,0.0%
37,38,Bilal Powell(FA),9,34,3.8,14,0,0,1,1,12,12.0,0,0,1,4.6,4.6,0.0%
38,39,DeAndre Washington(FA),6,23,3.8,11,0,0,3,3,23,7.7,0,0,1,4.6,4.6,11.0%
39,40,J.D. McKissic(WAS),4,22,5.5,14,0,0,4,7,24,6.0,0,0,1,4.6,4.6,32.9%
40,41,Danny Woodhead(FA),4,22,5.5,10,0,0,4,4,23,5.8,0,0,1,4.5,4.5,20.6%
41,42,Wayne Gallman Jr.(MIN),9,37,4.1,9,0,0,2,2,6,3.0,0,0,1,4.3,4.3,1.0%
42,43,Ameer Abdullah(CAR),6,14,2.3,5,0,0,3,5,29,9.7,0,0,1,4.3,4.3,10.4%
43,44,Leonard Fournette(TB),12,25,2.1,8,0,0,3,3,17,5.7,0,0,1,4.2,4.2,74.8%
44,45,Orleans Darkwa(FA),11,30,2.7,6,0,0,1,1,9,9.0,0,0,1,3.9,3.9,0.0%
45,46,Corey Clement(DAL),4,27,6.8,9,0,0,1,1,12,12.0,0,0,1,3.9,3.9,0.8%
46,47,Jacquizz Rodgers(FA),8,31,3.9,9,0,0,1,2,6,6.0,0,0,1,3.7,3.7,0.0%
47,48,Mark Ingram II(NO),11,31,2.8,7,0,0,2,3,5,2.5,0,0,1,3.6,3.6,39.1%
48,49,Elijah McGuire(FA),5,21,4.2,9,0,0,1,1,13,13.0,0,0,1,3.4,3.4,0.0%
49,50,Doug Martin(FA),7,33,4.7,10,0,0,0,0,0,0,0,0,1,3.3,3.3,0.0%
50,51,Devontae Booker(NYG),6,11,1.8,4,0,0,2,2,22,11.0,0,0,1,3.3,3.3,23.3%
51,52,Jay Ajayi(FA),5,26,5.2,30,1,0,1,2,7,7.0,0,0,1,3.3,3.3,7.0%
52,53,Marlon Mack(IND),4,11,2.8,5,0,0,2,2,20,10.0,0,0,1,3.1,3.1,1.6%
53,54,Theo Riddick(FA),5,20,4.0,8,0,0,1,2,10,10.0,0,0,1,3.0,3.0,0.0%
54,55,Byron Marshall(FA),4,18,4.5,11,0,0,1,2,12,12.0,0,0,1,3.0,3.0,0.1%
55,56,Charles Sims(FA),1,3,3.0,3,0,0,3,5,26,8.7,0,0,1,2.9,2.9,0.0%
56,57,Giovani Bernard(TB),3,12,4.0,11,0,0,1,1,15,15.0,0,0,1,2.7,2.7,5.4%
57,58,Shane Vereen(FA),3,18,6.0,11,0,0,1,2,9,9.0,0,0,1,2.7,2.7,0.0%
58,59,Matt Forte(FA),10,26,2.6,6,0,0,0,1,0,0,0,0,1,2.6,2.6,19.1%
59,60,Kareem Hunt(CLE),11,17,1.5,9,0,0,1,1,9,9.0,0,0,1,2.6,2.6,82.1%
60,61,Alfred Blue(FA),8,15,1.9,6,0,0,2,2,11,5.5,0,0,1,2.6,2.6,0.0%
61,62,Matt Breida(BUF),1,12,12.0,12,0,0,1,1,12,12.0,0,0,1,2.4,2.4,8.2%
62,63,D.J. Foster(FA),1,4,4.0,4,0,0,3,4,18,6.0,0,0,1,2.2,2.2,0.0%
63,64,Jordan Howard(PHI),7,6,0.9,4,0,0,2,2,13,6.5,0,0,1,1.9,1.9,18.7%
64,65,Kerwynn Williams(FA),3,8,2.7,4,0,0,1,1,10,10.0,0,0,1,1.8,1.8,0.0%
65,66,James White(NE),3,13,4.3,8,0,0,1,2,2,2.0,0,0,1,1.5,1.5,7.9%
66,67,C.J. Anderson(FA),5,12,2.4,4,0,0,0,0,0,0,0,0,1,1.2,1.2,1.0%
67,68,Terron Ward(FA),7,35,5.0,14,0,0,1,1,-3,-3.0,0,1,1,1.2,1.2,0.0%
68,69,Jamaal Charles(FA),1,3,3.0,3,0,0,2,3,7,3.5,0,0,1,1.0,1.0,0.1%
69,70,Benny Cunningham Jr.(FA),1,-1,-1.0,0,0,0,1,2,9,9.0,0,0,1,0.8,0.8,0.0%
70,71,Kyle Juszczyk(SF),0,0,0,0,0,0,2,2,8,4.0,0,0,1,0.8,0.8,1.0%
71,72,Charcandrick West(FA),0,0,0,0,0,0,3,4,7,2.3,0,0,1,0.7,0.7,0.0%
72,73,Zach Zenner(FA),1,6,6.0,6,0,0,0,0,0,0,0,0,1,0.6,0.6,0.0%
73,74,Aaron Ripkowski(FA),1,4,4.0,4,0,0,0,0,0,0,0,0,1,0.4,0.4,0.0%
74,75,Andy Janovich(CLE),1,4,4.0,4,0,0,0,0,0,0,0,0,1,0.4,0.4,0.1%
75,76,Anthony Sherman(FA),0,0,0,0,0,0,1,1,4,4.0,0,0,1,0.4,0.4,0.0%
76,77,Nathan Cottrell(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
77,78,Jonathan Ward(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
78,79,Gabe Nabers(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
79,80,Jake Bargas(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
80,81,Josh Hokit(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
81,82,James Robinson(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.3%
82,83,JaMycal Hasty(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2%
83,84,Antonio Gibson(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.9%
84,85,Raymond Calais(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
85,86,Scottie Phillips(HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
86,87,Patrick Taylor Jr.(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%
87,88,Larry Rountree III(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7%
88,89,Ty'Son Williams(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2%
89,90,Reggie Gilliam(BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
90,91,Jermar Jefferson(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7%
91,92,Antonio Williams(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
92,93,Chuba Hubbard(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.1%
93,94,Giovanni Ricci(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
94,95,Pete Guerriero(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
95,96,Rico Dowdle(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
96,97,Sewo Olonilua(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
97,98,Jason Huntley(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
98,99,Demetric Felton(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7%
99,100,Pooka Williams Jr.(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
100,101,Mekhi Sargent(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5%
101,102,DeeJay Dallas(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3%
102,103,Jaret Patterson(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.7%
103,104,Deon Jackson(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
104,105,Trey Ragas(LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
105,106,Sandro Platzgummer(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
106,107,Trey Sermon(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9%
107,108,Dalyn Dawkins(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
108,109,Johnny Stanton(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
109,110,Dontrell Hilliard(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5%
110,111,Jeff Wilson Jr.(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.1%
111,112,Patrick Laird(MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
112,113,Dexter Williams(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
113,114,Ty Johnson(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8%
114,115,Elijah Holyfield(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
115,116,Miles Sanders(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0%
116,117,Devin Singletary(BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.1%
117,118,Josh Jacobs(LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.0%
118,119,Justice Hill(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
119,120,David Montgomery(CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.7%
120,121,Damien Harris(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.8%
121,122,Buddy Howell(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
122,123,Boston Scott(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7%
123,124,Nick Bawden(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
124,125,Trenton Cannon(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
125,126,Darrel Williams(KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.6%
126,127,Phillip Lindsay(MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0%
127,128,Chase Edmonds(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.1%
128,129,Jason Cabinda(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
129,130,Godwin Igwebuike(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4%
130,131,Gus Edwards(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6%
131,132,Reggie Bonnafon(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
132,133,Mike Boone(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5%
133,134,Ryan Nall(CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
134,135,Qadree Ollison(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%
135,136,Aca'Cedric Ware(TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
136,137,Adrian Killins Jr.(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
137,138,Travis Etienne Jr.(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8%
138,139,La'Mical Perine(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
139,140,Clyde Edwards-Helaire(KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.8%
140,141,Kylin Hill(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
141,142,Najee Harris(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9%
142,143,Cam Akers(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8%
143,144,Zack Moss(BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8%
144,145,J.K. Dobbins(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3%
145,146,Jonathan Taylor(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0%
146,147,AJ Dillon(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.4%
147,148,D'Andre Swift(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.2%
148,149,Derrick Gore(KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0%
149,150,D'Ernest Johnson(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7%
150,151,Ke'Shawn Vaughn(TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8%
151,152,Eno Benjamin(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2%
152,153,Salvon Ahmed(MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6%
153,154,Darius Bradwell(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
154,155,Tony Jones Jr.(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9%
155,156,Darius Anderson(HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
156,157,Anthony McFarland Jr.(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
157,158,Joshua Kelley(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1%
158,159,J.J. Taylor(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7%
159,160,Tavien Feaster(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
160,161,Javon Leake(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
161,162,Darrynton Evans(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9%
162,163,Michael Warren II(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
163,164,Caleb Huntley(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
164,165,Craig Reynolds(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7%
165,166,Ryquell Armstead(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
166,167,Damarea Crockett(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
167,168,Alexander Mattison(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0%
168,169,Darwin Thompson(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
169,170,Mike Weber(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
170,171,Travis Homer(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%
