,Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
0,1,Greg Zuerlein(DAL),4,5,80.0,55,0,3,0,0,1,3,3,1,17.0,17.0,74.2%
1,2,Adam Vinatieri(FA),3,4,75.0,51,0,1,1,0,1,2,2,1,13.0,13.0,0.2%
2,3,Brandon McManus(DEN),2,2,100.0,53,0,0,0,0,2,3,3,1,13.0,13.0,44.3%
3,4,Chandler Catanzaro(FA),2,3,66.7,36,0,0,2,0,0,6,6,1,12.0,12.0,0.0%
4,5,Justin Tucker(BAL),2,2,100.0,41,0,0,1,1,0,5,5,1,12.0,12.0,98.0%
5,6,Jason Myers(SEA),2,2,100.0,35,0,0,2,0,0,6,6,1,12.0,12.0,22.1%
6,7,Ryan Succop(TB),2,2,100.0,53,0,0,0,1,1,2,2,1,11.0,11.0,57.4%
7,8,Robbie Gould(SF),3,3,100.0,42,0,1,1,1,0,1,1,1,11.0,11.0,22.5%
8,9,Randy Bullock(TEN),2,2,100.0,42,0,0,1,1,0,4,4,1,11.0,11.0,10.8%
9,10,Cody Parkey(FA),3,3,100.0,33,0,1,2,0,0,2,2,1,11.0,11.0,0.4%
10,11,Aldrick Rosas(FA),3,3,100.0,44,0,1,1,1,0,0,0,1,10.0,10.0,1.8%
11,12,Ka'imi Fairbairn(HOU),2,2,100.0,42,0,0,1,1,0,2,2,1,9.0,9.0,0.8%
12,13,Jason Sanders(MIA),2,2,100.0,30,0,1,1,0,0,3,3,1,9.0,9.0,22.6%
13,14,Stephen Gostkowski(FA),2,2,100.0,39,0,0,2,0,0,3,3,1,9.0,9.0,0.1%
14,15,Harrison Butker(KC),1,1,100.0,46,0,0,0,1,0,5,5,1,9.0,9.0,76.6%
15,16,Josh Lambo(FA),2,2,100.0,39,0,0,2,0,0,2,2,1,8.0,8.0,3.2%
16,17,Mike Nugent(FA),2,2,100.0,48,0,1,0,1,0,1,1,1,8.0,8.0,1.0%
17,18,Matt Bryant(FA),2,2,100.0,52,0,1,0,0,1,0,1,1,8.0,8.0,1.1%
18,19,Caleb Sturgis(FA),2,3,66.7,45,0,0,1,1,0,0,0,1,7.0,7.0,0.0%
19,20,Daniel Carlson(LV),1,1,100.0,48,0,0,0,1,0,3,3,1,7.0,7.0,74.3%
20,21,Mason Crosby(GB),1,1,100.0,42,0,0,0,1,0,3,3,1,7.0,7.0,40.7%
21,22,Wil Lutz(NO),1,1,100.0,36,0,0,1,0,0,3,3,1,6.0,6.0,3.3%
22,23,Sebastian Janikowski(FA),1,2,50.0,35,0,0,1,0,0,3,3,1,6.0,6.0,20.0%
23,24,Dustin Hopkins(LAC),1,1,100.0,31,0,0,1,0,0,3,3,1,6.0,6.0,14.5%
24,25,Matt Prater(ARI),1,3,33.3,21,0,1,0,0,0,2,2,1,5.0,5.0,52.8%
25,26,Graham Gano(NYG),1,1,100.0,27,0,1,0,0,0,1,1,1,4.0,4.0,31.4%
26,27,Jake Elliott(PHI),1,1,100.0,26,0,1,0,0,0,1,1,1,4.0,4.0,22.5%
27,28,Zane Gonzalez(CAR),0,1,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,2.6%
28,29,Chris Boswell(PIT),0,1,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,51.0%
