,Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Deshaun Watson(HOU),16,20,80.0,239,12.0,5,0,0,1,14,0,0,1,31.0,31.0,5.0%
1,2,Cam Newton(CAR),21,29,72.4,219,7.6,2,0,0,10,52,1,0,1,28.0,28.0,20.3%
2,3,Derek Carr(LV),21,28,75.0,244,8.7,3,0,0,2,0,1,0,1,27.8,27.8,58.1%
3,4,Jared Goff(DET),19,35,54.3,295,8.4,3,0,5,5,7,0,0,1,26.5,26.5,5.3%
4,5,Patrick Mahomes II(KC),24,34,70.6,303,8.9,4,1,2,2,-1,0,0,1,26.0,26.0,100.0%
5,6,Andrew Luck(FA),22,31,71.0,239,7.7,3,0,0,2,-2,0,0,1,23.4,23.4,2.2%
6,7,Russell Wilson(SEA),14,17,82.4,248,14.6,3,0,2,2,15,0,0,1,23.4,23.4,90.4%
7,8,Carson Wentz(IND),21,30,70.0,286,9.5,3,1,4,6,28,0,1,1,22.6,22.6,44.0%
8,9,Mitchell Trubisky(BUF),16,29,55.2,220,7.6,2,0,2,6,51,0,0,1,21.9,21.9,0.4%
9,10,Kirk Cousins(MIN),31,41,75.6,359,8.8,2,1,4,2,3,0,0,1,20.7,20.7,70.7%
10,11,Andy Dalton(CHI),21,34,61.8,280,8.2,2,0,2,3,10,0,0,1,20.2,20.2,1.6%
11,12,Blake Bortles(NO),24,41,58.5,286,7.0,1,0,4,8,43,0,0,1,19.7,19.7,0.1%
12,13,Ryan Fitzpatrick(WAS),11,15,73.3,194,12.9,2,0,1,1,18,0,0,1,19.6,19.6,6.1%
13,14,Josh Rosen(ATL),23,40,57.5,252,6.3,2,1,3,2,12,0,0,1,19.3,19.3,0.0%
14,15,Matthew Stafford(LAR),27,40,67.5,310,7.8,2,1,3,1,6,0,1,1,17.0,17.0,97.2%
15,16,Ben Roethlisberger(FA),24,36,66.7,257,7.1,2,1,1,2,6,0,0,1,16.9,16.9,23.8%
16,17,Aaron Rodgers(GB),18,30,60.0,286,9.5,1,0,3,1,5,0,0,1,15.9,15.9,97.4%
17,18,Case Keenum(CLE),23,34,67.6,262,7.7,2,1,5,1,9,0,1,1,15.4,15.4,0.9%
18,19,Baker Mayfield(CLE),22,36,61.1,180,5.0,2,1,2,1,9,0,0,1,14.1,14.1,26.4%
19,20,Tom Brady(FA),29,45,64.4,324,7.2,0,0,2,1,8,0,0,1,13.8,13.8,99.1%
20,21,Eli Manning(FA),30,47,63.8,316,6.7,1,2,7,0,0,0,0,1,12.6,12.6,2.3%
21,22,C.J. Beathard(JAC),14,28,50.0,190,6.8,1,0,4,5,9,0,0,1,12.5,12.5,0.0%
22,23,Alex Smith(FA),20,32,62.5,178,5.6,1,0,0,3,13,0,0,1,12.4,12.4,5.0%
23,24,Sam Darnold(CAR),14,29,48.3,153,5.3,1,0,1,5,22,0,0,1,12.3,12.3,5.5%
24,25,Joe Flacco(NYJ),22,39,56.4,192,4.9,1,2,2,2,14,0,0,1,9.1,9.1,0.3%
25,26,Jameis Winston(NO),18,35,51.4,276,7.9,1,4,5,3,18,0,0,1,8.8,8.8,5.2%
26,27,Lamar Jackson(BAL),4,5,80.0,46,9.2,1,0,0,3,26,0,0,1,8.4,8.4,94.0%
27,28,Brock Osweiler(FA),21,37,56.8,241,6.5,0,1,2,0,0,0,0,1,7.6,7.6,0.0%
28,29,Derek Anderson(FA),22,39,56.4,290,7.4,0,1,3,1,-1,0,1,1,7.5,7.5,0.0%
29,30,Drew Brees(FA),18,23,78.3,120,5.2,1,1,0,0,0,0,0,1,6.8,6.8,35.7%
30,31,Taysom Hill(NO),1,1,100.0,44,44.0,0,0,0,3,-2,0,0,1,2.1,2.1,53.2%
31,32,Nathan Peterman(FA),2,2,100.0,23,11.5,0,0,0,0,0,0,0,1,0.9,0.9,0.1%
32,33,Taylor Heinicke(WAS),1,1,100.0,13,13.0,0,0,0,2,-2,0,0,1,0.3,0.3,21.2%
33,34,Trevor Lawrence(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9%
34,35,Trey Lance(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3%
35,36,Feleipe Franks(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
36,37,Justin Fields(CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0%
37,38,Ben DiNucci(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
38,39,Kyle Trask(TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
39,40,Sam Ehlinger(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
40,41,Jalen Morton(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
41,42,Reid Sinnett(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
42,43,Mac Jones(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5%
43,44,Ian Book(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
44,45,Daniel Jones(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6%
45,46,Will Grier(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
46,47,Brett Rypien(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
47,48,Dwayne Haskins(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
48,49,Easton Stick(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
49,50,Trace McSorley(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%
50,51,Eric Dungey(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
51,52,Jake Browning(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
52,53,Gardner Minshew II(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2%
53,54,Drew Lock(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5%
54,55,Jarrett Stidham(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
55,56,Kurt Benkert(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
56,57,Alex McGough(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
57,58,Tim Boyle(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
58,59,John Wolford(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
59,60,Kyle Allen(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
60,61,Kyler Murray(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.3%
61,62,Justin Herbert(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.8%
62,63,Shane Buechele(KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
63,64,Kellen Mond(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
64,65,Bryce Perkins(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
65,66,Steven Montez(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
66,67,Jalen Hurts(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.4%
67,68,Jake Luton(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
68,69,James Morgan(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
69,70,Brian Lewerke(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
70,71,Tyler Huntley(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.7%
71,72,Jordan Love(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3%
72,73,David Blough(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
73,74,Jake Fromm(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
74,75,Joe Burrow(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.3%
75,76,Tua Tagovailoa(MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.2%
76,77,Jacob Eason(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
77,78,Ryan Willis(CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
78,79,Zach Wilson(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6%
79,80,Davis Mills(HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7%
80,81,Danny Etling(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
81,82,Mike White(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8%
82,83,Ben Chappell(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
83,84,Tyrod Taylor(HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9%
84,85,Adam Froman(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
85,86,Chase Daniel(LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
86,87,Blaine Gabbert(TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
87,88,Hunter Cantwell(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
88,89,Ryan Tannehill(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.7%
89,90,Nick Foles(CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7%
90,91,Chad Henne(KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
91,92,Matt Ryan(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.3%
92,93,Josh Johnson(BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1%
93,94,Keith Null(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
94,95,John David Booty(HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
95,96,Erik Ainge(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
