,Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
0,1,Austin Hooper(CLE),9,10,71,7.9,14,0,1,0,0,0,0,1,13.1,13.1,28.8%
1,2,Eric Ebron(PIT),4,7,71,17.8,19,0,1,1,-1,0,0,1,13.0,13.0,3.0%
2,3,O.J. Howard(TB),4,4,62,15.5,21,1,1,0,0,0,0,1,12.2,12.2,1.2%
3,4,Chris Herndon IV(MIN),2,2,56,28.0,32,2,1,0,0,0,0,1,11.6,11.6,0.2%
4,5,David Njoku(CLE),7,12,55,7.9,22,1,1,0,0,0,0,1,11.5,11.5,12.9%
5,6,Nick O'Leary(FA),4,4,49,12.3,19,0,1,0,0,0,0,1,10.9,10.9,0.0%
6,7,Vernon Davis(FA),3,3,48,16.0,22,2,1,0,0,0,0,1,10.8,10.8,1.6%
7,8,Jimmy Graham(CHI),5,9,104,20.8,54,2,0,0,0,0,0,1,10.4,10.4,0.8%
8,9,Zach Ertz(ARI),7,9,43,6.1,15,0,1,0,0,0,0,1,10.3,10.3,85.8%
9,10,Rob Gronkowski(TB),3,4,97,32.3,42,2,0,0,0,0,0,1,9.7,9.7,97.7%
10,11,Trey Burton(FA),4,4,23,5.8,9,0,1,0,0,0,0,1,8.3,8.3,0.0%
11,12,Cameron Brate(TB),1,1,15,15.0,15,0,1,0,0,0,0,1,7.5,7.5,2.8%
12,13,Ricky Seals-Jones(WAS),5,6,69,13.8,40,1,0,0,0,0,0,1,6.9,6.9,10.8%
13,14,Vance McDonald(FA),7,8,68,9.7,26,1,0,0,0,0,0,1,6.8,6.8,0.0%
14,15,Erik Swoope(FA),1,2,2,2.0,2,0,1,0,0,0,0,1,6.2,6.2,0.0%
15,16,Travis Kelce(KC),5,9,61,12.2,17,0,0,0,0,0,0,1,6.1,6.1,100.0%
16,17,C.J. Uzomah(CIN),6,7,54,9.0,13,0,0,0,0,0,0,1,5.4,5.4,20.8%
17,18,Greg Olsen(FA),4,7,48,12.0,18,0,0,0,0,0,0,1,4.8,4.8,7.0%
18,19,Lance Kendricks(FA),2,4,37,18.5,22,1,0,0,0,0,0,1,3.7,3.7,0.0%
19,20,Kyle Rudolph(NYG),4,5,37,9.3,17,0,0,0,0,0,0,1,3.7,3.7,0.3%
20,21,Jordan Reed(FA),5,9,36,7.2,10,0,0,0,0,0,0,1,3.6,3.6,19.0%
21,22,Xavier Grimble(BAL),2,2,35,17.5,22,1,0,0,0,0,0,1,3.5,3.5,0.0%
22,23,Mo Alie-Cox(IND),1,2,34,34.0,34,1,0,0,0,0,0,1,3.4,3.4,2.2%
23,24,George Kittle(SF),4,6,30,7.5,11,0,0,0,0,0,0,1,3.0,3.0,99.7%
24,25,James O'Shaughnessy(JAC),3,4,29,9.7,17,0,0,0,0,0,0,1,2.9,2.9,1.7%
25,26,Jesse James(CHI),5,7,26,5.2,9,0,0,0,0,0,0,1,2.6,2.6,0.0%
26,27,Jermaine Gresham(FA),1,1,26,26.0,26,1,0,0,0,0,0,1,2.6,2.6,0.0%
27,28,Scott Simonson(FA),1,3,24,24.0,24,1,0,0,0,0,0,1,2.4,2.4,0.0%
28,29,Gerald Everett(SEA),2,4,24,12.0,12,0,0,0,0,0,0,1,2.4,2.4,35.7%
29,30,Jeff Heuerman(FA),3,5,23,7.7,11,0,0,0,0,0,0,1,2.3,2.3,0.0%
30,31,Tyrone Swoopes(FA),1,1,23,23.0,23,1,0,0,0,0,0,1,2.3,2.3,0.0%
31,32,Geoff Swaim(TEN),2,2,21,10.5,11,0,0,0,0,0,0,1,2.1,2.1,0.3%
32,33,Charles Clay(FA),4,5,20,5.0,10,0,0,0,0,0,0,1,2.0,2.0,0.0%
33,34,Mark Andrews(BAL),2,4,20,10.0,13,0,0,0,0,0,0,1,2.0,2.0,99.9%
34,35,Rico Gathers(FA),1,1,14,14.0,14,0,0,0,0,0,0,1,1.4,1.4,0.0%
35,36,Neal Sterling(FA),2,2,13,6.5,7,0,0,0,0,0,0,1,1.3,1.3,0.0%
36,37,Jonnu Smith(NE),1,1,12,12.0,12,0,0,0,0,0,0,1,1.2,1.2,22.7%
37,38,Mike Gesicki(MIA),1,2,11,11.0,11,0,0,0,0,0,0,1,1.1,1.1,87.6%
38,39,Jared Cook(LAC),2,2,10,5.0,8,0,0,0,0,0,0,1,1.0,1.0,50.2%
39,40,Orson Charles(FA),1,1,8,8.0,8,0,0,0,0,0,0,1,0.8,0.8,0.0%
40,41,Dallas Goedert(PHI),1,1,7,7.0,7,0,0,0,0,0,0,1,0.7,0.7,89.8%
41,42,David Grinnage(FA),1,1,7,7.0,7,0,0,0,0,0,0,1,0.7,0.7,0.0%
42,43,Matt LaCosse(FA),1,4,7,7.0,7,0,0,0,0,0,0,1,0.7,0.7,0.0%
43,44,Nick Boyle(BAL),2,4,7,3.5,8,0,0,0,0,0,0,1,0.7,0.7,0.1%
44,45,Jordan Akins(HOU),1,1,6,6.0,6,0,0,0,0,0,0,1,0.6,0.6,0.3%
45,46,Antonio Gates(FA),1,2,5,5.0,5,0,0,0,0,0,0,1,0.5,0.5,0.2%
46,47,Antony Auclair(HOU),1,1,5,5.0,5,0,0,0,0,0,0,1,0.5,0.5,0.0%
47,48,Chris Manhertz(JAC),1,2,2,2.0,2,0,0,0,0,0,0,1,0.2,0.2,0.0%
48,49,Luke Farrell(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
49,50,Harrison Bryant(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%
50,51,Adam Trautman(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7%
51,52,Devin Asiasi(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
52,53,Colby Parkinson(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
53,54,Josiah Deguara(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4%
54,55,Mitchell Wilcox(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
55,56,Hunter Bryant(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
56,57,Noah Gray(KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3%
57,58,Jared Pinkney(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
58,59,Brycen Hopkins(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
59,60,Matthew Orzech(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
60,61,Matt Sokol(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
61,62,Cole Kmet(CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3%
62,63,Ian Bunting(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
63,64,Parker Hesse(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
64,65,Chris Myarick(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
65,66,Juwan Johnson(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9%
66,67,Tyler Mabry(SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
67,68,Dalton Keene(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
68,69,Nick Bowers(LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
69,70,Jake Bargas(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
70,71,Brevin Jordan(HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4%
71,72,Pat Freiermuth(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.7%
72,73,Kyle Pitts(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.4%
73,74,Farrod Green(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
74,75,Ryan Becker(ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
75,76,Thaddeus Moss(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
76,77,Kyle Markway(LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
77,78,Stephen Sullivan(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
78,79,Charlie Taumoepeau(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
79,80,Charlie Woerner(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
80,81,Noah Togiai(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
81,82,Ben Ellefson(MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
82,83,Sean McKeon(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
83,84,Giovanni Ricci(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
84,85,Tyler Davis(GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
85,86,Reggie Gilliam(BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
86,87,Rashod Berry(DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
87,88,Scotty Washington(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
88,89,Eli Wolf(IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
89,90,Tommy Hudson(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
90,91,Rysen John(NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
91,92,Nakia Griffin-Stewart(KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
92,93,Mitchell Fraboni(HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
93,94,David Wells(ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
94,95,Ethan Wolf(NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
95,96,Durham Smythe(MIA),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%
96,97,Noah Fant(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.3%
97,98,Ryan Izzo(TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
98,99,Dylan Cantrell(WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
99,100,Tyler Conklin(MIN),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,40.5%
100,101,Ian Thomas(CAR),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%
101,102,Jordan Franks(CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
102,103,Kevin Rader(PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
103,104,Tanner Hudson(SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
104,105,Jordan Thomas(DET),0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%
105,106,Dalton Schultz(DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.9%
106,107,Pharaoh Brown(HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
107,108,Dan Arnold(JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7%
108,109,Hayden Hurst(ATL),0,1,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.9%
109,110,Colin Thompson(CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
110,111,Troy Fumagalli(NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
111,112,Andrew Beck(DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
112,113,Drew Sample(CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
113,114,Trevon Wesco(NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%
114,115,Tyree Jackson(PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%
