,Rank,Player,SACK,INT,FR,FF,DEF TD,SFTY,SPC TD,G,FPTS,FPTS/G,ROST
0,1,Washington Commanders(WAS),4,1,2,2,2,0,0,1,23.0,23.0,27.5%
1,2,Los Angeles Rams(LAR),6,1,0,0,1,0,0,1,21.0,21.0,74.5%
2,3,Dallas Cowboys(DAL),2,0,3,2,1,0,0,1,18.0,18.0,82.9%
3,4,Arizona Cardinals(ARI),8,0,3,4,0,0,0,1,18.0,18.0,60.9%
4,5,Chicago Bears(CHI),7,0,2,1,0,1,0,1,17.0,17.0,35.9%
5,6,Kansas City Chiefs(KC),4,1,0,0,0,1,1,1,14.0,14.0,45.7%
6,7,Buffalo Bills(BUF),1,2,0,1,1,0,0,1,12.0,12.0,95.9%
7,8,Seattle Seahawks(SEA),3,0,1,1,0,0,0,1,12.0,12.0,39.4%
8,9,Indianapolis Colts(IND),0,2,1,1,1,0,0,1,12.0,12.0,66.4%
9,10,Miami Dolphins(MIA),3,3,1,1,0,0,0,1,10.0,10.0,60.2%
10,11,Denver Broncos(DEN),4,0,0,0,0,0,1,1,10.0,10.0,48.5%
11,12,Tampa Bay Buccaneers(TB),6,0,1,2,0,0,0,1,9.0,9.0,98.0%
12,13,Los Angeles Chargers(LAC),2,3,0,0,0,0,0,1,9.0,9.0,44.3%
13,14,Philadelphia Eagles(PHI),5,1,1,1,0,0,0,1,9.0,9.0,52.5%
14,15,Tennessee Titans(TEN),0,1,0,0,0,0,0,1,8.0,8.0,48.4%
15,16,San Francisco 49ers(SF),2,1,0,0,0,0,0,1,8.0,8.0,79.5%
16,17,Pittsburgh Steelers(PIT),1,1,1,2,0,0,0,1,6.0,6.0,44.6%
17,18,New England Patriots(NE),1,1,0,0,0,0,0,1,4.0,4.0,93.2%
18,19,Green Bay Packers(GB),4,0,0,0,0,0,0,1,4.0,4.0,60.6%
19,20,Atlanta Falcons(ATL),1,1,0,2,0,0,0,1,4.0,4.0,5.8%
20,21,New Orleans Saints(NO),0,0,1,1,0,0,0,1,2.0,2.0,79.3%
21,22,Jacksonville Jaguars(JAC),1,0,1,1,0,0,0,1,2.0,2.0,6.9%
22,23,Cleveland Browns(CLE),4,0,0,1,0,0,0,1,2.0,2.0,40.8%
23,24,Cincinnati Bengals(CIN),2,0,0,0,0,0,0,1,2.0,2.0,14.7%
24,25,Carolina Panthers(CAR),1,0,1,1,0,0,0,1,2.0,2.0,27.8%
25,26,New York Giants(NYG),1,0,0,2,0,0,0,1,1.0,1.0,4.5%
26,27,Minnesota Vikings(MIN),0,0,0,0,0,0,0,1,0.0,0.0,28.0%
27,28,Baltimore Ravens(BAL),0,1,0,3,0,1,0,1,0.0,0.0,51.9%
28,29,New York Jets(NYJ),1,1,0,0,0,0,0,1,-1.0,-1.0,3.3%
29,30,Houston Texans(HOU),3,0,0,0,0,0,0,1,-1.0,-1.0,6.4%
30,31,Detroit Lions(DET),0,0,0,0,0,0,0,1,-1.0,-1.0,1.1%
31,32,Las Vegas Raiders(LV),0,0,0,0,0,0,0,1,-4.0,-4.0,7.6%
