"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jonathan Taylor (IND)","332","1,811","5.5","83","0","18","40","51","360","9.0","2","2","17","333.1","19.6","100.0%"
"2","Austin Ekeler (LAC)","206","911","4.4","28","0","12","70","94","647","9.2","8","3","16","273.8","17.1","99.9%"
"3","Joe Mixon (CIN)","292","1,205","4.1","32","0","13","42","48","314","7.5","3","1","16","245.9","15.4","98.1%"
"4","Najee Harris (PIT)","307","1,200","3.9","37","0","7","74","94","467","6.3","3","0","17","226.7","13.3","99.9%"
"5","James Conner (ARI)","202","752","3.7","35","0","15","37","39","375","10.1","3","0","15","220.7","14.7","94.6%"
"6","Ezekiel Elliott (DAL)","237","1,002","4.2","47","0","10","47","65","287","6.1","2","1","17","205.1","12.1","99.7%"
"7","Nick Chubb (CLE)","228","1,259","5.5","70","0","8","20","25","174","8.7","1","1","14","195.3","14.0","99.8%"
"8","Damien Harris (NE)","202","929","4.6","64","0","15","18","20","132","7.3","0","2","15","192.1","12.8","89.8%"
"9","Alvin Kamara (NO)","240","898","3.7","30","0","4","47","67","439","9.3","5","0","13","187.7","14.4","100.0%"
"10","Antonio Gibson (WAS)","258","1,037","4.0","27","0","7","42","52","294","7.0","3","4","16","187.1","11.7","95.9%"
"11","Leonard Fournette (TB)","180","812","4.5","47","0","8","69","84","454","6.6","2","0","14","186.6","13.3","74.8%"
"12","Cordarrelle Patterson (ATL)","153","618","4.0","39","0","6","52","69","548","10.5","5","0","16","182.6","11.4","95.1%"
"13","Aaron Jones (GB)","171","799","4.7","57","0","4","52","65","391","7.5","6","1","15","177.0","11.8","98.9%"
"14","Derrick Henry (TEN)","219","937","4.3","76","0","10","18","20","154","8.6","0","0","8","175.3","21.9","78.0%"
"15","Dalvin Cook (MIN)","249","1,159","4.7","66","0","6","34","49","224","6.6","0","2","13","172.3","13.3","100.0%"
"16","Josh Jacobs (LV)","217","872","4.0","28","0","9","54","64","348","6.4","0","2","15","172.0","11.5","98.0%"
"17","Melvin Gordon III (DEN)","203","918","4.5","70","0","8","28","38","213","7.6","2","3","16","167.2","10.5","87.8%"
