player,team,yardline_100
M.Ryan,ATL,75.0
K.Cousins,MIN,31.0
K.Cousins,MIN,23.0
M.Ryan,ATL,72.0
K.Cousins,MIN,41.0
K.Cousins,MIN,19.0
M.Ryan,ATL,73.0
M.Ryan,ATL,65.0
M.Ryan,ATL,65.0
M.Ryan,ATL,60.0
M.Ryan,ATL,55.0
M.Ryan,ATL,33.0
M.Ryan,ATL,41.0
M.Ryan,ATL,41.0
K.Cousins,MIN,89.0
M.Ryan,ATL,72.0
M.Ryan,ATL,58.0
K.Cousins,MIN,78.0
K.Cousins,MIN,54.0
M.Ryan,ATL,59.0
M.Ryan,ATL,49.0
M.Ryan,ATL,38.0
M.Ryan,ATL,38.0
M.Ryan,ATL,44.0
M.Ryan,ATL,55.0
M.Ryan,ATL,55.0
M.Ryan,ATL,42.0
K.Cousins,MIN,72.0
K.Cousins,MIN,73.0
M.Ryan,ATL,85.0
M.Ryan,ATL,71.0
M.Ryan,ATL,56.0
M.Ryan,ATL,43.0
M.Ryan,ATL,37.0
M.Ryan,ATL,29.0
M.Ryan,ATL,34.0
M.Ryan,ATL,3.0
K.Cousins,MIN,80.0
K.Cousins,MIN,69.0
M.Ryan,ATL,77.0
M.Ryan,ATL,77.0
M.Ryan,ATL,77.0
M.Ryan,ATL,66.0
M.Ryan,ATL,53.0
M.Ryan,ATL,37.0
M.Ryan,ATL,25.0
M.Ryan,ATL,25.0
M.Ryan,ATL,20.0
M.Ryan,ATL,20.0
M.Ryan,ATL,2.0
M.Ryan,ATL,76.0
M.Ryan,ATL,69.0
M.Ryan,ATL,59.0
M.Ryan,ATL,52.0
M.Ryan,ATL,43.0
M.Ryan,ATL,43.0
M.Ryan,ATL,31.0
M.Ryan,ATL,25.0
M.Ryan,ATL,33.0
M.Ryan,ATL,23.0
M.Ryan,ATL,18.0
M.Ryan,ATL,2.0
M.Ryan,ATL,2.0
L.Jackson,BAL,40.0
L.Jackson,BAL,22.0
R.Fitzpatrick,MIA,79.0
R.Fitzpatrick,MIA,79.0
R.Fitzpatrick,MIA,63.0
L.Jackson,BAL,47.0
R.Fitzpatrick,MIA,75.0
R.Fitzpatrick,MIA,75.0
R.Fitzpatrick,MIA,69.0
L.Jackson,BAL,83.0
R.Fitzpatrick,MIA,88.0
R.Fitzpatrick,MIA,62.0
R.Fitzpatrick,MIA,57.0
R.Fitzpatrick,MIA,57.0
L.Jackson,BAL,77.0
L.Jackson,BAL,63.0
L.Jackson,BAL,33.0
R.Fitzpatrick,MIA,76.0
R.Fitzpatrick,MIA,28.0
R.Fitzpatrick,MIA,36.0
L.Jackson,BAL,75.0
L.Jackson,BAL,8.0
L.Jackson,BAL,5.0
R.Fitzpatrick,MIA,73.0
R.Fitzpatrick,MIA,73.0
L.Jackson,BAL,76.0
L.Jackson,BAL,76.0
R.Fitzpatrick,MIA,75.0
R.Fitzpatrick,MIA,46.0
R.Fitzpatrick,MIA,46.0
R.Fitzpatrick,MIA,46.0
R.Fitzpatrick,MIA,24.0
R.Fitzpatrick,MIA,24.0
R.Fitzpatrick,MIA,17.0
R.Fitzpatrick,MIA,6.0
R.Fitzpatrick,MIA,75.0
R.Fitzpatrick,MIA,65.0
R.Fitzpatrick,MIA,65.0
L.Jackson,BAL,67.0
L.Jackson,BAL,47.0
L.Jackson,BAL,41.0
L.Jackson,BAL,40.0
L.Jackson,BAL,1.0
L.Jackson,BAL,1.0
R.Fitzpatrick,MIA,75.0
R.Fitzpatrick,MIA,75.0
R.Fitzpatrick,MIA,75.0
R.Fitzpatrick,MIA,63.0
R.Fitzpatrick,MIA,67.0
L.Jackson,BAL,88.0
L.Jackson,BAL,67.0
L.Jackson,BAL,16.0
J.Rosen,MIA,75.0
J.Rosen,MIA,70.0
R.Griffin,BAL,31.0
R.Griffin,BAL,3.0
J.Rosen,MIA,70.0
J.Rosen,MIA,69.0
R.Griffin,BAL,80.0
R.Griffin,BAL,62.0
R.Griffin,BAL,47.0
R.Griffin,BAL,30.0
J.Allen,BUF,75.0
J.Allen,BUF,67.0
J.Allen,BUF,49.0
J.Allen,BUF,40.0
J.Allen,BUF,36.0
J.Allen,BUF,26.0
J.Allen,BUF,26.0
S.Darnold,NYJ,57.0
S.Darnold,NYJ,57.0
J.Allen,BUF,88.0
J.Allen,BUF,75.0
J.Allen,BUF,67.0
J.Allen,BUF,42.0
J.Allen,BUF,36.0
J.Allen,BUF,37.0
S.Darnold,NYJ,87.0
S.Darnold,NYJ,83.0
S.Darnold,NYJ,73.0
J.Allen,BUF,61.0
J.Allen,BUF,60.0
S.Darnold,NYJ,70.0
S.Darnold,NYJ,71.0
S.Darnold,NYJ,59.0
S.Darnold,NYJ,48.0
S.Darnold,NYJ,39.0
S.Darnold,NYJ,44.0
S.Darnold,NYJ,36.0
S.Darnold,NYJ,36.0
J.Allen,BUF,85.0
J.Allen,BUF,77.0
J.Allen,BUF,74.0
J.Allen,BUF,45.0
S.Darnold,NYJ,57.0
J.Allen,BUF,82.0
J.Allen,BUF,78.0
J.Allen,BUF,80.0
J.Allen,BUF,52.0
J.Allen,BUF,52.0
S.Darnold,NYJ,48.0
S.Darnold,NYJ,29.0
S.Darnold,NYJ,27.0
S.Darnold,NYJ,27.0
S.Darnold,NYJ,70.0
S.Darnold,NYJ,64.0
S.Darnold,NYJ,56.0
S.Darnold,NYJ,50.0
S.Darnold,NYJ,50.0
S.Darnold,NYJ,50.0
S.Darnold,NYJ,60.0
S.Darnold,NYJ,46.0
S.Darnold,NYJ,20.0
S.Darnold,NYJ,15.0
S.Darnold,NYJ,9.0
S.Darnold,NYJ,2.0
J.Allen,BUF,49.0
J.Allen,BUF,34.0
J.Allen,BUF,25.0
J.Allen,BUF,25.0
S.Darnold,NYJ,68.0
S.Darnold,NYJ,63.0
S.Darnold,NYJ,62.0
J.Allen,BUF,55.0
J.Allen,BUF,41.0
J.Allen,BUF,23.0
S.Darnold,NYJ,73.0
S.Darnold,NYJ,70.0
S.Darnold,NYJ,64.0
S.Darnold,NYJ,66.0
J.Allen,BUF,80.0
J.Allen,BUF,72.0
J.Allen,BUF,64.0
J.Allen,BUF,64.0
J.Allen,BUF,44.0
J.Allen,BUF,50.0
J.Allen,BUF,38.0
S.Darnold,NYJ,75.0
S.Darnold,NYJ,70.0
S.Darnold,NYJ,66.0
S.Darnold,NYJ,60.0
S.Darnold,NYJ,60.0
S.Darnold,NYJ,60.0
S.Darnold,NYJ,60.0
S.Darnold,NYJ,80.0
S.Darnold,NYJ,75.0
A.Dalton,CIN,75.0
A.Dalton,CIN,72.0
A.Dalton,CIN,72.0
