player,team,yardline_100
D.Cook,MIN,31.0
A.Thielen,MIN,23.0
J.Jones,ATL,72.0
D.Cook,MIN,41.0
J.Hardy,ATL,73.0
J.Hardy,ATL,65.0
J.Jones,ATL,60.0
J.Hardy,ATL,55.0
J.Jones,ATL,33.0
J.Jones,ATL,41.0
R.Gage,ATL,41.0
S.Diggs,MIN,89.0
M.Sanu,ATL,72.0
C.Ridley,ATL,58.0
C.Beebe,MIN,78.0
K.Rudolph,MIN,54.0
J.Jones,ATL,59.0
I.Smith,ATL,49.0
J.Jones,ATL,38.0
A.Hooper,ATL,38.0
M.Sanu,ATL,55.0
R.Gage,ATL,55.0
M.Sanu,ATL,42.0
A.Thielen,MIN,73.0
A.Hooper,ATL,85.0
A.Hooper,ATL,71.0
A.Hooper,ATL,56.0
M.Sanu,ATL,43.0
C.Ridley,ATL,37.0
M.Sanu,ATL,34.0
L.Stocker,ATL,3.0
A.Thielen,MIN,80.0
S.Diggs,MIN,69.0
C.Ridley,ATL,77.0
D.Freeman,ATL,77.0
J.Jones,ATL,77.0
A.Hooper,ATL,66.0
A.Hooper,ATL,53.0
A.Hooper,ATL,37.0
D.Freeman,ATL,25.0
D.Freeman,ATL,25.0
J.Hardy,ATL,20.0
C.Ridley,ATL,20.0
J.Hardy,ATL,2.0
D.Freeman,ATL,76.0
J.Hardy,ATL,69.0
A.Hooper,ATL,59.0
C.Ridley,ATL,52.0
J.Jones,ATL,43.0
A.Hooper,ATL,43.0
J.Jones,ATL,31.0
M.Sanu,ATL,33.0
J.Jones,ATL,23.0
C.Ridley,ATL,18.0
J.Jones,ATL,2.0
J.Jones,ATL,2.0
H.Hurst,BAL,40.0
N.Boyle,BAL,22.0
P.Williams,MIA,79.0
A.Wilson,MIA,79.0
K.Drake,MIA,63.0
M.Brown,BAL,47.0
A.Wilson,MIA,75.0
K.Ballage,MIA,75.0
A.Wilson,MIA,69.0
M.Brown,BAL,83.0
M.Gesicki,MIA,88.0
K.Drake,MIA,62.0
M.Gesicki,MIA,57.0
A.Wilson,MIA,57.0
M.Andrews,BAL,77.0
M.Brown,BAL,63.0
W.Snead,BAL,33.0
D.Parker,MIA,76.0
J.Grant,MIA,28.0
P.Williams,MIA,36.0
M.Brown,BAL,8.0
M.Boykin,BAL,5.0
D.Parker,MIA,73.0
J.Grant,MIA,73.0
M.Brown,BAL,76.0
M.Andrews,BAL,76.0
D.Parker,MIA,75.0
A.Hurns,MIA,46.0
A.Hurns,MIA,46.0
D.Parker,MIA,24.0
P.Williams,MIA,24.0
P.Williams,MIA,17.0
P.Williams,MIA,6.0
K.Drake,MIA,75.0
D.Parker,MIA,65.0
M.Andrews,BAL,67.0
M.Andrews,BAL,47.0
M.Andrews,BAL,41.0
M.Andrews,BAL,40.0
P.Ricard,BAL,1.0
M.Gesicki,MIA,75.0
M.Gesicki,MIA,75.0
D.Parker,MIA,75.0
D.Parker,MIA,63.0
