player,team,yardline_100
D.Freeman,ATL,83.0
M.Ryan,ATL,79.0
D.Freeman,ATL,84.0
D.Freeman,ATL,80.0
D.Cook,MIN,40.0
D.Cook,MIN,19.0
D.Freeman,ATL,75.0
D.Freeman,ATL,54.0
R.Gage,ATL,32.0
A.Mattison,MIN,92.0
D.Cook,MIN,83.0
A.Mattison,MIN,81.0
A.Mattison,MIN,68.0
K.Cousins,MIN,72.0
A.Abdullah,MIN,74.0
M.Ryan,ATL,38.0
D.Freeman,ATL,21.0
D.Cook,MIN,79.0
D.Cook,MIN,78.0
D.Cook,MIN,54.0
D.Cook,MIN,46.0
D.Cook,MIN,40.0
A.Mattison,MIN,18.0
D.Cook,MIN,1.0
K.Cousins,MIN,1.0
I.Smith,ATL,75.0
I.Smith,ATL,40.0
D.Cook,MIN,90.0
D.Cook,MIN,88.0
D.Cook,MIN,90.0
D.Cook,MIN,75.0
D.Cook,MIN,61.0
D.Cook,MIN,59.0
D.Cook,MIN,53.0
D.Freeman,ATL,76.0
I.Smith,ATL,66.0
D.Freeman,ATL,58.0
I.Smith,ATL,39.0
I.Smith,ATL,2.0
D.Cook,MIN,72.0
K.Cousins,MIN,71.0
D.Cook,MIN,23.0
D.Cook,MIN,7.0
A.Mattison,MIN,75.0
A.Mattison,MIN,71.0
A.Abdullah,MIN,73.0
I.Smith,ATL,34.0
D.Cook,MIN,71.0
D.Cook,MIN,69.0
K.Cousins,MIN,62.0
A.Mattison,MIN,59.0
A.Mattison,MIN,59.0
A.Mattison,MIN,59.0
K.Cousins,MIN,39.0
K.Cousins,MIN,40.0
M.Ingram,BAL,89.0
G.Edwards,BAL,33.0
J.Hill,BAL,19.0
M.Ingram,BAL,6.0
G.Edwards,BAL,2.0
M.Ingram,BAL,1.0
K.Ballage,MIA,67.0
A.Wilson,MIA,62.0
K.Ballage,MIA,61.0
G.Edwards,BAL,90.0
L.Jackson,BAL,86.0
K.Ballage,MIA,85.0
M.Ingram,BAL,80.0
J.Hill,BAL,68.0
L.Jackson,BAL,44.0
G.Edwards,BAL,35.0
K.Drake,MIA,75.0
K.Drake,MIA,27.0
M.Ingram,BAL,76.0
G.Edwards,BAL,66.0
M.Ingram,BAL,10.0
K.Drake,MIA,90.0
R.Fitzpatrick,MIA,81.0
K.Ballage,MIA,73.0
M.Ingram,BAL,79.0
A.Levine,BAL,70.0
G.Edwards,BAL,10.0
M.Ingram,BAL,8.0
M.Ingram,BAL,2.0
L.Jackson,BAL,75.0
K.Drake,MIA,65.0
M.Ingram,BAL,71.0
J.Hill,BAL,47.0
M.Ingram,BAL,37.0
K.Ballage,MIA,73.0
G.Edwards,BAL,84.0
J.Hill,BAL,79.0
M.Ingram,BAL,44.0
M.Ingram,BAL,21.0
G.Edwards,BAL,18.0
M.Ingram,BAL,42.0
G.Edwards,BAL,33.0
G.Edwards,BAL,20.0
G.Edwards,BAL,15.0
R.Griffin,BAL,5.0
G.Edwards,BAL,2.0
G.Edwards,BAL,2.0
M.Walton,MIA,70.0
J.Hill,BAL,79.0
G.Edwards,BAL,70.0
G.Edwards,BAL,68.0
G.Edwards,BAL,66.0
J.Hill,BAL,51.0
G.Edwards,BAL,35.0
R.Griffin,BAL,22.0
J.Hill,BAL,19.0
R.Griffin,BAL,9.0
R.Griffin,BAL,5.0
L.Bell,NYJ,62.0
J.Allen,BUF,70.0
J.Allen,BUF,36.0
J.Allen,BUF,37.0
J.Allen,BUF,33.0
L.Bell,NYJ,97.0
L.Bell,NYJ,99.0
L.Bell,NYJ,78.0
S.Darnold,NYJ,70.0
F.Gore,BUF,62.0
L.Bell,NYJ,80.0
L.Bell,NYJ,70.0
L.Bell,NYJ,36.0
F.Gore,BUF,95.0
F.Gore,BUF,86.0
J.Allen,BUF,45.0
J.Allen,BUF,37.0
J.Allen,BUF,36.0
L.Bell,NYJ,63.0
L.Bell,NYJ,59.0
J.Allen,BUF,65.0
L.Bell,NYJ,62.0
F.Gore,BUF,98.0
L.Bell,NYJ,52.0
L.Bell,NYJ,46.0
J.Crowder,NYJ,24.0
L.Bell,NYJ,9.0
F.Gore,BUF,75.0
D.Singletary,BUF,69.0
F.Gore,BUF,49.0
F.Gore,BUF,23.0
L.Bell,NYJ,75.0
T.Montgomery,NYJ,70.0
L.Bell,NYJ,61.0
F.Gore,BUF,85.0
D.Singletary,BUF,78.0
D.Singletary,BUF,35.0
D.Singletary,BUF,18.0
J.Allen,BUF,3.0
T.Montgomery,NYJ,75.0
L.Bell,NYJ,67.0
J.Allen,BUF,72.0
L.Bell,NYJ,66.0
F.Gore,BUF,40.0
F.Gore,BUF,39.0
F.Gore,BUF,37.0
C.Carson,SEA,80.0
J.Mixon,CIN,56.0
J.Mixon,CIN,52.0
J.Mixon,CIN,18.0
C.Carson,SEA,75.0
C.Carson,SEA,82.0
C.Carson,SEA,35.0
R.Penny,SEA,48.0
R.Penny,SEA,43.0
C.Carson,SEA,17.0
C.Carson,SEA,6.0
C.Carson,SEA,1.0
R.Penny,SEA,75.0
R.Penny,SEA,75.0
J.Mixon,CIN,70.0
J.Mixon,CIN,64.0
C.Carson,SEA,13.0
R.Wilson,SEA,75.0
J.Mixon,CIN,13.0
C.Carson,SEA,76.0
C.Carson,SEA,82.0
G.Bernard,CIN,70.0
G.Bernard,CIN,73.0
G.Bernard,CIN,33.0
T.Boyd,CIN,34.0
G.Bernard,CIN,31.0
G.Bernard,CIN,92.0
G.Bernard,CIN,36.0
R.Penny,SEA,64.0
R.Penny,SEA,59.0
G.Bernard,CIN,35.0
C.Carson,SEA,75.0
R.Wilson,SEA,94.0
C.Carson,SEA,89.0
C.Carson,SEA,85.0
C.Carson,SEA,64.0
C.Carson,SEA,64.0
R.Wilson,SEA,70.0
R.Wilson,SEA,44.0
J.Jacobs,LV,72.0
J.Jacobs,LV,68.0
J.Jacobs,LV,52.0
J.Jacobs,LV,16.0
J.Jacobs,LV,10.0
N.Fant,DEN,75.0
J.Jacobs,LV,86.0
P.Lindsay,DEN,60.0
R.Freeman,DEN,60.0
R.Freeman,DEN,38.0
P.Lindsay,DEN,41.0
J.Jacobs,LV,98.0
J.Jacobs,LV,86.0
J.Jacobs,LV,81.0
J.Jacobs,LV,29.0
J.Jacobs,LV,20.0
D.Carr,LV,15.0
J.Jacobs,LV,2.0
P.Lindsay,DEN,75.0
P.Lindsay,DEN,67.0
P.Lindsay,DEN,75.0
P.Lindsay,DEN,49.0
R.Freeman,DEN,22.0
R.Freeman,DEN,18.0
P.Lindsay,DEN,13.0
R.Freeman,DEN,6.0
J.Jacobs,LV,75.0
J.Richard,LV,69.0
P.Lindsay,DEN,76.0
R.Freeman,DEN,64.0
R.Freeman,DEN,60.0
R.Freeman,DEN,53.0
P.Lindsay,DEN,13.0
P.Lindsay,DEN,8.0
J.Jacobs,LV,67.0
D.Washington,LV,56.0
P.Lindsay,DEN,86.0
J.Jacobs,LV,32.0
J.Jacobs,LV,4.0
R.Freeman,DEN,75.0
R.Freeman,DEN,22.0
J.Jacobs,LV,30.0
J.Jacobs,LV,22.0
J.Jacobs,LV,18.0
J.Jacobs,LV,16.0
J.Jacobs,LV,12.0
J.Flacco,DEN,2.0
D.Washington,LV,75.0
J.Jacobs,LV,74.0
J.Jacobs,LV,63.0
D.Carr,LV,50.0
K.Johnson,DET,68.0
K.Johnson,DET,59.0
C.Anderson,DET,50.0
D.Johnson,ARI,95.0
K.Johnson,DET,45.0
K.Murray,ARI,99.0
D.Johnson,ARI,66.0
D.Johnson,ARI,60.0
D.Johnson,ARI,57.0
C.Anderson,DET,80.0
C.Anderson,DET,50.0
M.Stafford,DET,43.0
K.Johnson,DET,39.0
K.Johnson,DET,38.0
D.Johnson,ARI,84.0
K.Johnson,DET,51.0
K.Johnson,DET,95.0
M.Stafford,DET,40.0
C.Anderson,DET,28.0
C.Anderson,DET,23.0
C.Anderson,DET,19.0
D.Johnson,ARI,75.0
D.Johnson,ARI,74.0
D.Johnson,ARI,8.0
C.Edmonds,ARI,82.0
M.Stafford,DET,79.0
