player,receiving_rec,receiving_yds,receiving_td,lst,fantasy_points,team,position,week,year
Travis Kelce,6.9,88.7,0.8,0.1,13.3,KC,TE,1,2021
George Kittle,5.5,72.0,0.6,0.0,10.7,SF,TE,1,2021
Darren Waller,6.5,76.0,0.5,0.1,10.3,LV,TE,1,2021
Mark Andrews,4.8,56.2,0.6,0.0,9.4,BAL,TE,1,2021
T.J. Hockenson,4.6,50.9,0.3,0.0,7.1,DET,TE,1,2021
Kyle Pitts,3.8,46.3,0.4,0.0,6.9,ATL,TE,1,2021
Robert Tonyan,3.2,35.1,0.5,0.0,6.8,GB,TE,1,2021
Logan Thomas,4.2,43.7,0.4,0.0,6.7,WAS,TE,1,2021
Mike Gesicki,3.8,45.0,0.3,0.0,6.5,MIA,TE,1,2021
Dallas Goedert,3.7,42.7,0.3,0.0,6.3,PHI,TE,1,2021
Rob Gronkowski,2.5,30.8,0.5,0.0,6.1,TB,TE,1,2021
Noah Fant,4.1,45.8,0.2,0.0,5.6,DEN,TE,1,2021
Tyler Higbee,3.6,38.9,0.2,0.0,5.2,LAR,TE,1,2021
Austin Hooper,3.6,38.2,0.2,0.0,5.1,CLE,TE,1,2021
Jared Cook,3.2,38.3,0.2,0.0,5.0,LAC,TE,1,2021
Anthony Firkser,3.2,35.6,0.2,0.0,4.6,TEN,TE,1,2021
Hunter Henry,3.0,34.1,0.2,0.0,4.4,NE,TE,1,2021
Jonnu Smith,3.0,32.0,0.2,0.0,4.3,NE,TE,1,2021
Zach Ertz,3.1,34.4,0.1,0.0,4.2,ARI,TE,1,2021
Kyle Rudolph,2.6,25.8,0.2,0.0,4.1,NYG,TE,1,2021
Jordan Akins,2.9,32.4,0.1,0.0,4.0,HOU,TE,1,2021
Hayden Hurst,2.5,26.4,0.2,0.0,3.5,ATL,TE,1,2021
Dawson Knox,2.2,25.6,0.2,0.0,3.4,BUF,TE,1,2021
Blake Jarwin,2.5,27.3,0.1,0.0,3.4,DAL,TE,1,2021
O.J. Howard,1.9,25.0,0.2,0.0,3.4,TB,TE,1,2021
Tyler Conklin,2.4,26.3,0.1,0.0,3.4,MIN,TE,1,2021
Cole Kmet,2.8,26.6,0.1,0.0,3.3,CHI,TE,1,2021
Jack Doyle,2.2,24.9,0.1,0.0,3.3,IND,TE,1,2021
Dan Arnold,1.9,23.4,0.1,0.0,3.1,JAC,TE,1,2021
Juwan Johnson,2.3,26.5,0.1,0.0,2.9,NO,TE,1,2021
C.J. Uzomah,2.1,21.9,0.1,0.0,2.9,CIN,TE,1,2021
Mo Alie-Cox,1.8,21.0,0.1,0.0,2.6,IND,TE,1,2021
James O'Shaughnessy,2.0,20.0,0.1,0.0,2.5,JAC,TE,1,2021
Pharaoh Brown,1.5,16.6,0.1,0.0,2.5,HOU,TE,1,2021
David Njoku,1.5,17.6,0.1,0.0,2.5,CLE,TE,1,2021
Tyler Kroft,1.9,17.3,0.1,0.0,2.4,NYJ,TE,1,2021
Chris Herndon IV,1.5,17.2,0.1,0.0,2.4,MIN,TE,1,2021
Dalton Schultz,1.8,18.8,0.1,0.0,2.4,DAL,TE,1,2021
Jimmy Graham,1.8,18.2,0.1,0.0,2.4,CHI,TE,1,2021
Donald Parham Jr.,1.5,17.3,0.1,0.0,2.3,LAC,TE,1,2021
Will Dissly,1.6,16.4,0.1,0.0,2.2,SEA,TE,1,2021
Albert Okwuegbunam,1.5,17.0,0.1,0.0,2.2,DEN,TE,1,2021
Adam Trautman,1.4,16.3,0.1,0.0,2.2,NO,TE,1,2021
Harrison Bryant,1.5,16.1,0.1,0.1,2.1,CLE,TE,1,2021
Drew Sample,1.7,16.1,0.1,0.0,2.0,CIN,TE,1,2021
Maxx Williams,1.2,13.2,0.1,0.0,1.8,ARI,TE,1,2021
Garrett Griffin,0.9,12.3,0.1,0.0,1.8,NO,TE,1,2021
Cameron Brate,1.1,11.2,0.1,0.0,1.7,TB,TE,1,2021
Geoff Swaim,1.3,11.8,0.1,0.0,1.6,TEN,TE,1,2021
Hunter Bryant,1.2,11.0,0.1,0.0,1.5,DET,TE,1,2021
Chris Manhertz,1.2,12.3,0.0,0.0,1.5,JAC,TE,1,2021
Durham Smythe,1.2,10.2,0.1,0.0,1.4,MIA,TE,1,2021
Pat Freiermuth,1.2,10.6,0.1,0.0,1.3,PIT,TE,1,2021
Luke Farrell,0.9,9.6,0.1,0.0,1.3,JAC,TE,1,2021
Hunter Long,1.1,11.5,0.0,0.1,1.2,MIA,TE,1,2021
Foster Moreau,0.6,6.9,0.1,0.0,1.2,LV,TE,1,2021
Ian Thomas,1.0,8.4,0.1,0.0,1.2,CAR,TE,1,2021
Noah Gray,0.9,9.2,0.1,0.0,1.2,KC,TE,1,2021
Ross Dwelley,0.8,8.7,0.1,0.0,1.2,SF,TE,1,2021
Kaden Smith,1.0,8.8,0.1,0.0,1.2,NYG,TE,1,2021
Tommy Sweeney,0.7,8.4,0.1,0.0,1.2,BUF,TE,1,2021
