player,receiving_rec,receiving_yds,receiving_td,rushing_att,rushing_yds,rushing_td,lst,fantasy_points,team,position,week,year
Tyreek Hill,6.5,93.8,0.8,0.8,4.6,0.0,0.1,14.6,KC,WR,1,2021
Davante Adams,7.5,93.5,0.8,0.0,0.0,0.0,0.1,14.1,GB,WR,1,2021
Calvin Ridley,6.0,89.0,0.7,0.3,1.5,0.0,0.1,13.1,ATL,WR,1,2021
Stefon Diggs,6.6,85.9,0.7,0.1,0.7,0.0,0.1,12.8,BUF,WR,1,2021
DeAndre Hopkins,7.3,87.6,0.6,0.0,0.2,0.0,0.1,12.5,ARI,WR,1,2021
D.K. Metcalf,5.4,83.8,0.7,0.0,0.2,0.0,0.0,12.4,SEA,WR,1,2021
A.J. Brown,5.3,77.8,0.8,0.1,0.8,0.0,0.0,12.4,TEN,WR,1,2021
Justin Jefferson,5.7,86.0,0.5,0.1,0.2,0.0,0.1,11.5,MIN,WR,1,2021
Adam Thielen,5.3,69.1,0.7,0.2,0.9,0.0,0.0,11.2,MIN,WR,1,2021
Terry McLaurin,5.8,78.3,0.6,0.2,0.8,0.0,0.0,11.2,WAS,WR,1,2021
Tyler Lockett,6.0,71.9,0.6,0.1,0.3,0.0,0.0,11.0,SEA,WR,1,2021
Mike Evans,4.7,69.0,0.7,0.0,0.0,0.0,0.0,11.0,TB,WR,1,2021
Amari Cooper,5.7,72.5,0.6,0.2,0.8,0.0,0.1,10.8,DAL,WR,1,2021
Tee Higgins,5.3,72.1,0.6,0.1,0.8,0.0,0.1,10.6,CIN,WR,1,2021
Julio Jones,5.0,70.3,0.6,0.0,0.0,0.0,0.0,10.6,TEN,WR,1,2021
CeeDee Lamb,5.6,69.9,0.5,0.5,2.8,0.0,0.1,10.5,DAL,WR,1,2021
DJ Moore,5.0,71.9,0.5,0.2,1.3,0.0,0.0,10.5,CAR,WR,1,2021
Chris Godwin,5.1,67.6,0.6,0.0,0.2,0.0,0.0,10.4,TB,WR,1,2021
Deebo Samuel,4.7,64.1,0.5,1.0,8.1,0.0,0.1,10.3,SF,WR,1,2021
Cooper Kupp,5.6,66.5,0.6,0.2,1.1,0.0,0.1,10.3,LAR,WR,1,2021
Keenan Allen,6.5,68.8,0.6,0.2,0.9,0.0,0.1,10.2,LAC,WR,1,2021
Robert Woods,5.4,61.8,0.5,1.1,6.3,0.0,0.1,10.1,LAR,WR,1,2021
Marvin Jones Jr.,4.3,60.1,0.6,0.0,0.0,0.0,0.0,9.6,JAC,WR,1,2021
