player,field_goal,field_goal_att,XPT,fantasy_points,team,week,position
Justin Tucker,2.0,2.3,2.9,8.9,BAL,1,K
Quinn Nordin,2.1,2.3,2.6,8.7,NE,1,K
Jason Myers,2.0,2.3,2.6,8.6,SEA,1,K
Mason Crosby,1.9,2.2,2.9,8.6,GB,1,K
Ryan Succop,1.7,2.1,3.3,8.5,TB,1,K
Harrison Butker,1.8,2.0,3.1,8.4,KC,1,K
Younghoe Koo,2.0,2.3,2.4,8.4,ATL,1,K
Robbie Gould,1.8,2.1,2.8,8.2,SF,1,K
Daniel Carlson,2.0,2.3,2.2,8.1,LV,1,K
Brandon McManus,2.0,2.4,2.1,8.1,DEN,1,K
Rodrigo Blankenship,2.0,2.3,2.0,7.9,IND,1,K
Tyler Bass,1.7,2.1,2.7,7.9,BUF,1,K
Ka'imi Fairbairn,2.0,2.3,1.9,7.9,HOU,1,K
Matt Gay,1.8,2.2,2.5,7.8,LAR,1,K
Greg Joseph,1.7,2.0,2.6,7.8,MIN,1,K
Michael Badgley,1.6,1.9,2.6,7.3,IND,1,K
Evan McPherson,1.7,2.1,2.1,7.3,CIN,1,K
Graham Gano,1.8,2.0,1.8,7.1,NYG,1,K
Matt Prater,1.5,1.9,2.4,7.1,ARI,1,K
Matt Ammendola,1.7,1.9,1.9,7.0,NYJ,1,K
Greg Zuerlein,1.5,1.9,2.4,7.0,DAL,1,K
Dustin Hopkins,1.6,1.9,2.2,7.0,LAC,1,K
Jake Elliott,1.7,2.0,2.0,7.0,PHI,1,K
Ryan Santoso,1.6,1.9,2.2,7.0,LAR,1,K
Cairo Santos,1.6,1.9,2.0,6.9,CHI,1,K
Joey Slye,1.6,1.9,2.0,6.9,WAS,1,K
Chase McLaughlin,1.5,1.7,2.4,6.8,CLE,1,K
Nick Folk,1.5,1.8,2.2,6.8,NE,1,K
Jason Sanders,1.6,1.8,1.9,6.6,MIA,1,K
Chris Boswell,1.5,1.7,2.2,6.5,PIT,1,K
Austin Seibert,1.5,1.8,1.9,6.4,DET,1,K
Justin Tucker,2.0,2.3,2.7,8.6,BAL,2,K
Jason Myers,1.8,2.1,3.2,8.6,SEA,2,K
Ryan Succop,1.7,2.0,3.5,8.5,TB,2,K
Tyler Bass,1.9,2.3,2.7,8.5,BUF,2,K
Chase McLaughlin,1.8,2.1,3.0,8.4,CLE,2,K
Chris Boswell,1.9,2.1,2.7,8.3,PIT,2,K
Harrison Butker,1.9,2.2,2.6,8.3,KC,2,K
Matt Prater,1.9,2.2,2.7,8.3,ARI,2,K
Mason Crosby,1.5,1.7,3.5,8.1,GB,2,K
Matt Gay,1.8,2.2,2.4,7.9,LAR,2,K
Cairo Santos,1.8,2.2,2.4,7.9,CHI,2,K
Robbie Gould,1.7,2.1,2.5,7.7,SF,2,K
Jason Sanders,1.9,2.2,2.1,7.7,MIA,2,K
Brandon McManus,1.6,1.9,2.8,7.5,DEN,2,K
Greg Zuerlein,1.6,2.3,2.5,7.4,DAL,2,K
Randy Bullock,1.6,1.9,2.5,7.4,TEN,2,K
Rodrigo Blankenship,1.7,2.1,2.0,7.2,IND,2,K
Daniel Carlson,1.7,2.0,2.1,7.1,LV,2,K
Nick Folk,1.6,1.9,2.3,7.1,NE,2,K
Zane Gonzalez,1.7,2.1,2.0,7.1,CAR,2,K
Evan McPherson,1.7,2.0,2.0,7.1,CIN,2,K
Greg Joseph,1.5,1.7,2.5,7.0,MIN,2,K
Dustin Hopkins,1.6,2.0,2.1,6.9,LAC,2,K
Graham Gano,1.7,2.0,1.7,6.8,NYG,2,K
Younghoe Koo,1.6,1.9,1.9,6.8,ATL,2,K
Jake Elliott,1.5,1.8,2.1,6.7,PHI,2,K
Joey Slye,1.5,1.8,1.8,6.4,WAS,2,K
Austin Seibert,1.5,1.7,1.8,6.2,DET,2,K
Matt Ammendola,1.5,1.7,1.7,6.2,NYJ,2,K
Harrison Butker,2.1,2.5,3.0,9.3,KC,3,K
Justin Tucker,1.9,2.1,3.2,8.8,BAL,3,K
Matt Prater,1.8,2.1,3.0,8.4,ARI,3,K
Ryan Succop,1.9,2.2,2.7,8.3,TB,3,K
Brandon McManus,1.9,2.3,2.5,8.3,DEN,3,K
Daniel Carlson,1.9,2.2,2.6,8.2,LV,3,K
Randy Bullock,1.8,2.1,2.8,8.1,TEN,3,K
Zane Gonzalez,1.8,2.2,2.5,7.9,CAR,3,K
Graham Gano,1.9,2.1,2.2,7.8,NYG,3,K
Jason Myers,1.6,1.9,2.9,7.8,SEA,3,K
Matt Gay,1.7,2.0,2.7,7.8,LAR,3,K
Robbie Gould,1.8,2.2,2.5,7.7,SF,3,K
Greg Zuerlein,1.7,2.3,2.7,7.7,DAL,3,K
Chase McLaughlin,1.7,2.0,2.5,7.7,CLE,3,K
Younghoe Koo,1.8,2.1,2.2,7.7,ATL,3,K
Tyler Bass,1.7,2.1,2.6,7.6,BUF,3,K
Mason Crosby,1.5,1.7,2.9,7.4,GB,3,K
Chris Boswell,1.6,1.8,2.4,7.3,PIT,3,K
Greg Joseph,1.6,1.8,2.5,7.2,MIN,3,K
Nick Folk,1.7,1.9,2.1,7.1,NE,3,K
Rodrigo Blankenship,1.7,2.0,1.9,7.0,IND,3,K
Ryan Santoso,1.5,2.0,2.3,6.8,LAR,3,K
Evan McPherson,1.6,2.0,1.8,6.7,CIN,3,K
Jake Elliott,1.5,1.8,2.1,6.7,PHI,3,K
Jason Sanders,1.6,1.8,2.0,6.7,MIA,3,K
Dustin Hopkins,1.7,1.9,1.7,6.7,LAC,3,K
Joey Slye,1.6,1.9,1.8,6.6,WAS,3,K
Austin Seibert,1.5,1.8,2.2,6.5,DET,3,K
Cairo Santos,1.5,1.7,2.0,6.4,CHI,3,K
Matt Ammendola,1.4,1.7,1.5,5.8,NYJ,3,K
Tyler Bass,1.8,2.2,3.1,8.6,BUF,4,K
Justin Tucker,2.0,2.3,2.2,8.3,BAL,4,K
Ryan Succop,1.9,2.2,2.7,8.3,TB,4,K
Greg Zuerlein,1.8,2.6,2.7,8.2,DAL,4,K
Harrison Butker,1.7,1.9,3.0,8.2,KC,4,K
Matt Gay,1.7,2.0,2.9,8.1,LAR,4,K
Jason Myers,1.8,2.1,2.7,8.1,SEA,4,K
Mason Crosby,1.7,2.0,2.8,8.0,GB,4,K
Daniel Carlson,1.8,2.2,2.5,8.0,LV,4,K
