player,passing_att,passing_cmp,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_td,fumbles_lost,fantasy_points,team,week,position
Patrick Mahomes IIKC,39.1,25.9,314.6,2.6,0.5,3.5,18.9,0.1,0.1,24.9,IKC,1,QB
Kyler MurrayARI,37.0,24.5,271.1,1.6,0.9,7.7,43.5,0.6,0.2,23.9,ARI,1,QB
Lamar JacksonBAL,28.7,18.1,216.0,1.6,0.8,10.0,63.0,0.6,0.2,23.8,BAL,1,QB
Josh AllenBUF,37.0,23.6,272.5,2.1,0.8,6.8,31.9,0.3,0.2,22.9,BUF,1,QB
Jalen HurtsPHI,35.3,21.5,248.4,1.4,0.8,8.4,44.4,0.4,0.3,20.9,PHI,1,QB
Russell WilsonSEA,34.3,23.2,273.1,2.0,0.6,4.9,27.0,0.1,0.2,20.9,SEA,1,QB
Aaron RodgersGB,35.7,23.7,274.7,2.2,0.5,2.5,12.1,0.1,0.2,20.4,GB,1,QB
Dak PrescottDAL,40.0,26.5,300.1,1.8,0.9,3.5,15.6,0.1,0.2,20.3,DAL,1,QB
Ryan TannehillTEN,32.2,21.2,254.8,2.0,0.5,3.4,16.4,0.1,0.1,19.8,TEN,1,QB
Trevor LawrenceJAC,34.9,23.5,266.3,1.8,0.7,4.1,20.5,0.1,0.1,19.4,JAC,1,QB
Justin HerbertLAC,37.7,24.3,272.2,1.7,0.8,4.0,18.0,0.2,0.2,19.3,LAC,1,QB
Joe BurrowCIN,37.6,24.2,276.1,1.7,0.8,3.4,13.7,0.1,0.2,18.7,CIN,1,QB
Matthew StaffordLAR,37.1,23.9,271.7,1.9,0.8,1.9,7.7,0.0,0.2,18.5,LAR,1,QB
Matt RyanATL,36.2,23.9,277.1,1.8,0.7,1.9,5.9,0.1,0.2,18.4,ATL,1,QB
Sam DarnoldCAR,34.9,22.2,250.0,1.8,0.9,3.3,13.3,0.1,0.2,18.0,CAR,1,QB
Kirk CousinsMIN,32.6,21.5,264.5,1.9,0.8,1.5,5.8,0.0,0.2,17.9,MIN,1,QB
Ryan FitzpatrickWAS,35.8,22.9,253.0,1.7,1.1,3.4,16.7,0.1,0.2,17.9,WAS,1,QB
Baker MayfieldCLE,36.0,22.5,262.7,1.7,0.9,2.7,11.2,0.1,0.2,17.7,CLE,1,QB
Derek CarrLV,36.1,24.0,269.4,1.8,0.8,2.0,6.9,0.1,0.2,17.6,LV,1,QB
Jimmy GaroppoloSF,30.2,20.6,256.5,1.8,0.9,2.2,6.4,0.0,0.2,17.2,SF,1,QB
Mac JonesNE,33.6,21.4,249.2,1.6,0.8,2.4,10.1,0.1,0.2,16.8,NE,1,QB
Teddy BridgewaterDEN,33.9,22.4,253.4,1.3,0.7,3.8,16.6,0.1,0.1,16.8,DEN,1,QB
Tyrod TaylorHOU,33.4,20.5,234.1,1.4,0.7,4.5,20.8,0.1,0.1,16.5,HOU,1,QB
Tua TagovailoaMIA,35.1,23.0,250.2,1.4,0.9,3.2,13.7,0.1,0.1,16.3,MIA,1,QB
Carson WentzIND,35.2,22.0,242.4,1.4,0.9,3.8,15.9,0.1,0.3,16.2,IND,1,QB
Zach WilsonNYJ,34.0,21.8,240.4,1.3,1.0,3.9,19.4,0.1,0.2,16.1,NYJ,1,QB
Jameis WinstonNO,34.3,21.2,250.2,1.4,1.3,3.3,15.6,0.1,0.2,15.9,NO,1,QB
Daniel JonesNYG,34.0,20.7,229.0,1.3,0.9,4.0,24.3,0.1,0.3,15.8,NYG,1,QB
Jared GoffDET,36.2,22.9,255.1,1.3,1.0,2.0,5.0,0.1,0.2,14.7,DET,1,QB
Andy DaltonCHI,35.4,22.0,230.9,1.1,1.1,2.2,7.5,0.1,0.2,13.6,CHI,1,QB
Trey LanceSF,4.6,2.8,36.8,0.1,0.1,3.5,17.3,0.2,0.0,5.1,SF,1,QB
Taysom HillNO,1.4,0.8,24.0,0.1,0.1,3.5,15.1,0.1,0.1,3.2,NO,1,QB
Jacoby BrissettMIA,0.8,0.5,5.1,0.1,0.1,3.6,14.5,0.0,0.0,1.8,MIA,1,QB
Justin FieldsCHI,1.9,1.1,14.3,0.0,0.0,3.8,9.2,0.0,0.0,1.8,CHI,1,QB
Tyler HuntleyBAL,1.1,0.7,18.3,0.0,0.1,0.3,3.8,0.0,0.0,1.3,BAL,1,QB
Jacob EasonSEA,1.8,1.0,15.5,0.1,0.1,0.1,0.2,0.0,0.0,0.9,SEA,1,QB
Davis MillsHOU,0.0,0.0,12.3,0.0,0.1,0.0,1.5,0.0,0.0,0.8,HOU,1,QB
David BloughDET,1.3,0.8,8.2,0.1,0.0,0.2,0.8,0.0,0.0,0.8,DET,1,QB
Brian HoyerNE,0.0,0.0,16.5,0.0,0.1,0.0,0.0,0.0,0.0,0.7,NE,1,QB
Cooper RushDAL,1.1,0.7,11.4,0.1,0.1,0.1,0.1,0.0,0.0,0.7,DAL,1,QB
C.J. BeathardJAC,0.8,0.5,10.8,0.1,0.0,0.1,0.4,0.0,0.0,0.7,JAC,1,QB
Mason RudolphPIT,1.8,1.0,11.6,0.1,0.0,0.1,0.4,0.0,0.0,0.7,PIT,1,QB
Drew LockDEN,0.9,0.6,9.9,0.1,0.1,0.1,0.2,0.0,0.0,0.6,DEN,1,QB
Josh RosenATL,0.8,0.5,9.1,0.0,0.0,0.1,0.3,0.0,0.0,0.6,ATL,1,QB
Joe FlaccoNYJ,1.0,0.7,10.1,0.0,0.0,0.2,0.5,0.0,0.0,0.6,NYJ,1,QB
Mitchell TrubiskyBUF,0.7,0.4,8.2,0.1,0.0,0.2,0.4,0.0,0.0,0.5,BUF,1,QB
P.J. WalkerCAR,0.7,0.5,8.6,0.0,0.0,0.1,0.3,0.0,0.0,0.5,CAR,1,QB
