player,rushing_att,rushing_yds,rushing_td,receiving_rec,receiving_yds,receiving_td,fumbles_lost,fantasy_points,team,week,position
Christian McCaffreyCAR,19.2,80.1,0.8,5.4,43.8,0.3,0.1,19.0,CaffreyCAR,1,RB
Dalvin CookMIN,20.3,97.8,0.8,3.5,30.2,0.1,0.1,18.0,MIN,1,RB
Derrick HenryTEN,22.2,106.7,0.8,1.7,13.7,0.1,0.2,17.2,TEN,1,RB
Alvin KamaraNO,14.0,66.2,0.7,5.3,48.1,0.2,0.1,16.4,NO,1,RB
James RobinsonJAC,16.3,73.7,0.6,3.2,25.5,0.1,0.1,14.1,JAC,1,RB
Raheem MostertSF,14.4,73.8,0.7,2.0,20.3,0.1,0.1,14.1,SF,1,RB
Aaron JonesGB,14.9,68.9,0.7,3.4,25.9,0.1,0.1,14.0,GB,1,RB
Nick ChubbCLE,16.7,82.6,0.7,1.8,14.8,0.1,0.1,13.9,CLE,1,RB
Antonio GibsonWAS,16.9,71.2,0.7,2.8,22.0,0.1,0.1,13.7,WAS,1,RB
Jonathan TaylorIND,16.4,73.4,0.7,2.3,19.6,0.1,0.1,13.6,IND,1,RB
Joe MixonCIN,16.7,69.5,0.6,3.3,24.5,0.1,0.1,13.6,CIN,1,RB
Najee HarrisPIT,16.7,71.6,0.5,3.1,24.3,0.1,0.1,12.7,PIT,1,RB
Austin EkelerLAC,12.3,51.7,0.2,5.6,43.0,0.3,0.1,12.4,LAC,1,RB
Ezekiel ElliottDAL,15.7,62.5,0.6,3.3,24.7,0.1,0.1,12.4,DAL,1,RB
Miles SandersPHI,14.0,63.2,0.6,2.8,22.8,0.1,0.1,12.2,PHI,1,RB
Clyde Edwards-HelaireKC,13.8,58.3,0.6,3.2,24.4,0.1,0.1,12.1,HelaireKC,1,RB
Saquon BarkleyNYG,13.2,60.0,0.6,2.9,23.3,0.1,0.1,12.1,NYG,1,RB
Chris CarsonSEA,14.0,61.1,0.6,2.7,19.5,0.1,0.1,11.9,SEA,1,RB
David MontgomeryCHI,16.2,63.6,0.4,3.2,23.9,0.1,0.1,11.5,CHI,1,RB
Josh JacobsLV,15.5,61.4,0.6,2.0,15.8,0.0,0.1,11.2,LV,1,RB
Ty'Son WilliamsBAL,14.4,64.3,0.6,1.5,11.1,0.0,0.1,11.2,BAL,1,RB
Mike DavisATL,15.3,58.4,0.5,2.9,20.5,0.1,0.1,11.1,ATL,1,RB
Damien HarrisNE,15.6,71.3,0.4,0.8,7.2,0.0,0.1,10.4,NE,1,RB
Melvin Gordon IIIDEN,12.1,54.4,0.6,2.2,14.1,0.0,0.1,10.4,IIDEN,1,RB
Myles GaskinMIA,12.3,52.2,0.4,3.8,24.4,0.1,0.1,10.1,MIA,1,RB
D'Andre SwiftDET,10.8,47.7,0.3,3.8,30.4,0.1,0.1,9.8,DET,1,RB
Kareem HuntCLE,8.7,37.4,0.5,2.5,22.5,0.1,0.1,9.6,CLE,1,RB
Darrell Henderson Jr.LAR,12.7,53.8,0.3,2.0,16.8,0.1,0.1,9.1,LAR,1,RB
