player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,team,position,week,year,opponent,home
Julio Jones,6.0,9.0,108.0,18.0,31.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,22.8,TEN,WR,1,2012,NE,True
Alshon Jeffery,3.0,5.0,80.0,26.7,42.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,14.0,FA,WR,1,2012,,
Dez Bryant,4.0,5.0,85.0,21.3,38.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.5,FA,WR,1,2012,,
Antonio Brown,4.0,8.0,74.0,18.5,27.0,2.0,0.0,1.0,4.0,0.0,0.0,1.0,7.8,FA,WR,1,2012,,
Larry Fitzgerald,4.0,11.0,63.0,15.8,23.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,6.3,FA,WR,1,2012,,
Julian Edelman,1.0,2.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,FA,WR,1,2012,,
Andre Holmes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
LaVon Brazill,1.0,1.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,FA,WR,1,2012,,
Juron Criner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Keshawn Martin,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Devon Wylie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Stephen Hill,5.0,6.0,89.0,17.8,33.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Kris Adams,2.0,4.0,26.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Chris Givens,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Drew Davis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Marcus Thigpen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Kevin Elliott,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Kevin Cone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Deonte Thompson,1.0,2.0,25.0,25.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Rod Streater,4.0,10.0,27.0,6.8,13.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,FA,WR,1,2012,,
Damaris Johnson,1.0,3.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Brian Quick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Lestar Jean,1.0,2.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Armon Binns,4.0,5.0,28.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Stephen Burton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
Aldrick Robinson,4.0,6.0,52.0,13.0,29.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,FA,WR,1,2012,,
