player,position,games,snaps,snaps_pct,rush_pct,tgt_pct,touch_pct,util_pct,fantasy_points,points_per_100_snaps,week,year,rushing_att,rushing_yds,rushing_avg,rushing_lng,rushing_20p,rushing_td,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_td,lst,team,opponent,home
Adrian Peterson,RB,1.0,38.0,60.0,50.0,5.0,50.0,55.0,3.1,8.2,1,2016,19.0,31.0,1.6,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,MIN,TEN,False
Cordarrelle Patterson,RB,1.0,5.0,8.0,20.0,20.0,40.0,40.0,1.4,28.0,1,2016,,,,,,,,,,,,,MIN,TEN,False
Zach Line,RB,1.0,16.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIN,TEN,False
Jerick McKinnon,RB,1.0,16.0,25.0,6.0,13.0,13.0,19.0,0.9,5.6,1,2016,1.0,6.0,6.0,6.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,MIN,TEN,False
Darren Sproles,RB,1.0,39.0,51.0,13.0,13.0,18.0,26.0,3.6,9.2,1,2016,5.0,12.0,2.4,6.0,0.0,0.0,2.0,5.0,24.0,12.0,0.0,0.0,PHI,CLE,True
Kenjon Barner,RB,1.0,7.0,9.0,57.0,0.0,57.0,57.0,4.2,60.0,1,2016,4.0,42.0,10.5,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI,CLE,True
Wendell Smallwood,RB,1.0,2.0,3.0,50.0,0.0,50.0,50.0,0.1,5.0,1,2016,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI,CLE,True
Frank Gore,RB,1.0,49.0,68.0,29.0,12.0,37.0,41.0,7.8,15.9,1,2016,14.0,59.0,4.2,9.0,0.0,0.0,4.0,6.0,19.0,4.8,0.0,0.0,IND,DET,True
Josh Ferguson,RB,1.0,12.0,17.0,8.0,17.0,25.0,25.0,2.4,20.0,1,2016,1.0,-2.0,-2.0,0.0,0.0,0.0,2.0,2.0,26.0,13.0,0.0,0.0,IND,DET,True
LeSean McCoy,RB,1.0,42.0,86.0,38.0,10.0,48.0,48.0,13.0,31.0,1,2016,16.0,58.0,3.6,16.0,0.0,1.0,4.0,4.0,12.0,3.0,0.0,0.0,BUF,BAL,False
Mark Ingram II,RB,1.0,29.0,42.0,41.0,7.0,48.0,48.0,8.7,30.0,1,2016,12.0,58.0,4.8,17.0,0.0,0.0,2.0,2.0,29.0,14.5,0.0,0.0,NO,LV,True
Taiwan Jones,RB,1.0,6.0,8.0,17.0,33.0,50.0,50.0,0.9,15.0,1,2016,1.0,-8.0,-8.0,0.0,0.0,0.0,2.0,2.0,17.0,8.5,0.0,0.0,LV,NO,False
Latavius Murray,RB,1.0,45.0,62.0,31.0,4.0,33.0,36.0,13.2,29.3,1,2016,14.0,59.0,4.2,10.0,0.0,1.0,1.0,2.0,13.0,13.0,0.0,0.0,LV,NO,False
DeAndre Washington,RB,1.0,8.0,11.0,63.0,13.0,75.0,75.0,2.4,30.0,1,2016,5.0,14.0,2.8,5.0,0.0,0.0,1.0,1.0,10.0,10.0,0.0,0.0,LV,NO,False
Jalen Richard,RB,1.0,10.0,14.0,30.0,20.0,50.0,50.0,15.5,155.0,1,2016,3.0,84.0,28.0,75.0,1.0,1.0,2.0,2.0,11.0,5.5,0.0,0.0,LV,NO,False
Peyton Barber,RB,1.0,,,,,,,0.0,,1,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,NO,False
Anthony Sherman,RB,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KC,LAC,True
Lamar Miller,RB,1.0,60.0,80.0,47.0,7.0,53.0,53.0,11.7,19.5,1,2016,28.0,106.0,3.8,12.0,0.0,0.0,4.0,4.0,11.0,2.8,0.0,0.0,HOU,CHI,True
Tyler Ervin,RB,1.0,11.0,15.0,9.0,18.0,18.0,27.0,0.8,7.3,1,2016,1.0,3.0,3.0,3.0,0.0,0.0,1.0,2.0,5.0,5.0,0.0,0.0,HOU,CHI,True
Rex Burkhead,RB,1.0,,,,,,,0.0,,1,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOU,CHI,True
Alfred Morris,RB,1.0,14.0,18.0,50.0,7.0,50.0,57.0,3.5,25.0,1,2016,7.0,35.0,5.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DAL,NYG,True
Keith Smith,RB,1.0,4.0,5.0,25.0,0.0,25.0,25.0,0.0,0.0,1,2016,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DAL,NYG,True
Ezekiel Elliott,RB,1.0,48.0,62.0,42.0,4.0,44.0,46.0,11.2,23.3,1,2016,20.0,51.0,2.6,8.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,DAL,NYG,True
Jamize Olawale,RB,1.0,,,,,,,6.2,,1,2016,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,DAL,NYG,True
Brandon Bolden,RB,1.0,3.0,4.0,33.0,0.0,33.0,33.0,0.4,13.3,1,2016,1.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NE,ARI,False
James Develin,RB,1.0,17.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NE,ARI,False
James White,RB,1.0,25.0,35.0,4.0,28.0,24.0,32.0,4.4,17.6,1,2016,1.0,4.0,4.0,4.0,0.0,0.0,5.0,7.0,40.0,8.0,0.0,0.0,NE,ARI,False
Giovani Bernard,RB,1.0,28.0,49.0,18.0,14.0,25.0,32.0,3.0,10.7,1,2016,5.0,25.0,5.0,11.0,0.0,0.0,2.0,4.0,5.0,2.5,0.0,0.0,CIN,NYJ,False
Theo Riddick,RB,1.0,24.0,37.0,29.0,21.0,50.0,50.0,22.8,95.0,1,2016,7.0,45.0,6.4,21.0,1.0,1.0,5.0,5.0,63.0,12.6,1.0,0.0,DET,IND,False
Ameer Abdullah,RB,1.0,40.0,62.0,30.0,13.0,43.0,43.0,18.0,45.0,1,2016,12.0,63.0,5.3,13.0,0.0,0.0,5.0,5.0,57.0,11.4,1.0,0.0,DET,IND,False
Michael Burton,RB,1.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,IND,False
Dwayne Washington,RB,1.0,2.0,3.0,100.0,0.0,100.0,100.0,6.1,305.0,1,2016,2.0,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,IND,False
Chris Thompson,RB,1.0,39.0,66.0,10.0,5.0,15.0,15.0,9.9,25.4,1,2016,4.0,23.0,5.8,9.0,0.0,1.0,2.0,2.0,16.0,8.0,0.0,0.0,WAS,PIT,True
Kyle Juszczyk,RB,1.0,21.0,31.0,5.0,14.0,14.0,19.0,2.3,11.0,1,2016,1.0,2.0,2.0,2.0,0.0,0.0,2.0,3.0,21.0,10.5,0.0,0.0,BAL,BUF,True
Patrick DiMarco,RB,1.0,13.0,20.0,0.0,8.0,8.0,8.0,0.8,6.2,1,2016,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,8.0,0.0,0.0,ATL,TB,True
Devonta Freeman,RB,1.0,36.0,55.0,31.0,11.0,42.0,42.0,4.0,11.1,1,2016,11.0,20.0,1.8,10.0,0.0,0.0,4.0,4.0,20.0,5.0,0.0,0.0,ATL,TB,True
