player,position,games,snaps,snaps_pct,rush_pct,tgt_pct,touch_pct,util_pct,fantasy_points,points_per_100_snaps,week,year,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,team,opponent,home
Danny Amendola,WR,1.0,32.0,40.0,0.0,22.0,19.0,22.0,10.0,31.3,1,2017,6.0,7.0,100.0,16.7,27.0,3.0,0.0,0.0,0.0,0.0,0.0,NE,KC,True
Chris Hogan,WR,1.0,73.0,90.0,4.0,7.0,5.0,11.0,2.5,3.4,1,2017,1.0,5.0,8.0,8.0,8.0,0.0,0.0,3.0,17.0,0.0,0.0,NE,KC,True
Brandin Cooks,WR,1.0,67.0,83.0,0.0,10.0,4.0,10.0,8.8,13.1,1,2017,3.0,7.0,88.0,29.3,54.0,1.0,0.0,0.0,0.0,0.0,0.0,NE,KC,True
Phillip Dorsett II,WR,1.0,18.0,22.0,0.0,6.0,0.0,6.0,0.0,0.0,1,2017,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NE,KC,True
Larry Fitzgerald,WR,1.0,74.0,99.0,0.0,18.0,8.0,18.0,7.4,10.0,1,2017,6.0,13.0,74.0,12.3,33.0,1.0,0.0,0.0,0.0,0.0,0.0,ARI,DET,False
John Brown,WR,1.0,63.0,84.0,2.0,14.0,8.0,16.0,4.2,6.7,1,2017,4.0,9.0,32.0,8.0,12.0,0.0,0.0,1.0,10.0,0.0,0.0,ARI,DET,False
J.J. Nelson,WR,1.0,30.0,40.0,0.0,20.0,17.0,20.0,10.3,34.3,1,2017,5.0,6.0,43.0,8.6,14.0,0.0,1.0,0.0,0.0,0.0,0.0,ARI,DET,False
Jaron Brown,WR,1.0,,,,,,,0.0,,1,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARI,DET,False
Michael Crabtree,WR,1.0,48.0,73.0,0.0,15.0,13.0,15.0,8.3,17.3,1,2017,6.0,7.0,83.0,13.8,25.0,1.0,0.0,0.0,0.0,0.0,0.0,LV,TEN,False
Seth Roberts,WR,1.0,55.0,83.0,0.0,2.0,2.0,2.0,7.9,14.4,1,2017,1.0,1.0,19.0,19.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,LV,TEN,False
Amari Cooper,WR,1.0,61.0,92.0,0.0,21.0,8.0,21.0,12.2,20.0,1,2017,5.0,13.0,62.0,12.4,23.0,1.0,1.0,0.0,0.0,0.0,0.0,LV,TEN,False
Johnny Holton,WR,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,TEN,False
Ted Ginn Jr.,WR,1.0,42.0,68.0,2.0,12.0,12.0,14.0,5.8,13.8,1,2017,4.0,5.0,53.0,13.3,27.0,1.0,0.0,1.0,5.0,0.0,0.0,NO,MIN,False
Michael Thomas,WR,1.0,58.0,94.0,0.0,14.0,9.0,14.0,4.5,7.8,1,2017,5.0,8.0,45.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,NO,MIN,False
Tommylee Lewis,WR,1.0,11.0,18.0,0.0,27.0,18.0,27.0,5.2,47.3,1,2017,2.0,3.0,52.0,26.0,52.0,1.0,0.0,0.0,0.0,0.0,0.0,NO,MIN,False
Ty Montgomery,WR,1.0,,,,,,,0.0,,1,2017,4.0,4.0,39.0,9.8,20.0,1.0,0.0,19.0,54.0,1.0,0.0,NO,MIN,False
Dez Bryant,WR,1.0,67.0,91.0,0.0,13.0,3.0,13.0,4.3,6.4,1,2017,2.0,9.0,43.0,21.5,35.0,1.0,0.0,0.0,0.0,0.0,0.0,DAL,NYG,True
Cole Beasley,WR,1.0,52.0,70.0,0.0,10.0,6.0,10.0,3.2,6.2,1,2017,3.0,5.0,32.0,10.7,13.0,0.0,0.0,0.0,0.0,0.0,0.0,DAL,NYG,True
Ryan Switzer,WR,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DAL,NYG,True
Golden Tate,WR,1.0,63.0,88.0,3.0,19.0,19.0,22.0,11.4,18.1,1,2017,10.0,12.0,107.0,10.7,19.0,0.0,0.0,2.0,7.0,0.0,0.0,DET,ARI,True
Marvin Jones Jr.,WR,1.0,68.0,94.0,0.0,3.0,3.0,3.0,9.7,14.3,1,2017,2.0,2.0,37.0,18.5,31.0,1.0,1.0,0.0,0.0,0.0,0.0,DET,ARI,True
Kenny Golladay,WR,1.0,44.0,61.0,0.0,16.0,9.0,16.0,18.9,43.0,1,2017,4.0,7.0,69.0,17.3,45.0,1.0,2.0,0.0,0.0,0.0,0.0,DET,ARI,True
Jamal Agnew,WR,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,ARI,True
Kalif Raymond,WR,1.0,,,,,,,0.0,,1,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,ARI,True
Andre Roberts,WR,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATL,CHI,False
Julio Jones,WR,1.0,48.0,81.0,0.0,10.0,8.0,10.0,6.6,13.8,1,2017,4.0,5.0,66.0,16.5,25.0,1.0,0.0,0.0,0.0,0.0,0.0,ATL,CHI,False
Mohamed Sanu Sr.,WR,1.0,48.0,81.0,0.0,19.0,13.0,19.0,4.7,9.8,1,2017,6.0,9.0,47.0,7.8,15.0,0.0,0.0,0.0,0.0,0.0,0.0,ATL,CHI,False
Taylor Gabriel,WR,1.0,31.0,53.0,0.0,13.0,10.0,13.0,3.6,11.6,1,2017,3.0,4.0,36.0,12.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,ATL,CHI,False
Justin Hardy,WR,1.0,15.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ATL,CHI,False
