player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,position,week,year,team,opponent,home,passing_cmp_allowed,passing_att_allowed,passing_cmppct_allowed,passing_yds_allowed,passing_avg_allowed,passing_yds_allowed_per_game,passing_longest_allowed,passing_td_allowed,ints,sacks,sack_yards_gained,passer_rating,rushing_att_allowed,rushing_yds_allowed,rushing_avg_allowed,rushing_yds_allowed_per_game,rushing_longest_allowed,rushing_td_allowed,rushing_fumbles,rushing_fumbles_lost,receiving_rec_allowed,receiving_yds_allowed,receiving_avg_allowed,receiving_yds_allowed_per_game,receiving_longest_allowed,receiving_td_allowed,receiving_fumbles,receiving_fumbles_lost,1st_total_allowed,1st_rush_allowed,1st_pass_allowed,1st_penalty_allowed,3rd_conv_allowed,3rd_att_allowed,3rd_pct_allowed,4th_conv_allowed,4th_att_allowed,4th_pct_allowed,defense_penalties,defense_yds_lost
Tyreek Hill,7.0,8.0,169.0,24.1,58.0,5.0,2.0,2.0,4.0,0.0,0.0,1.0,29.3,WR,1,2018,KC,LAC,False,351.0,548.0,64.1,3646.0,7.1,227.9,82.0,23.0,13.0,38.0,240.0,89.1,395.0,1693.0,4.3,105.8,43.0,11.0,6.0,2.0,351.0,3886.0,11.1,242.9,82.0,23.0,3.0,3.0,311.0,101.0,178.0,32.0,79.0,202.0,39.1,11.0,20.0,55.0,103.0,828.0
De'Anthony Thomas,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.1,WR,1,2018,KC,LAC,False,351.0,548.0,64.1,3646.0,7.1,227.9,82.0,23.0,13.0,38.0,240.0,89.1,395.0,1693.0,4.3,105.8,43.0,11.0,6.0,2.0,351.0,3886.0,11.1,242.9,82.0,23.0,3.0,3.0,311.0,101.0,178.0,32.0,79.0,202.0,39.1,11.0,20.0,55.0,103.0,828.0
Sammy Watkins,3.0,5.0,21.0,7.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1,WR,1,2018,KC,LAC,False,351.0,548.0,64.1,3646.0,7.1,227.9,82.0,23.0,13.0,38.0,240.0,89.1,395.0,1693.0,4.3,105.8,43.0,11.0,6.0,2.0,351.0,3886.0,11.1,242.9,82.0,23.0,3.0,3.0,311.0,101.0,178.0,32.0,79.0,202.0,39.1,11.0,20.0,55.0,103.0,828.0
Chris Conley,1.0,1.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,WR,1,2018,KC,LAC,False,351.0,548.0,64.1,3646.0,7.1,227.9,82.0,23.0,13.0,38.0,240.0,89.1,395.0,1693.0,4.3,105.8,43.0,11.0,6.0,2.0,351.0,3886.0,11.1,242.9,82.0,23.0,3.0,3.0,311.0,101.0,178.0,32.0,79.0,202.0,39.1,11.0,20.0,55.0,103.0,828.0
Kelvin Benjamin,2.0,3.0,19.0,9.5,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.9,WR,2,2018,BUF,LAC,True,351.0,548.0,64.1,3646.0,7.1,227.9,82.0,23.0,13.0,38.0,240.0,89.1,395.0,1693.0,4.3,105.8,43.0,11.0,6.0,2.0,351.0,3886.0,11.1,242.9,82.0,23.0,3.0,3.0,311.0,101.0,178.0,32.0,79.0,202.0,39.1,11.0,20.0,55.0,103.0,828.0
Zay Jones,2.0,3.0,63.0,31.5,57.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.3,WR,2,2018,BUF,LAC,True,351.0,548.0,64.1,3646.0,7.1,227.9,82.0,23.0,13.0,38.0,240.0,89.1,395.0,1693.0,4.3,105.8,43.0,11.0,6.0,2.0,351.0,3886.0,11.1,242.9,82.0,23.0,3.0,3.0,311.0,101.0,178.0,32.0,79.0,202.0,39.1,11.0,20.0,55.0,103.0,828.0
Robert Foster,2.0,3.0,30.0,15.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,WR,2,2018,BUF,LAC,True,351.0,548.0,64.1,3646.0,7.1,227.9,82.0,23.0,13.0,38.0,240.0,89.1,395.0,1693.0,4.3,105.8,43.0,11.0,6.0,2.0,351.0,3886.0,11.1,242.9,82.0,23.0,3.0,3.0,311.0,101.0,178.0,32.0,79.0,202.0,39.1,11.0,20.0,55.0,103.0,828.0
Robert Woods,10.0,11.0,104.0,10.4,22.0,2.0,2.0,3.0,13.0,0.0,0.0,1.0,23.7,WR,3,2018,LAR,LAC,True,351.0,548.0,64.1,3646.0,7.1,227.9,82.0,23.0,13.0,38.0,240.0,89.1,395.0,1693.0,4.3,105.8,43.0,11.0,6.0,2.0,351.0,3886.0,11.1,242.9,82.0,23.0,3.0,3.0,311.0,101.0,178.0,32.0,79.0,202.0,39.1,11.0,20.0,55.0,103.0,828.0
Cooper Kupp,4.0,5.0,71.0,17.8,53.0,1.0,1.0,1.0,-3.0,0.0,0.0,1.0,12.8,WR,3,2018,LAR,LAC,True,351.0,548.0,64.1,3646.0,7.1,227.9,82.0,23.0,13.0,38.0,240.0,89.1,395.0,1693.0,4.3,105.8,43.0,11.0,6.0,2.0,351.0,3886.0,11.1,242.9,82.0,23.0,3.0,3.0,311.0,101.0,178.0,32.0,79.0,202.0,39.1,11.0,20.0,55.0,103.0,828.0
Brandin Cooks,7.0,8.0,90.0,12.9,21.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,WR,3,2018,LAR,LAC,True,351.0,548.0,64.1,3646.0,7.1,227.9,82.0,23.0,13.0,38.0,240.0,89.1,395.0,1693.0,4.3,105.8,43.0,11.0,6.0,2.0,351.0,3886.0,11.1,242.9,82.0,23.0,3.0,3.0,311.0,101.0,178.0,32.0,79.0,202.0,39.1,11.0,20.0,55.0,103.0,828.0
