player,position,team,games,snaps,snaps_pct,rush_pct,tgt_pct,touch_pct,util_pct,fantasy_points,points_per_100_snaps,week,year,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_long,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,opponent,home
Greg Olsen,TE,CAR,1.0,62.0,94.0,0.0,15.0,6.0,15.0,3.6,5.8,1,2019,,,,,,,,,,,,LAR,True
Chris Manhertz,TE,CAR,1.0,18.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2019,,,,,,,,,,,,LAR,True
Ian Thomas,TE,CAR,1.0,4.0,6.0,0.0,25.0,0.0,25.0,0.0,0.0,1,2019,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LAR,True
Jared Cook,TE,NO,1.0,42.0,64.0,0.0,7.0,5.0,7.0,3.7,8.8,1,2019,,,,,,,,,,,,HOU,True
Josh Hill,TE,NO,1.0,32.0,48.0,0.0,3.0,3.0,3.0,-0.2,-0.6,1,2019,,,,,,,,,,,,HOU,True
Nick Vannett,TE,NO,1.0,,,,,,,1.6,,1,2019,2.0,2.0,16.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,HOU,True
Zach Wood,TE,NO,1.0,,,,,,,0.0,,1,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOU,True
Jason Witten,TE,DAL,1.0,45.0,66.0,0.0,9.0,7.0,9.0,7.5,16.7,1,2019,,,,,,,,,,,,NYG,True
Blake Jarwin,TE,DAL,1.0,27.0,40.0,0.0,11.0,11.0,11.0,9.9,36.7,1,2019,3.0,3.0,39.0,13.0,28.0,1.0,1.0,0.0,0.0,0.0,0.0,NYG,True
Dalton Schultz,TE,DAL,1.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYG,True
Jeremy Sprinkle,TE,DAL,1.0,,,,,,,0.8,,1,2019,1.0,1.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,NYG,True
Marcedes Lewis,TE,GB,1.0,33.0,54.0,0.0,9.0,6.0,9.0,1.4,4.2,1,2019,2.0,3.0,14.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,CHI,False
Jimmy Graham,TE,GB,1.0,33.0,54.0,0.0,15.0,9.0,15.0,9.0,27.3,1,2019,,,,,,,,,,,,CHI,False
Robert Tonyan,TE,GB,1.0,19.0,31.0,0.0,5.0,5.0,5.0,2.8,14.7,1,2019,1.0,1.0,28.0,28.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,CHI,False
Vernon Davis,TE,WAS,1.0,52.0,80.0,0.0,13.0,8.0,13.0,11.9,22.9,1,2019,,,,,,,,,,,,PHI,False
