player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_long,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,position,week,year,team,opponent,home,passing_cmp_allowed,passing_att_allowed,passing_cmppct_allowed,passing_yds_allowed,passing_avg_allowed,passing_yds_allowed_per_game,passing_longest_allowed,passing_td_allowed,ints,sacks,sack_yards_gained,passer_rating,rushing_att_allowed,rushing_yds_allowed,rushing_avg_allowed,rushing_yds_allowed_per_game,rushing_longest_allowed,rushing_td_allowed,rushing_fumbles,rushing_fumbles_lost,receiving_rec_allowed,receiving_yds_allowed,receiving_avg_allowed,receiving_yds_allowed_per_game,receiving_longest_allowed,receiving_td_allowed,receiving_fumbles,receiving_fumbles_lost,1st_total_allowed,1st_rush_allowed,1st_pass_allowed,1st_penalty_allowed,3rd_conv_allowed,3rd_att_allowed,3rd_pct_allowed,4th_conv_allowed,4th_att_allowed,4th_pct_allowed,defense_penalties,defense_yds_lost
Mark Andrews,5.0,6.0,58.0,11.6,21.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,17.8,TE,1,2020,BAL,CLE,True,371.0,585.0,63.4,3962.0,7.2,247.6,47.0,31.0,11.0,38.0,262.0,94.9,412.0,1773.0,4.3,110.8,44.0,16.0,12.0,4.0,371.0,4224.0,11.4,264.0,47.0,31.0,4.0,2.0,352.0,116.0,214.0,22.0,90.0,205.0,43.9,22.0,27.0,81.5,84.0,690.0
Nick Boyle,2.0,3.0,3.0,1.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,TE,1,2020,BAL,CLE,True,371.0,585.0,63.4,3962.0,7.2,247.6,47.0,31.0,11.0,38.0,262.0,94.9,412.0,1773.0,4.3,110.8,44.0,16.0,12.0,4.0,371.0,4224.0,11.4,264.0,47.0,31.0,4.0,2.0,352.0,116.0,214.0,22.0,90.0,205.0,43.9,22.0,27.0,81.5,84.0,690.0
C.J. Uzomah,4.0,6.0,42.0,10.5,23.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.2,TE,2,2020,CIN,CLE,False,371.0,585.0,63.4,3962.0,7.2,247.6,47.0,31.0,11.0,38.0,262.0,94.9,412.0,1773.0,4.3,110.8,44.0,16.0,12.0,4.0,371.0,4224.0,11.4,264.0,47.0,31.0,4.0,2.0,352.0,116.0,214.0,22.0,90.0,205.0,43.9,22.0,27.0,81.5,84.0,690.0
Drew Sample,7.0,9.0,45.0,6.4,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,TE,2,2020,CIN,CLE,False,371.0,585.0,63.4,3962.0,7.2,247.6,47.0,31.0,11.0,38.0,262.0,94.9,412.0,1773.0,4.3,110.8,44.0,16.0,12.0,4.0,371.0,4224.0,11.4,264.0,47.0,31.0,4.0,2.0,352.0,116.0,214.0,22.0,90.0,205.0,43.9,22.0,27.0,81.5,84.0,690.0
Cethan Carter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE,2,2020,CIN,CLE,False,371.0,585.0,63.4,3962.0,7.2,247.6,47.0,31.0,11.0,38.0,262.0,94.9,412.0,1773.0,4.3,110.8,44.0,16.0,12.0,4.0,371.0,4224.0,11.4,264.0,47.0,31.0,4.0,2.0,352.0,116.0,214.0,22.0,90.0,205.0,43.9,22.0,27.0,81.5,84.0,690.0
Clark Harris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE,2,2020,CIN,CLE,False,371.0,585.0,63.4,3962.0,7.2,247.6,47.0,31.0,11.0,38.0,262.0,94.9,412.0,1773.0,4.3,110.8,44.0,16.0,12.0,4.0,371.0,4224.0,11.4,264.0,47.0,31.0,4.0,2.0,352.0,116.0,214.0,22.0,90.0,205.0,43.9,22.0,27.0,81.5,84.0,690.0
Logan Thomas,4.0,7.0,31.0,7.8,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.1,TE,3,2020,WAS,CLE,False,371.0,585.0,63.4,3962.0,7.2,247.6,47.0,31.0,11.0,38.0,262.0,94.9,412.0,1773.0,4.3,110.8,44.0,16.0,12.0,4.0,371.0,4224.0,11.4,264.0,47.0,31.0,4.0,2.0,352.0,116.0,214.0,22.0,90.0,205.0,43.9,22.0,27.0,81.5,84.0,690.0
Marcus Baugh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE,3,2020,WAS,CLE,False,371.0,585.0,63.4,3962.0,7.2,247.6,47.0,31.0,11.0,38.0,262.0,94.9,412.0,1773.0,4.3,110.8,44.0,16.0,12.0,4.0,371.0,4224.0,11.4,264.0,47.0,31.0,4.0,2.0,352.0,116.0,214.0,22.0,90.0,205.0,43.9,22.0,27.0,81.5,84.0,690.0
Jeremy Sprinkle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE,3,2020,WAS,CLE,False,371.0,585.0,63.4,3962.0,7.2,247.6,47.0,31.0,11.0,38.0,262.0,94.9,412.0,1773.0,4.3,110.8,44.0,16.0,12.0,4.0,371.0,4224.0,11.4,264.0,47.0,31.0,4.0,2.0,352.0,116.0,214.0,22.0,90.0,205.0,43.9,22.0,27.0,81.5,84.0,690.0
Dalton Schultz,4.0,8.0,72.0,18.0,26.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,13.2,TE,4,2020,DAL,CLE,True,371.0,585.0,63.4,3962.0,7.2,247.6,47.0,31.0,11.0,38.0,262.0,94.9,412.0,1773.0,4.3,110.8,44.0,16.0,12.0,4.0,371.0,4224.0,11.4,264.0,47.0,31.0,4.0,2.0,352.0,116.0,214.0,22.0,90.0,205.0,43.9,22.0,27.0,81.5,84.0,690.0
