player,position,team,games,snaps,snaps_pct,rush_pct,tgt_pct,touch_pct,util_pct,fantasy_points,points_per_100_snaps,week,year,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,opponent,home
Danny Amendola,WR,DET,1.0,44.0,56.0,0.0,16.0,11.0,16.0,8.1,18.4,1,2020,,,,,,,,,,,,CHI,True
Marvin Jones Jr.,WR,DET,1.0,71.0,91.0,0.0,11.0,6.0,11.0,5.5,7.7,1,2020,,,,,,,,,,,,CHI,True
Marvin Hall,WR,DET,1.0,16.0,21.0,0.0,13.0,6.0,13.0,2.6,16.3,1,2020,,,,,,,,,,,,CHI,True
Jamal Agnew,WR,DET,1.0,15.0,19.0,0.0,7.0,0.0,7.0,0.0,0.0,1,2020,,,,,,,,,,,,CHI,True
Quintez Cephus,WR,DET,1.0,62.0,79.0,0.0,16.0,5.0,16.0,4.3,6.9,1,2020,3.0,10.0,43.0,14.3,20.0,0.0,0.0,0.0,0.0,0.0,0.0,CHI,True
Josh Reynolds,WR,DET,1.0,,,,,,,1.7,,1,2020,1.0,1.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,CHI,True
KhaDarel Hodge,WR,DET,1.0,,,,,,,1.2,,1,2020,1.0,3.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,CHI,True
Kalif Raymond,WR,DET,1.0,,,,,,,0.0,,1,2020,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CHI,True
DeSean Jackson,WR,PHI,1.0,38.0,56.0,0.0,18.0,5.0,18.0,4.6,12.1,1,2020,,,,,,,,,,,,WAS,False
Greg Ward,WR,PHI,1.0,30.0,44.0,0.0,23.0,17.0,23.0,3.1,10.3,1,2020,5.0,7.0,31.0,6.2,11.0,0.0,0.0,0.0,0.0,0.0,0.0,WAS,False
J.J. Arcega-Whiteside,WR,PHI,1.0,28.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAS,False
Jalen Reagor,WR,PHI,1.0,40.0,59.0,0.0,10.0,3.0,10.0,5.5,13.8,1,2020,1.0,4.0,55.0,55.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,WAS,False
John Hightower,WR,PHI,1.0,28.0,41.0,0.0,14.0,4.0,14.0,-0.2,-0.7,1,2020,1.0,4.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAS,False
Julian Edelman,WR,NE,1.0,38.0,58.0,3.0,18.0,16.0,21.0,8.0,21.1,1,2020,,,,,,,,,,,,MIA,True
Matthew Slater,WR,NE,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIA,True
Damiere Byrd,WR,NE,1.0,56.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020,,,,,,,,,,,,MIA,True
