player,position,team,games,snaps,snaps_pct,rush_pct,tgt_pct,touch_pct,util_pct,fantasy_points,points_per_100_snaps,week,year,rushing_att,rushing_yds,rushing_avg,rushing_lng,rushing_20p,rushing_td,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_td,lst,opponent,home
Mark Ingram II,RB,HOU,1.0,36.0,46.0,72.0,3.0,72.0,75.0,14.5,40.3,1,2021,,,,,,,,,,,,,JAC,True
Rex Burkhead,RB,HOU,1.0,10.0,13.0,0.0,20.0,10.0,20.0,0.6,6.0,1,2021,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,6.0,0.0,0.0,JAC,True
David Johnson,RB,HOU,1.0,22.0,28.0,14.0,18.0,27.0,32.0,8.8,40.0,1,2021,3.0,10.0,3.3,5.0,0.0,0.0,3.0,4.0,18.0,6.0,1.0,0.0,JAC,True
Phillip Lindsay,RB,HOU,1.0,20.0,26.0,40.0,5.0,40.0,45.0,8.5,42.5,1,2021,,,,,,,,,,,,,JAC,True
Brandon Bolden,RB,NE,1.0,2.0,3.0,50.0,0.0,50.0,50.0,0.5,25.0,1,2021,1.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIA,True
James White,RB,NE,1.0,28.0,37.0,14.0,25.0,36.0,39.0,6.1,21.8,1,2021,4.0,12.0,3.0,10.0,0.0,0.0,6.0,7.0,49.0,8.2,0.0,0.0,MIA,True
Damien Harris,RB,NE,1.0,40.0,53.0,58.0,8.0,63.0,65.0,9.7,24.3,1,2021,23.0,100.0,4.3,35.0,0.0,0.0,2.0,3.0,17.0,8.5,0.0,1.0,MIA,True
Rhamondre Stevenson,RB,NE,1.0,5.0,7.0,20.0,20.0,40.0,40.0,-0.9,-18.0,1,2021,1.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,9.0,9.0,0.0,1.0,MIA,True
Cordarrelle Patterson,RB,ATL,1.0,24.0,33.0,29.0,8.0,38.0,38.0,6.7,27.9,1,2021,7.0,54.0,7.7,14.0,0.0,0.0,2.0,2.0,13.0,6.5,0.0,0.0,PHI,True
Keith Smith,RB,ATL,1.0,21.0,29.0,10.0,14.0,24.0,24.0,3.1,14.8,1,2021,2.0,13.0,6.5,8.0,0.0,0.0,3.0,3.0,18.0,6.0,0.0,0.0,PHI,True
