player,position,games,snaps,snaps_pct,rush_pct,tgt_pct,touch_pct,util_pct,fantasy_points,points_per_100_snaps,week,year,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_long,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,team,opponent,home
Jared Cook,TE,1.0,47.0,58.0,0.0,17.0,11.0,17.0,5.6,11.9,1,2021,5.0,8.0,56.0,11.2,23.0,0.0,0.0,0.0,0.0,0.0,0.0,LAC,WAS,False
Stephen Anderson,TE,1.0,20.0,25.0,0.0,10.0,5.0,10.0,0.1,0.5,1,2021,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,LAC,WAS,False
Donald Parham Jr.,TE,1.0,41.0,51.0,0.0,2.0,0.0,2.0,0.0,0.0,1,2021,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LAC,WAS,False
Marcedes Lewis,TE,1.0,15.0,26.0,0.0,7.0,7.0,7.0,1.9,12.7,1,2021,1.0,1.0,19.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,GB,NO,False
Robert Tonyan,TE,1.0,28.0,49.0,0.0,14.0,7.0,14.0,0.8,2.9,1,2021,2.0,4.0,8.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,GB,NO,False
Dominique Dafney,TE,1.0,19.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GB,NO,False
Jimmy Graham,TE,1.0,14.0,20.0,0.0,14.0,7.0,14.0,1.1,7.9,1,2021,1.0,2.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,CHI,LAR,False
Cole Kmet,TE,1.0,51.0,74.0,0.0,14.0,10.0,14.0,4.2,8.2,1,2021,5.0,7.0,42.0,8.4,10.0,0.0,0.0,0.0,0.0,0.0,0.0,CHI,LAR,False
Rob Gronkowski,TE,1.0,57.0,88.0,0.0,14.0,14.0,14.0,21.0,36.8,1,2021,8.0,8.0,90.0,11.3,20.0,0.0,2.0,0.0,0.0,0.0,0.0,TB,DAL,True
Kyle Rudolph,TE,1.0,47.0,77.0,0.0,11.0,4.0,11.0,0.8,1.7,1,2021,2.0,5.0,8.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,NYG,DEN,True
Kaden Smith,TE,1.0,29.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYG,DEN,True
Travis Kelce,TE,1.0,55.0,85.0,0.0,13.0,11.0,13.0,19.6,35.6,1,2021,6.0,7.0,76.0,12.7,19.0,0.0,2.0,0.0,0.0,0.0,0.0,KC,CLE,True
Blake Bell,TE,1.0,19.0,29.0,5.0,5.0,11.0,11.0,0.5,2.6,1,2021,1.0,1.0,3.0,3.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,KC,CLE,True
Zach Ertz,TE,1.0,41.0,58.0,0.0,5.0,5.0,5.0,3.4,8.3,1,2021,2.0,2.0,34.0,17.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,PHI,ATL,False
Dallas Goedert,TE,1.0,52.0,73.0,0.0,10.0,8.0,10.0,10.2,19.6,1,2021,4.0,5.0,42.0,10.5,13.0,0.0,1.0,0.0,0.0,0.0,0.0,PHI,ATL,False
Ryan Griffin,TE,1.0,31.0,48.0,0.0,19.0,10.0,19.0,2.2,7.1,1,2021,3.0,6.0,22.0,7.3,8.0,0.0,0.0,0.0,0.0,0.0,0.0,NYJ,CAR,False
Tyler Kroft,TE,1.0,43.0,66.0,0.0,12.0,7.0,12.0,2.6,6.0,1,2021,3.0,5.0,26.0,8.7,10.0,0.0,0.0,0.0,0.0,0.0,0.0,NYJ,CAR,False
Daniel Brown,TE,1.0,,,,,,,0.0,,1,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYJ,CAR,False
Demetrius Harris,TE,1.0,23.0,33.0,0.0,13.0,0.0,13.0,0.0,0.0,1,2021,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARI,TEN,False
Maxx Williams,TE,1.0,55.0,80.0,0.0,2.0,0.0,2.0,0.0,0.0,1,2021,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARI,TEN,False
Darrell Daniels,TE,1.0,15.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ARI,TEN,False
Jack Doyle,TE,1.0,45.0,59.0,0.0,9.0,7.0,9.0,2.1,4.7,1,2021,3.0,4.0,21.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,IND,SEA,True
Mo Alie-Cox,TE,1.0,39.0,51.0,0.0,5.0,0.0,5.0,0.0,0.0,1,2021,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IND,SEA,True
Logan Thomas,TE,1.0,55.0,100.0,0.0,5.0,5.0,5.0,9.0,16.4,1,2021,3.0,3.0,30.0,10.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,WAS,LAC,True
Eric Ebron,TE,1.0,27.0,47.0,0.0,7.0,4.0,7.0,1.9,7.0,1,2021,1.0,2.0,19.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,PIT,BUF,False
Zach Gentry,TE,1.0,16.0,28.0,0.0,6.0,6.0,6.0,-0.2,-1.3,1,2021,1.0,1.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PIT,BUF,False
Pat Freiermuth,TE,1.0,29.0,50.0,0.0,3.0,3.0,3.0,2.4,8.3,1,2021,1.0,1.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,PIT,BUF,False
Darren Fells,TE,1.0,27.0,29.0,0.0,4.0,4.0,4.0,0.2,0.7,1,2021,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,SF,True
T.J. Hockenson,TE,1.0,78.0,85.0,0.0,14.0,10.0,14.0,17.7,22.7,1,2021,8.0,11.0,97.0,12.1,23.0,0.0,1.0,0.0,0.0,0.0,0.0,DET,SF,True
Jared Pinkney,TE,1.0,,,,,,,0.0,,1,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DET,SF,True
Chris Manhertz,TE,1.0,26.0,35.0,0.0,4.0,4.0,4.0,8.2,31.5,1,2021,1.0,1.0,22.0,22.0,22.0,0.0,1.0,0.0,0.0,0.0,0.0,JAC,HOU,False
