rank,player,fg,fg_att,fg_pct,long,1-19,20-29,30-39,40-49,50+,XPT,XPA,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1,Mason Crosby,2,2,100.0,56,0,0,0,1,1,0,0,1,9.0,9.0,40.7,GB,K,1,2010
2,Mike Nugent,1,1,100.0,54,0,0,0,0,1,0,0,1,5.0,5.0,1.0,,K,1,2010
3,Matt Prater,1,1,100.0,54,0,0,0,0,1,0,0,1,5.0,5.0,52.8,ARI,K,1,2010
4,Nick Folk,3,3,100.0,48,0,1,0,0,0,0,0,1,3.0,3.0,81.8,NE,K,1,2010
5,Graham Gano,2,2,100.0,49,0,1,0,0,0,0,0,1,3.0,3.0,31.4,NYG,K,1,2010
6,Stephen Gostkowski,1,3,33.3,32,0,0,1,0,0,0,0,1,3.0,3.0,0.1,,K,1,2010
9,Adam Vinatieri,1,1,100.0,20,0,1,0,0,0,0,0,1,0.0,0.0,0.2,,K,1,2010
47,Phil Dawson,0,1,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1,,K,1,2010
49,Rian Lindell,1,2,50.0,51,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,K,1,2010
50,Rob Bironas,1,1,100.0,43,0,0,0,1,0,0,0,1,0.0,0.0,0.0,,K,1,2010
51,Robbie Gould,2,2,100.0,31,0,0,0,0,0,0,0,1,0.0,0.0,22.5,SF,K,1,2010
52,Ryan Succop,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,57.4,TB,K,1,2010
53,Sebastian Janikowski,2,3,66.7,34,0,0,2,0,0,0,0,1,0.0,0.0,20.0,,K,1,2010
58,Billy Cundiff,1,1,100.0,25,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,K,1,2010
60,Connor Barth,1,1,100.0,49,0,0,0,1,0,0,0,1,0.0,0.0,0.0,,K,1,2010
61,Dan Carpenter,2,3,66.7,43,0,0,0,0,0,0,0,1,0.0,0.0,0.2,,K,1,2010
62,David Akers,2,2,100.0,45,0,1,0,1,0,0,0,1,0.0,0.0,0.0,,K,1,2010
63,David Buehler,0,1,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,K,1,2010
64,Garrett Hartley,0,2,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,K,1,2010
67,Jay Feely,1,1,100.0,22,0,1,0,0,0,0,0,1,0.0,0.0,0.0,,K,1,2010
68,Nate Kaeding,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,K,1,2010
69,Josh Brown,2,3,66.7,46,0,1,0,1,0,0,0,1,0.0,0.0,0.0,,K,1,2010
70,Josh Scobee,1,1,100.0,45,0,0,0,1,0,0,0,1,0.0,0.0,0.0,,K,1,2010
71,Lawrence Tynes,1,1,100.0,32,0,0,1,0,0,0,0,1,0.0,0.0,0.0,,K,1,2010
74,Matt Bryant,3,4,75.0,49,0,1,1,1,0,0,0,1,0.0,0.0,1.1,,K,1,2010
1,Mason Crosby,2,2,100.0,44,0,1,0,1,0,0,0,1,7.0,7.0,40.7,GB,K,2,2010
2,Graham Gano,2,4,50.0,41,0,1,0,1,0,0,0,1,7.0,7.0,31.4,NYG,K,2,2010
3,Mike Nugent,5,5,100.0,46,0,0,1,0,0,0,0,1,3.0,3.0,1.0,,K,2,2010
6,Adam Vinatieri,1,1,100.0,38,0,0,0,0,0,0,0,1,0.0,0.0,0.2,,K,2,2010
44,Phil Dawson,0,1,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1,,K,2,2010
46,Rian Lindell,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,K,2,2010
47,Rob Bironas,1,1,100.0,21,0,1,0,0,0,0,0,1,0.0,0.0,0.0,,K,2,2010
48,Robbie Gould,2,2,100.0,40,0,0,0,0,0,0,0,1,0.0,0.0,22.5,SF,K,2,2010
49,Ryan Succop,3,3,100.0,35,0,0,0,0,0,0,0,1,0.0,0.0,57.4,TB,K,2,2010
50,Sebastian Janikowski,3,4,75.0,41,0,0,1,0,0,0,0,1,0.0,0.0,20.0,,K,2,2010
51,Stephen Gostkowski,0,1,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1,,K,2,2010
55,Nick Folk,2,2,100.0,49,0,0,0,0,0,0,0,1,0.0,0.0,81.8,NE,K,2,2010
56,Nate Kaeding,1,1,100.0,41,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,K,2,2010
58,Billy Cundiff,1,1,100.0,38,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,K,2,2010
60,Connor Barth,2,2,100.0,33,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,K,2,2010
61,Dan Carpenter,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.2,,K,2,2010
62,David Akers,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,K,2,2010
63,David Buehler,2,3,66.7,48,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,K,2,2010
64,Garrett Hartley,3,3,100.0,46,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,K,2,2010
67,Jay Feely,0,1,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,K,2,2010
68,Josh Brown,0,1,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,K,2,2010
69,Josh Scobee,2,2,100.0,48,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,K,2,2010
70,Lawrence Tynes,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,K,2,2010
73,Matt Bryant,2,2,100.0,35,0,1,0,0,0,0,0,1,0.0,0.0,1.1,,K,2,2010
74,Matt Prater,1,1,100.0,20,0,0,0,0,0,0,0,1,0.0,0.0,52.8,ARI,K,2,2010
1,Graham Gano,3,3,100.0,29,0,2,0,0,0,0,0,1,6.0,6.0,31.4,NYG,K,3,2010
2,Matt Prater,2,2,100.0,34,0,1,1,0,0,0,0,1,6.0,6.0,52.8,ARI,K,3,2010
3,Stephen Gostkowski,1,1,100.0,43,0,0,0,1,0,0,0,1,4.0,4.0,0.1,,K,3,2010
4,Mason Crosby,1,2,50.0,38,0,0,1,0,0,0,0,1,3.0,3.0,40.7,GB,K,3,2010
5,Adam Vinatieri,2,2,100.0,38,0,0,2,0,0,0,0,1,0.0,0.0,0.2,,K,3,2010
45,Phil Dawson,1,1,100.0,38,0,0,1,0,0,0,0,1,0.0,0.0,0.1,,K,3,2010
47,Rian Lindell,3,4,75.0,39,0,0,3,0,0,0,0,1,0.0,0.0,0.0,,K,3,2010
48,Rob Bironas,2,2,100.0,48,0,1,0,1,0,0,0,1,0.0,0.0,0.0,,K,3,2010
49,Robbie Gould,2,3,66.7,25,0,0,0,0,0,0,0,1,0.0,0.0,22.5,SF,K,3,2010
50,Ryan Succop,1,2,50.0,32,0,0,0,0,0,0,0,1,0.0,0.0,57.4,TB,K,3,2010
51,Sebastian Janikowski,3,6,50.0,54,0,1,0,0,1,0,0,1,0.0,0.0,20.0,,K,3,2010
55,Nick Folk,1,2,50.0,30,0,0,0,0,0,0,0,1,0.0,0.0,81.8,NE,K,3,2010
56,Nate Kaeding,1,1,100.0,29,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,K,3,2010
58,Billy Cundiff,1,2,50.0,49,0,0,0,1,0,0,0,1,0.0,0.0,0.0,,K,3,2010
60,Connor Barth,2,2,100.0,40,0,1,0,1,0,0,0,1,0.0,0.0,0.0,,K,3,2010
61,Dan Carpenter,3,3,100.0,50,0,0,0,0,0,0,0,1,0.0,0.0,0.2,,K,3,2010
62,David Akers,0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,K,3,2010
63,David Buehler,2,2,100.0,49,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,K,3,2010
64,Garrett Hartley,1,2,50.0,32,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,K,3,2010
67,Jay Feely,1,1,100.0,42,0,0,0,1,0,0,0,1,0.0,0.0,0.0,,K,3,2010
68,Mike Nugent,2,2,100.0,50,0,0,0,0,0,0,0,1,0.0,0.0,1.0,,K,3,2010
69,Josh Brown,3,4,75.0,37,0,0,0,0,0,0,0,1,0.0,0.0,0.0,,K,3,2010
70,Josh Scobee,1,1,100.0,51,0,0,0,0,1,0,0,1,0.0,0.0,0.0,,K,3,2010
71,Lawrence Tynes,1,3,33.3,50,0,0,0,0,1,0,0,1,0.0,0.0,0.0,,K,3,2010
74,Matt Bryant,2,2,100.0,46,0,0,0,0,0,0,0,1,0.0,0.0,1.1,,K,3,2010
1,Matt Prater,4,4,100.0,36,0,0,4,0,0,0,0,1,12.0,12.0,52.8,ARI,K,4,2010
2,Stephen Gostkowski,2,2,100.0,30,0,1,1,0,0,0,0,1,6.0,6.0,0.1,,K,4,2010
3,Mike Nugent,2,3,66.7,25,0,1,0,0,0,0,0,1,3.0,3.0,1.0,,K,4,2010
4,Graham Gano,1,1,100.0,26,0,1,0,0,0,0,0,1,3.0,3.0,31.4,NYG,K,4,2010
5,Nick Folk,1,2,50.0,19,0,0,1,0,0,0,0,1,3.0,3.0,81.8,NE,K,4,2010
