rank,player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,fantasy_points_per_game,rost,position,week,year,team
1.0,DeSean Jackson,6.0,12.0,102.0,17.0,41.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,16.2,16.2,4.4,WR,1,2011,PHI
2.0,Dez Bryant,3.0,8.0,71.0,23.7,42.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,13.1,13.1,2.6,WR,1,2011,DAL
3.0,A.J. Green,1.0,4.0,41.0,41.0,41.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.1,10.1,51.8,WR,1,2011,CIN
4.0,Randall Cobb,2.0,2.0,35.0,17.5,32.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.5,9.5,7.6,WR,1,2011,GB
5.0,Emmanuel Sanders,2.0,3.0,20.0,10.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,8.0,46.6,WR,1,2011,PIT
6.0,Julio Jones,5.0,6.0,71.0,14.2,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.1,7.1,60.7,WR,1,2011,ATL
7.0,Golden Tate,1.0,5.0,8.0,8.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.8,6.8,0.1,WR,1,2011,SEA
8.0,Larry Fitzgerald,3.0,7.0,62.0,20.7,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.2,6.2,0.3,WR,1,2011,ARI
9.0,Matthew Slater,1.0,2.0,46.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.6,4.6,0.0,WR,1,2011,NE
10.0,Andre Roberts,2.0,4.0,21.0,10.5,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1,2.1,0.1,WR,1,2011,ARI
11.0,Antonio Brown,2.0,9.0,14.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4,1.4,84.1,WR,1,2011,PIT
12.0,Julian Edelman,1.0,2.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,0.9,13.1,WR,1,2011,NE
257.0,Bryan Walters,2.0,2.0,21.0,10.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,1,2011,LAC
258.0,Dezmon Briscoe,2.0,2.0,14.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,1,2011,TB
260.0,Dane Sanzenbacher,1.0,1.0,6.0,6.0,6.0,0.0,0.0,1.0,-4.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,1,2011,CHI
263.0,Jeremy Kerley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,1,2011,NYJ
265.0,Doug Baldwin,4.0,6.0,83.0,20.8,55.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,1,2011,SEA
273.0,Greg Salas,1.0,3.0,21.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,1,2011,LAR
295.0,Jerome Simpson,4.0,9.0,44.0,11.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,1,2011,CIN
296.0,Jeremy Maclin,1.0,3.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,1,2011,PHI
297.0,Jordy Nelson,6.0,8.0,77.0,12.8,36.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,WR,1,2011,GB
298.0,James Jones,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,1,2011,GB
299.0,Jacoby Jones,3.0,3.0,43.0,14.3,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,1,2011,HOU
300.0,Hakeem Nicks,7.0,11.0,122.0,17.4,68.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,1,2011,NYG
301.0,Greg Jennings,7.0,8.0,89.0,12.7,22.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,1,2011,GB
303.0,Josh Cribbs,1.0,3.0,13.0,13.0,13.0,0.0,0.0,1.0,-3.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,1,2011,CLE
305.0,Mario Manningham,4.0,7.0,49.0,12.3,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,1,2011,NYG
306.0,Malcom Floyd,3.0,8.0,45.0,15.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,1,2011,LAC
309.0,Josh Morgan,2.0,2.0,28.0,14.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,1,2011,SF
310.0,Kevin Walter,1.0,2.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,1,2011,HOU
311.0,Kevin Ogletree,2.0,2.0,12.0,6.0,7.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,1,2011,DAL
313.0,Kenny Britt,5.0,10.0,136.0,27.2,80.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,1,2011,TEN
316.0,Eddie Royal,2.0,6.0,33.0,16.5,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,1,2011,DEN
317.0,Earl Bennett,2.0,4.0,11.0,5.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,1,2011,CHI
318.0,Brandon Lloyd,6.0,10.0,89.0,14.8,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,1,2011,DEN
319.0,Calvin Johnson,6.0,10.0,88.0,14.7,36.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,WR,1,2011,DET
321.0,Brian Hartline,4.0,7.0,47.0,11.8,16.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,1,2011,MIA
322.0,Braylon Edwards,3.0,5.0,27.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,1,2011,SF
324.0,Brandon Marshall,7.0,13.0,139.0,19.9,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.6,WR,1,2011,MIA
325.0,Brandon Gibson,3.0,5.0,50.0,16.7,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,1,2011,LAR
326.0,Brad Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,1,2011,BUF
328.0,Ben Obomanu,2.0,6.0,12.0,6.0,7.0,0.0,0.0,1.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,1,2011,SEA
330.0,Anquan Boldin,4.0,7.0,74.0,18.5,27.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,WR,1,2011,BAL
331.0,Andre Johnson,7.0,11.0,95.0,13.6,21.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,1,2011,HOU
332.0,Dwayne Bowe,2.0,8.0,17.0,8.5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,1,2011,KC
333.0,Donald Driver,4.0,7.0,41.0,10.3,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,1,2011,GB
334.0,Domenik Hixon,2.0,4.0,21.0,10.5,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,1,2011,NYG
336.0,Devin Hester,3.0,5.0,60.0,20.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,WR,1,2011,CHI
338.0,Devery Henderson,6.0,9.0,100.0,16.7,29.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,1,2011,NO
339.0,Davone Bess,5.0,8.0,92.0,18.4,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,1,2011,MIA
340.0,Darrius Heyward-Bey,4.0,7.0,44.0,11.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,WR,1,2011,LV
341.0,Danny Amendola,5.0,6.0,45.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,WR,1,2011,LAR
345.0,Marques Colston,6.0,9.0,81.0,13.5,23.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,WR,1,2011,NO
