rank,player,receiving_rec,receiving_tgt,receiving_yds,receiving_avg,receiving_lg,receiving_20p,receiving_td,rushing_att,rushing_yds,rushing_td,lst,games,fantasy_points,fantasy_points_per_game,rost,team,position,week,year
1.0,A.J. Green,9.0,13.0,162.0,18.0,45.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,28.2,28.2,51.8,CIN,WR,1,2013
2.0,Larry Fitzgerald,8.0,14.0,80.0,10.0,24.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,20.0,20.0,0.3,ARI,WR,1,2013
3.0,Julian Edelman,7.0,9.0,79.0,11.3,35.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,19.9,19.9,13.1,NE,WR,1,2013
4.0,Randall Cobb,7.0,12.0,108.0,15.4,38.0,1.0,1.0,2.0,6.0,0.0,0.0,1.0,17.4,17.4,7.6,GB,WR,1,2013
5.0,DeSean Jackson,7.0,9.0,104.0,14.9,26.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,16.4,16.4,4.4,PHI,WR,1,2013
6.0,Julio Jones,7.0,9.0,76.0,10.9,22.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,11.6,11.6,60.7,ATL,WR,1,2013
7.0,Danny Amendola,10.0,14.0,104.0,10.4,24.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.4,10.4,0.1,NE,WR,1,2013
8.0,Andre Roberts,8.0,9.0,97.0,12.1,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.7,9.7,0.1,ARI,WR,1,2013
9.0,Kenny Stills,2.0,5.0,86.0,43.0,67.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.6,8.6,0.1,NO,WR,1,2013
10.0,Robert Woods,1.0,2.0,18.0,18.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.8,7.8,29.9,BUF,WR,1,2013
11.0,Antonio Brown,5.0,7.0,71.0,14.2,22.0,2.0,0.0,1.0,4.0,0.0,0.0,1.0,7.5,7.5,84.1,PIT,WR,1,2013
12.0,DeAndre Hopkins,5.0,6.0,66.0,13.2,30.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.6,6.6,69.3,HOU,WR,1,2013
13.0,Emmanuel Sanders,7.0,12.0,57.0,8.1,20.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.7,5.7,46.6,PIT,WR,1,2013
14.0,Golden Tate,4.0,6.0,51.0,12.8,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.1,5.1,0.1,SEA,WR,1,2013
15.0,Travis Benjamin,3.0,8.0,44.0,14.7,20.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.4,4.4,0.0,CLE,WR,1,2013
16.0,Alshon Jeffery,5.0,8.0,42.0,8.4,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.2,4.2,0.1,CHI,WR,1,2013
17.0,Dez Bryant,4.0,8.0,22.0,5.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.2,2.2,2.6,DAL,WR,1,2013
19.0,T.Y. Hilton,3.0,5.0,20.0,6.7,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,16.8,IND,WR,1,2013
20.0,Dwayne Harris,2.0,3.0,12.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2,1.2,0.0,DAL,WR,1,2013
264.0,Rishard Matthews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,MIA,WR,1,2013
265.0,Damaris Johnson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,PHI,WR,1,2013
267.0,Jarrett Boykin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,GB,WR,1,2013
268.0,Junior Hemingway,1.0,1.0,3.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,KC,WR,1,2013
269.0,Rod Streater,5.0,8.0,70.0,14.0,18.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,0.1,OAK,WR,1,2013
270.0,Keshawn Martin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,HOU,WR,1,2013
272.0,A.J. Jenkins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,KC,WR,1,2013
