player,field_goal,field_goal_att,pct,lg,1-19,20-29,30-39,40-49,50+,XPT,XPA,games,fantasy_points,fantasy_points_per_game,rost,team,week,position
Dan Bailey,4,4,100.0,56,0,2,0,0,2,1,1,1,17.0,17.0,0.0,FA,1,K
Blair Walsh,4,6,66.7,50,0,0,2,1,1,1,2,1,16.0,16.0,0.1,FA,1,K
Stephen Gostkowski,3,3,100.0,53,0,0,1,1,1,2,2,1,14.0,14.0,0.1,FA,1,K
Jason Myers,3,3,100.0,50,0,1,1,0,1,2,2,1,13.0,13.0,22.1,SEA,1,K
Adam Vinatieri,2,2,100.0,50,0,0,0,1,1,3,3,1,12.0,12.0,0.2,FA,1,K
Mike Nugent,3,4,75.0,47,0,1,1,1,0,2,2,1,12.0,12.0,1.0,FA,1,K
Wil Lutz,2,4,50.0,42,0,1,0,1,0,4,4,1,11.0,11.0,3.3,NO,1,K
Dustin Hopkins,3,3,100.0,40,0,0,2,1,0,1,1,1,11.0,11.0,14.5,LAC,1,K
Nick Folk,3,4,75.0,45,0,2,0,1,0,1,2,1,11.0,11.0,81.8,NE,1,K
Nick Novak,3,3,100.0,38,0,2,1,0,0,2,2,1,11.0,11.0,0.1,FA,1,K
Matt Bryant,3,3,100.0,34,0,1,2,0,0,1,1,1,10.0,10.0,1.1,FA,1,K
Cairo Santos,2,2,100.0,47,0,0,1,1,0,3,3,1,10.0,10.0,2.1,CHI,1,K
Caleb Sturgis,2,3,66.7,38,0,1,1,0,0,3,3,1,9.0,9.0,0.0,FA,1,K
Chris Boswell,1,1,100.0,46,0,0,0,1,0,5,5,1,9.0,9.0,51.0,PIT,1,K
Graham Gano,2,3,66.7,44,0,0,1,1,0,2,2,1,9.0,9.0,31.4,NYG,1,K
Josh Lambo,2,3,66.7,29,0,2,0,0,0,3,3,1,9.0,9.0,3.2,FA,1,K
Justin Tucker,2,2,100.0,50,0,0,1,0,1,1,1,1,9.0,9.0,98.0,BAL,1,K
Mason Crosby,2,2,100.0,25,0,2,0,0,0,3,3,1,9.0,9.0,40.7,GB,1,K
Sebastian Janikowski,2,2,100.0,47,0,0,1,1,0,1,1,1,8.0,8.0,20.0,FA,1,K
Matt Prater,1,1,100.0,43,0,0,0,1,0,4,5,1,8.0,8.0,52.8,ARI,1,K
