player,team,touchdowns
L.Jackson,BAL,36
D.Prescott,DAL,30
J.Winston,NO,33
R.Wilson,SEA,31
D.Watson,HOU,26
J.Allen,BUF,20
K.Murray,ARI,20
P.Mahomes,KC,26
C.Wentz,IND,27
A.Rodgers,GB,26
M.Ryan,ATL,26
T.Brady,FA,24
J.Goff,DET,22
J.Garoppolo,SF,27
P.Rivers,FA,23
R.Fitzpatrick,WAS,20
D.Carr,LV,21
K.Cousins,MIN,26
B.Mayfield,CLE,22
G.Minshew,PHI,21
R.Tannehill,TEN,22
D.Brees,FA,27
D.Jones,NYG,24
J.Brissett,MIA,18
A.Dalton,CHI,16
M.Trubisky,BUF,17
S.Darnold,CAR,19
K.Allen,WAS,17
M.Stafford,LAR,19
M.Rudolph,PIT,13
C.Keenum,CLE,11
T.Bridgewater,DEN,9
J.Flacco,NYJ,6
M.Mariota,LV,7
D.Haskins,PIT,7
T.Hill,NO,0
D.Lock,DEN,7
J.Driskel,HOU,4
D.Blough,DET,4
D.Hodges,FA,5
E.Manning,FA,6
M.Moore,FA,4
N.Foles,CHI,3
B.Allen,CIN,3
M.Schaub,FA,3
C.Daniel,LAC,3
R.Finley,FA,2
B.Hoyer,NE,4
J.Rosen,ATL,1
R.Griffin,FA,1
A.McCarron,ATL,0
C.Newton,CAR,0
B.Roethlisberger,FA,0
L.Falk,FA,0
M.Barkley,FA,0
B.Hundley,FA,0
T.Taylor,HOU,1
W.Grier,DAL,0
C.McCoy,ARI,0
M.Glennon,NYG,1
J.McCown,FA,0
R.Griffin,FA,0
S.Mannion,MIN,0
T.McSorley,ARI,0
T.Siemian,NO,0
T.Lance,SF,0
F.Franks,ATL,0
M.Jones,NE,0
I.Book,NO,0
D.Anderson,FA,0
J.Herbert,LAC,0
J.Burrow,CIN,0
T.Tagovailoa,MIA,0
J.Eason,SEA,0
J.Fromm,NYG,0
J.Browning,CIN,0
J.Hurts,PHI,0
J.Wolford,LAR,0
E.Dungey,CIN,0
B.Rypien,DEN,0
E.Stick,LAC,0
J.Love,GB,0
T.Huntley,BAL,0
S.Ehlinger,IND,0
T.Lawrence,JAC,0
K.Trask,TB,0
B.DiNucci,DAL,0
J.Morton,IND,0
R.Sinnett,PHI,0
S.Montez,DET,0
S.Buechele,KC,0
K.Mond,MIN,0
B.Perkins,LAR,0
J.Morgan,IND,0
B.Lewerke,NYG,0
J.Fields,CHI,0
R.Willis,CHI,0
Z.Wilson,NYJ,0
D.Mills,HOU,0
L.Woodside,TEN,0
B.Chappell,WAS,0
B.Gabbert,TB,0
E.Ainge,NYJ,0
H.Cantwell,BAL,0
A.Froman,ATL,0
A.Luck,FA,0
B.Weeden,FA,0
B.Osweiler,FA,0
A.Tanney,FA,0
J.David,HOU,0
J.Johnson,BAL,0
K.Null,CAR,0
C.Henne,KC,0
S.Bradford,FA,0
J.Webb,FA,0
M.Sanchez,FA,0
M.Cassel,FA,0
K.Benkert,GB,0
C.Beathard,JAC,0
D.Webb,NYG,0
J.Dobbs,PIT,0
C.Kelly,FA,0
K.Hogan,TEN,0
N.Sudfeld,SF,0
C.Rush,DAL,0
A.McGough,SEA,0
D.Etling,GB,0
M.White,NYJ,0
P.Walker,CAR,0
A.Smith,FA,0
B.Ratliff,TEN,0
J.Franklin,FA,0
D.Fales,NYJ,0
B.Smith,TB,0
G.Smith,SEA,0
B.Brohm,BUF,0
T.Heinicke,WAS,0
T.Boyle,DET,0
N.Mullens,CLE,0
G.Gilbert,WAS,0
J.Stidham,NE,0
B.Bortles,NO,0
