player,team,touchdowns
T.Kelce,KC,5
M.Andrews,BAL,10
G.Kittle,SF,5
D.Waller,LV,3
Z.Ertz,ARI,6
J.Cook,LAC,9
A.Hooper,CLE,6
H.Henry,NE,5
T.Higbee,LAR,3
D.Goedert,PHI,5
M.Gesicki,MIA,5
J.Witten,FA,4
D.Fells,FA,7
K.Rudolph,NYG,6
G.Olsen,FA,2
N.Fant,DEN,3
J.Smith,NE,3
J.Doyle,IND,4
E.Engram,NYG,3
R.Griffin,NYJ,5
T.Eifert,FA,3
J.Graham,CHI,3
E.Ebron,PIT,3
C.Brate,TB,4
B.Jarwin,DAL,3
J.Akins,HOU,2
J.Hollister,JAC,3
G.Everett,SEA,2
D.Knox,BUF,2
W.Dissly,SEA,4
O.Howard,TB,1
T.Hockenson,DET,2
F.Moreau,LV,5
H.Hurst,ATL,2
V.McDonald,FA,3
R.Seals-Jones,WAS,4
K.Smith,NYG,3
N.Boyle,BAL,2
I.Smith,MIN,2
J.Hill,FA,3
C.Uzomah,CIN,2
D.Harris,ARI,3
D.Walker,FA,2
J.Sprinkle,DAL,1
C.Clay,FA,1
J.O'Shaughnessy,JAC,2
A.Firkser,TEN,1
M.Williams,ARI,1
D.Arnold,JAC,2
L.Thomas,WAS,1
R.Ellison,FA,1
M.Lewis,GB,1
R.Dwelley,SF,2
J.Graham,ATL,1
I.Thomas,CAR,1
D.Carrier,LV,1
M.LaCosse,FA,1
V.Davis,FA,1
J.Heuerman,FA,1
R.Izzo,TEN,1
B.Watson,FA,0
N.O'Leary,FA,1
N.Vannett,NO,0
H.Hentges,FA,1
R.Tonyan,GB,1
A.Beck,DEN,1
M.Pruitt,TEN,1
J.Perkins,FA,1
J.James,CHI,0
S.DeValve,FA,0
V.Green,FA,1
D.Brown,NYJ,1
T.Kroft,NYJ,1
J.Horsted,CHI,1
B.Braunecker,FA,1
T.Sweeney,BUF,0
S.Carlson,CLE,1
D.Njoku,CLE,1
T.Fumagalli,NE,1
M.Alie-Cox,IND,0
L.Smith,FA,1
J.Holtz,CHI,0
T.Burton,FA,0
L.Willson,FA,0
A.Shaheen,MIA,0
C.Carter,MIA,1
B.Bell,KC,0
G.Swaim,TEN,0
D.Smythe,MIA,0
C.Walford,FA,0
T.Conklin,MIN,0
L.Stocker,MIN,0
L.Kendricks,FA,0
D.Yelder,ARI,0
T.Wesco,NYJ,0
R.Travis,FA,0
D.Sample,CIN,0
C.McElroy,TB,0
P.Brown,HOU,0
J.Mundt,LAR,0
T.Hudson,SF,0
E.Saubert,DEN,0
J.Oliver,BAL,0
I.Nauta,GB,0
S.Culkin,FA,0
A.Auclair,HOU,0
S.Simonson,FA,0
C.Manhertz,JAC,0
L.Toilolo,NYG,0
B.Koyack,FA,0
J.Thomas,DET,0
C.Herndon,MIN,0
D.Schultz,DAL,0
C.Jones,FA,0
T.Swoopes,FA,0
D.Daniels,ARI,0
Z.Gentry,PIT,0
X.Grimble,BAL,0
E.Tomlinson,BAL,0
D.Keene,NE,0
A.Trautman,NO,0
S.Sullivan,CAR,0
M.Wilcox,CIN,0
D.Asiasi,NE,0
J.Deguara,GB,0
N.Gray,KC,0
K.Markway,LAR,0
J.Johnson,NO,0
L.Farrell,JAC,0
R.Berry,DET,0
C.Taumoepeau,DET,0
J.Bargas,MIN,0
B.Jordan,HOU,0
P.Freiermuth,PIT,0
K.Pitts,ATL,0
F.Green,IND,0
N.Bowers,LV,0
C.Woerner,SF,0
S.Washington,CIN,0
N.Togiai,PHI,0
B.Ellefson,MIN,0
T.Mabry,SEA,0
S.McKeon,DAL,0
G.Ricci,CAR,0
T.Davis,GB,0
R.Gilliam,BUF,0
E.Wolf,IND,0
T.Hudson,TEN,0
R.John,NYG,0
N.Griffin-Stewart,KC,0
H.Bryant,CLE,0
C.Parkinson,SEA,0
D.Ernsberger,FA,0
G.Dickerson,FA,0
H.Butler,PHI,0
K.Rader,PIT,0
D.Helm,ATL,0
D.Wells,ARI,0
E.Wolf,NO,0
D.Cantrell,WAS,0
J.Looney,FA,0
J.Franks,CLE,0
A.Okwuegbunam,DEN,0
I.Bunting,DAL,0
M.Sokol,DET,0
M.Orzech,LAR,0
P.Hesse,ATL,0
C.Myarick,CIN,0
C.Kmet,CHI,0
B.Hopkins,LAR,0
H.Bryant,DET,0
J.Pinkney,DET,0
M.Fraboni,HOU,0
B.Dillon,NYJ,0
C.Meier,MIA,0
K.Blanton,LAR,0
T.Jackson,PHI,0
A.Mack,GB,0
J.Sternberger,PIT,0
D.Raymond,PIT,0
K.Warring,JAC,0
A.Fort,TEN,0
J.Fortson,KC,0
D.Parham,LAC,0
J.Stoll,PHI,0
P.Quessenberry,HOU,0
D.Dafney,GB,0
H.Thedford,DET,0
H.Long,MIA,0
T.Tremble,CAR,0
T.McKitty,LAC,0
K.Yeboah,NYJ,0
Q.Morris,BUF,0
P.Wells,CIN,0
M.Forristall,CLE,0
J.Bates,WAS,0
T.Poljan,BAL,0
K.Granson,IND,0
M.Bushman,KC,0
S.Reyes,WAS,0
B.Lenius,ATL,0
N.Kalinic,IND,0
S.Beyer,DEN,0
J.Harris,LAR,0
J.Pederson,KC,0
B.Moore-McKinney,TEN,0
B.Wright,DET,0
D.Soehner,NO,0
N.Ralston,DAL,0
H.Kampmoyer,LAC,0
Z.Davidson,MIN,0
J.Raine,ATL,0
B.Seikovits,ARI,0
N.Guggemos,CLE,0
S.Zylstra,DET,0
J.Hausmann,NYG,0
N.Grey,KC,0
K.Jackson,MIA,0
S.Cannella,MIA,0
M.Jacobson,IND,0
M.Vital,KC,0
C.Thompson,CAR,0
L.Paulsen,FA,0
E.Dickson,FA,0
R.Gronkowski,TB,0
M.Branson,ATL,0
J.Nalbone,CIN,0
J.Dearth,NYJ,0
D.Curry,DET,0
J.Reed,FA,0
D.Sims,FA,0
D.Peterson,WAS,0
D.Dunsmore,TB,0
G.Celek,FA,0
J.Gresham,FA,0
D.Dinkins,NO,0
D.Fine,HOU,0
J.Foschi,CIN,0
A.Gates,FA,0
B.Cottam,KC,0
C.Harris,CIN,0
J.Nordin,DET,0
J.Haynos,MIA,0
J.Snow,IND,0
K.Zinger,ATL,0
S.Anderson,LAC,0
J.Adams,FA,0
D.Grinnage,FA,0
D.Morgan,FA,0
A.Ellis,ARI,0
B.Brinkley,FA,0
J.Winchester,KC,0
T.Ott,SEA,0
P.Scales,CHI,0
K.McDermott,FA,0
A.DePaola,MIN,0
B.Kaufusi,FA,0
J.Driskel,HOU,0
Z.Wood,NO,0
J.Croom,PHI,0
E.Baylis,FA,0
C.Wick,FA,0
A.Cross,FA,0
M.Loewen,FA,0
G.Griffin,NO,0
J.Vander,FA,0
J.Butt,FA,0
M.Schreck,CIN,0
B.Parker,FA,0
R.Rodgers,PHI,0
K.Benjamin,FA,0
J.Matthews,SF,0
E.Swoope,FA,0
M.Lengel,FA,0
N.Sterling,FA,0
K.Lee,FA,0
J.Cunningham,FA,0
K.Nelson,FA,0
