player,team,touchdowns
M.Thomas,NO,9
C.Godwin,TB,9
K.Golladay,NYG,11
C.Kupp,LAR,10
J.Jones,TEN,6
D.Parker,MIA,9
A.Cooper,DAL,8
M.Evans,TB,8
D.Hopkins,ARI,7
A.Brown,TEN,8
K.Allen,LAC,6
A.Robinson,CHI,7
J.Edelman,FA,6
J.Landry,CLE,6
T.Lockett,SEA,8
D.Chark,JAC,8
C.Sutton,DEN,6
S.Diggs,BUF,6
J.Brown,FA,6
M.Gallup,DAL,6
D.Moore,CAR,4
R.Woods,LAR,2
C.Ridley,ATL,7
T.McLaurin,WAS,7
T.Boyd,CIN,5
D.Samuel,SF,3
M.Jones,JAC,9
T.Hill,KC,7
D.Adams,GB,5
D.Metcalf,SEA,7
O.Beckham,LAR,4
E.Sanders,BUF,5
D.Slayton,NYG,8
J.Crowder,NYJ,6
C.Beasley,BUF,6
C.Samuel,WAS,6
M.Williams,LAC,2
R.Anderson,CAR,5
C.Conley,HOU,5
D.Johnson,PIT,5
G.Tate,FA,6
L.Fitzgerald,FA,4
B.Perriman,TB,6
T.Williams,FA,6
M.Brown,BAL,7
C.Kirk,ARI,3
R.Cobb,GB,3
Z.Pascal,IND,5
M.Hardman,KC,6
D.Westbrook,MIN,3
J.Washington,PIT,3
S.Watkins,BAL,3
W.Fuller,MIA,3
S.Shepard,NYG,3
H.Renfrow,LV,4
A.Thielen,MIN,6
K.Stills,NO,4
T.Hilton,IND,5
A.Jeffery,FA,4
D.Amendola,HOU,1
S.Sims,PIT,4
B.Cooks,HOU,2
A.Miller,PIT,2
C.Davis,NYJ,2
P.Dorsett,HOU,5
J.Smith-Schuster,PIT,3
D.Robinson,KC,4
A.Lazard,GB,3
K.Bourne,NE,5
J.Ross,NYG,3
M.Sanu,SF,2
W.Snead,FA,5
A.Tate,CIN,1
T.Gabriel,FA,4
P.Williams,MIA,3
M.Valdes-Scantling,GB,2
T.Sharpe,ATL,4
T.Ginn,FA,2
N.Agholor,NE,3
K.Cole,NYJ,3
T.Smith,NO,5
A.Erickson,CAR,0
A.Hurns,MIA,2
R.Gage,ATL,1
A.Humphries,WAS,2
D.Thomas,FA,1
B.Johnson,MIN,3
J.Gordon,KC,1
A.Wilson,MIA,1
D.Moore,FA,2
C.Latimer,FA,2
G.Allison,FA,2
J.Reynolds,DET,1
D.Byrd,CHI,1
M.Johnson,TEN,2
S.Roberts,FA,2
M.Boykin,BAL,3
K.Harmon,WAS,0
P.Richardson,FA,2
I.McKenzie,BUF,1
J.Meyers,NE,0
D.Hamilton,DEN,1
T.Austin,JAC,1
M.Hall,FA,1
J.Brown,ARI,2
G.Ward,PHI,1
V.Smith,TB,0
K.Coutee,IND,0
M.Turner,DAL,1
P.Cooper,FA,1
C.Rogers,TEN,2
J.Wright,FA,0
J.Kumerow,BUF,1
D.Jackson,LV,2
J.Watson,KC,2
S.Miller,TB,1
N.Harry,NE,2
J.Grant,CHI,0
A.Isabella,ARI,1
M.Goodwin,CHI,1
D.Ratley,FA,1
T.Quinn,FA,1
I.Ford,MIA,0
K.Johnson,SF,1
J.Wims,LV,1
C.Patterson,ATL,0
L.Treadwell,JAC,1
D.Pettis,NYG,2
B.Fowler,SF,0
B.Pringle,KC,1
J.Arcega-Whiteside,PHI,1
D.Williams,FA,1
Z.Jones,LV,0
T.Patrick,DEN,0
K.Raymond,DET,1
R.James,SF,1
T.Davis,FA,0
P.Campbell,IND,1
J.Hardy,FA,0
D.Inman,FA,0
O.Zaccheaus,ATL,1
D.Smith,FA,1
D.Carter,WAS,0
K.Doss,FA,0
M.Hollins,MIA,0
D.Cain,PHI,0
A.Brown,FA,1
R.Higgins,CLE,1
B.Zylstra,CAR,0
T.Jones,FA,1
M.Ateman,FA,0
J.Nelson,IND,1
D.Harty,NO,0
B.Berrios,NYJ,0
R.Foster,DAL,0
C.Blake,ATL,0
A.Callaway,FA,0
D.Willis,FA,0
T.Sherfield,SF,0
K.Hodge,DET,0
V.Bryant,FA,1
C.Beebe,FA,0
R.Ridley,FA,0
C.Hogan,FA,0
T.Jones,FA,0
C.Lacy,FA,0
A.Patton,FA,0
D.White,FA,0
D.Burnett,FA,0
C.Wilson,DAL,0
A.Hollins,FA,0
J.Moore,LAC,0
G.Davis,FA,0
S.Mitchell,FA,0
I.Hyman,FA,0
J.Matthews,SF,0
D.Funchess,FA,0
C.Board,NYG,0
T.Benjamin,SF,0
J.Holton,NYG,0
C.Core,MIA,0
D.Scott,FA,0
C.Sims,WAS,0
A.Roberts,LAC,0
R.Switzer,CLE,0
R.Shepard,FA,0
M.Crabtree,FA,0
F.Brown,FA,0
C.Moore,HOU,0
J.Bellamy,FA,0
M.Lee,FA,0
D.Moncrief,FA,0
S.Morgan,CIN,0
D.Jennings,DET,0
A.Dulin,IND,0
D.Spencer,DEN,0
R.Davis,LV,0
R.Davis,FA,0
B.Wilson,FA,0
G.Olszewski,NE,0
R.Grant,FA,0
M.Thomas,CIN,0
C.Hollister,TEN,0
J.Smith,NYJ,0
D.Thomas,FA,0
J.Ursua,SEA,0
A.Carr,FA,0
D.Harris,FA,0
J.Scott,FA,0
K.Hogan,FA,0
C.Grayson,TB,0
D.Patmon,IND,0
J.Bradley,CLE,0
F.Swain,SEA,0
Q.Watkins,PHI,0
K.Osborn,MIN,0
A.Parker,CAR,0
C.Finke,KC,0
