player,team,touchdowns
L.Jackson,BAL,7
D.Prescott,DAL,3
J.Winston,NO,1
R.Wilson,SEA,3
D.Watson,HOU,7
J.Allen,BUF,9
K.Murray,ARI,4
P.Mahomes,KC,2
C.Wentz,IND,1
A.Rodgers,GB,1
M.Ryan,ATL,1
T.Brady,FA,3
J.Goff,DET,2
J.Garoppolo,SF,1
P.Rivers,FA,0
R.Fitzpatrick,WAS,4
D.Carr,LV,2
K.Cousins,MIN,1
B.Mayfield,CLE,3
G.Minshew,PHI,0
R.Tannehill,TEN,4
D.Brees,FA,1
D.Jones,NYG,2
J.Brissett,MIA,4
A.Dalton,CHI,4
M.Trubisky,BUF,2
S.Darnold,CAR,2
K.Allen,WAS,2
M.Stafford,LAR,0
M.Rudolph,PIT,0
C.Keenum,CLE,1
T.Bridgewater,DEN,0
J.Flacco,NYJ,0
M.Mariota,LV,0
D.Haskins,PIT,0
T.Hill,NO,1
D.Lock,DEN,0
J.Driskel,HOU,1
D.Blough,DET,0
D.Hodges,FA,0
E.Manning,FA,0
M.Moore,FA,0
N.Foles,CHI,0
B.Allen,CIN,0
M.Schaub,FA,0
C.Daniel,LAC,0
R.Finley,FA,0
B.Hoyer,NE,0
J.Rosen,ATL,0
R.Griffin,FA,0
A.McCarron,ATL,1
C.Newton,CAR,0
B.Roethlisberger,FA,0
L.Falk,FA,0
M.Barkley,FA,0
B.Hundley,FA,0
T.Taylor,HOU,0
W.Grier,DAL,0
C.McCoy,ARI,0
M.Glennon,NYG,0
J.McCown,FA,0
R.Griffin,FA,0
S.Mannion,MIN,0
T.McSorley,ARI,0
T.Siemian,NO,0
T.Lance,SF,0
F.Franks,ATL,0
M.Jones,NE,0
I.Book,NO,0
D.Anderson,FA,0
J.Herbert,LAC,0
J.Burrow,CIN,0
T.Tagovailoa,MIA,0
J.Eason,SEA,0
J.Fromm,NYG,0
J.Browning,CIN,0
J.Hurts,PHI,0
J.Wolford,LAR,0
E.Dungey,CIN,0
B.Rypien,DEN,0
E.Stick,LAC,0
J.Love,GB,0
T.Huntley,BAL,0
S.Ehlinger,IND,0
T.Lawrence,JAC,0
K.Trask,TB,0
B.DiNucci,DAL,0
J.Morton,IND,0
R.Sinnett,PHI,0
S.Montez,DET,0
S.Buechele,KC,0
K.Mond,MIN,0
B.Perkins,LAR,0
J.Morgan,IND,0
B.Lewerke,NYG,0
J.Fields,CHI,0
R.Willis,CHI,0
Z.Wilson,NYJ,0
D.Mills,HOU,0
L.Woodside,TEN,0
B.Chappell,WAS,0
B.Gabbert,TB,0
E.Ainge,NYJ,0
H.Cantwell,BAL,0
A.Froman,ATL,0
A.Luck,FA,0
B.Weeden,FA,0
B.Osweiler,FA,0
A.Tanney,FA,0
J.David,HOU,0
J.Johnson,BAL,0
K.Null,CAR,0
C.Henne,KC,0
S.Bradford,FA,0
J.Webb,FA,0
M.Sanchez,FA,0
M.Cassel,FA,0
K.Benkert,GB,0
C.Beathard,JAC,0
D.Webb,NYG,0
J.Dobbs,PIT,0
C.Kelly,FA,0
K.Hogan,TEN,0
N.Sudfeld,SF,0
C.Rush,DAL,0
A.McGough,SEA,0
D.Etling,GB,0
M.White,NYJ,0
P.Walker,CAR,0
A.Smith,FA,0
B.Ratliff,TEN,0
J.Franklin,FA,0
D.Fales,NYJ,0
B.Smith,TB,0
G.Smith,SEA,0
B.Brohm,BUF,0
T.Heinicke,WAS,0
T.Boyle,DET,0
N.Mullens,CLE,0
G.Gilbert,WAS,0
J.Stidham,NE,0
B.Bortles,NO,0
