yardline_100,probability_of_touchdown
1.0,0.49797979797979797
2.0,0.4416575790621592
3.0,0.41527196652719667
4.0,0.34714548802946593
5.0,0.36046511627906974
6.0,0.31285444234404536
7.0,0.2806859205776173
8.0,0.25380228136882127
9.0,0.22801024765157984
10.0,0.21904024767801858
11.0,0.18506493506493507
12.0,0.15171835708298406
13.0,0.17028380634390652
14.0,0.13499245852187028
15.0,0.11871508379888268
16.0,0.1126984126984127
17.0,0.11307692307692307
18.0,0.11446249033255994
19.0,0.09978617248752673
20.0,0.09569685292228645
21.0,0.08130699088145897
22.0,0.08044280442804429
23.0,0.06148648648648649
24.0,0.06290115532734275
25.0,0.06856084002470661
26.0,0.06310013717421124
27.0,0.046308724832214765
28.0,0.04952510176390773
29.0,0.051989730423620026
30.0,0.03898213318895506
31.0,0.041666666666666664
32.0,0.03525046382189239
33.0,0.034726309593878756
34.0,0.03926991150442478
35.0,0.03257650542941757
36.0,0.02981778023191607
37.0,0.022459292532285232
38.0,0.020251778872468526
39.0,0.023100616016427104
40.0,0.026303645592985696
41.0,0.023404255319148935
42.0,0.02545068928950159
43.0,0.018235584031542632
44.0,0.01416171767930562
45.0,0.015217391304347827
46.0,0.01306532663316583
47.0,0.01632462686567164
48.0,0.016
49.0,0.009442446043165468
50.0,0.011077158135981665
51.0,0.01068566340160285
52.0,0.011794439764111205
53.0,0.013646055437100213
54.0,0.010429201764941836
55.0,0.007460155985079688
56.0,0.011527377521613832
57.0,0.007714169711733658
58.0,0.0064464141821112
59.0,0.00995575221238938
60.0,0.006261740763932373
61.0,0.010634396773010634
62.0,0.00484171322160149
63.0,0.006392045454545455
64.0,0.008424008424008424
65.0,0.005765534913516977
66.0,0.007912584777694047
67.0,0.0069216757741347905
68.0,0.004290311047550947
69.0,0.005510534846029173
70.0,0.0049921996879875195
71.0,0.005605381165919282
72.0,0.005759539236861051
73.0,0.0057432432432432436
74.0,0.005741303613644039
75.0,0.006217442446647623
76.0,0.0040145985401459855
77.0,0.0040145985401459855
78.0,0.0033308660251665434
79.0,0.004590984974958264
80.0,0.005419029615626969
81.0,0.0060790273556231
82.0,0.0021645021645021645
83.0,0.004234724742891712
84.0,0.0019267822736030828
85.0,0.0022259321090706734
86.0,0.0030959752321981426
87.0,0.008319467554076539
88.0,0.005581395348837209
89.0,0.001004016064257028
90.0,0.002331002331002331
91.0,0.003875968992248062
92.0,0.0013531799729364006
93.0,0.001996007984031936
94.0,0.004319654427645789
95.0,0.006198347107438017
97.0,0.008368200836820083
98.0,0.0091324200913242
99.0,0.008
