team,games,passing_cmp_allowed,passing_att_allowed,passing_cmppct_allowed,passing_yds_allowed,passing_avg_allowed,passing_yds_allowed_per_game,passing_longest_allowed,passing_td_allowed,ints,sacks,sack_yards_gained,passer_rating,year,rushing_att_allowed,rushing_yds_allowed,rushing_avg_allowed,rushing_yds_allowed_per_game,rushing_longest_allowed,rushing_td_allowed,rushing_fumbles,rushing_fumbles_lost,receiving_rec_allowed,receiving_yds_allowed,receiving_avg_allowed,receiving_yds_allowed_per_game,receiving_longest_allowed,receiving_td_allowed,receiving_fumbles,receiving_fumbles_lost,1st_total_allowed,1st_rush_allowed,1st_pass_allowed,1st_penalty_allowed,3rd_conv_allowed,3rd_att_allowed,3rd_pct_allowed,4th_conv_allowed,4th_att_allowed,4th_pct_allowed,defense_penalties,defense_yds_lost
SF,16.0,318.0,519.0,61.3,2707.0,5.9,169.2,88.0,23.0,12.0,48.0,367.0,83.0,2019,401.0,1802.0,4.5,112.6,40.0,11.0,9.0,6.0,318.0,3074.0,9.7,192.1,88.0,23.0,7.0,4.0,285.0,105.0,150.0,30.0,64.0,192.0,33.3,8.0,25.0,32.0,116.0,957.0
NE,16.0,303.0,536.0,56.5,2886.0,6.0,180.4,64.0,13.0,25.0,47.0,328.0,62.8,2019,365.0,1528.0,4.2,95.5,65.0,7.0,5.0,3.0,303.0,3214.0,10.6,200.9,64.0,13.0,6.0,3.0,261.0,72.0,150.0,39.0,47.0,195.0,24.1,8.0,22.0,36.4,107.0,920.0
PIT,16.0,314.0,514.0,61.1,3113.0,6.7,194.6,58.0,23.0,20.0,54.0,342.0,79.7,2019,462.0,1753.0,3.8,109.6,38.0,7.0,14.0,7.0,314.0,3455.0,11.0,215.9,58.0,23.0,3.0,2.0,304.0,110.0,164.0,30.0,76.0,209.0,36.4,10.0,21.0,47.6,115.0,1118.0
BUF,16.0,348.0,553.0,62.9,3123.0,6.2,195.2,61.0,15.0,14.0,44.0,298.0,78.8,2019,388.0,1649.0,4.3,103.1,65.0,12.0,6.0,1.0,348.0,3421.0,9.8,213.8,61.0,15.0,9.0,6.0,295.0,93.0,169.0,33.0,76.0,212.0,35.9,8.0,21.0,38.1,94.0,815.0
LAC,16.0,328.0,464.0,70.7,3204.0,7.3,200.3,70.0,21.0,11.0,30.0,190.0,96.7,2019,429.0,1805.0,4.2,112.8,84.0,15.0,7.0,1.0,328.0,3394.0,10.3,212.1,70.0,21.0,1.0,0.0,285.0,101.0,156.0,28.0,88.0,195.0,45.1,8.0,13.0,61.5,108.0,959.0
BAL,16.0,318.0,544.0,58.5,3315.0,6.6,207.2,83.0,15.0,13.0,37.0,268.0,77.5,2019,340.0,1494.0,4.4,93.4,88.0,12.0,5.0,1.0,318.0,3583.0,11.3,223.9,83.0,15.0,6.0,4.0,276.0,74.0,163.0,39.0,72.0,194.0,37.1,6.0,18.0,33.3,97.0,795.0
CLE,16.0,318.0,513.0,62.0,3470.0,7.3,216.9,75.0,25.0,14.0,38.0,270.0,89.0,2019,463.0,2315.0,5.0,144.7,83.0,19.0,10.0,3.0,318.0,3740.0,11.8,233.8,75.0,25.0,3.0,2.0,345.0,124.0,184.0,37.0,74.0,195.0,38.0,6.0,17.0,35.3,107.0,836.0
KC,16.0,352.0,582.0,60.5,3543.0,6.7,221.4,69.0,21.0,16.0,45.0,338.0,80.8,2019,416.0,2051.0,4.9,128.2,68.0,14.0,6.0,2.0,352.0,3881.0,11.0,242.6,69.0,21.0,2.0,1.0,344.0,115.0,190.0,39.0,75.0,202.0,37.1,16.0,31.0,51.6,116.0,844.0
CHI,16.0,362.0,571.0,63.4,3554.0,6.6,222.1,75.0,17.0,10.0,32.0,242.0,85.2,2019,414.0,1632.0,3.9,102.0,59.0,16.0,5.0,4.0,362.0,3796.0,10.5,237.3,75.0,17.0,4.0,2.0,306.0,86.0,190.0,30.0,76.0,209.0,36.4,13.0,23.0,56.5,113.0,923.0
DAL,16.0,370.0,569.0,65.0,3576.0,6.8,223.5,92.0,21.0,7.0,39.0,303.0,91.9,2019,407.0,1656.0,4.1,103.5,59.0,14.0,7.0,5.0,370.0,3879.0,10.5,242.4,92.0,21.0,3.0,2.0,327.0,101.0,188.0,38.0,67.0,201.0,33.3,10.0,22.0,45.5,102.0,855.0
