team,games,passing_cmp,passing_att,passing_cmppct,passing_yds,passing_avg,passing_yds_per_game,passing_longest,passing_td,passing_int,passing_sack,sack_yards_lost,passer_rating,year,rushing_att,rushing_yds,rushing_avg,rushing_yds_per_game,rushing_longest,rushing_td,rushing_fumbles,rushing_fumbles_lost,receiving_rec,receiving_yds,receiving_avg,receiving_yds_per_game,receiving_longest,receiving_td,receiving_fumbles,receiving_fumbles_lost,1st_total,1st_rush,1st_pass,1st_penalty,3rd_conv,3rd_att,3rd_pct,4th_conv,4th_att,4th_pct,offense_penalties,offense_yds_lost
IND,16.0,450.0,679.0,66.3,4609.0,6.9,288.1,73.0,33.0,17.0,16.0,91.0,91.9,2010,393.0,1483.0,3.8,92.7,49.0,13.0,5.0,3.0,450.0,4700.0,10.4,293.8,73.0,33.0,3.0,3.0,366.0,87.0,253.0,26.0,91.0,204.0,44.6,5.0,8.0,62.5,79.0,709.0
LAC,16.0,359.0,544.0,66.0,4519.0,8.7,282.4,59.0,30.0,13.0,38.0,227.0,101.9,2010,457.0,1810.0,4.0,113.1,36.0,18.0,13.0,7.0,359.0,4746.0,13.2,296.6,59.0,30.0,5.0,4.0,357.0,94.0,236.0,27.0,92.0,205.0,44.9,5.0,13.0,38.5,84.0,677.0
NO,16.0,450.0,661.0,68.1,4441.0,7.0,277.6,80.0,33.0,22.0,26.0,195.0,90.8,2010,380.0,1519.0,4.0,94.9,55.0,9.0,7.0,4.0,450.0,4636.0,10.3,289.8,80.0,33.0,2.0,1.0,351.0,94.0,236.0,21.0,106.0,217.0,48.9,5.0,11.0,45.5,90.0,884.0
HOU,16.0,365.0,574.0,63.6,4144.0,7.6,259.0,60.0,24.0,12.0,32.0,226.0,92.0,2010,423.0,2042.0,4.8,127.6,74.0,20.0,5.0,2.0,365.0,4370.0,12.0,273.1,60.0,24.0,3.0,1.0,360.0,118.0,222.0,20.0,79.0,192.0,41.2,9.0,19.0,47.4,90.0,690.0
GB,16.0,352.0,541.0,65.1,4124.0,8.1,257.8,86.0,31.0,13.0,38.0,231.0,98.9,2010,421.0,1606.0,3.8,100.4,71.0,11.0,4.0,1.0,352.0,4355.0,12.4,272.2,86.0,31.0,9.0,5.0,312.0,88.0,204.0,20.0,85.0,205.0,41.5,5.0,13.0,38.5,78.0,617.0
DAL,16.0,379.0,576.0,65.8,4042.0,7.3,252.6,71.0,29.0,19.0,31.0,166.0,90.4,2010,428.0,1786.0,4.2,111.6,60.0,10.0,5.0,2.0,379.0,4208.0,11.1,263.0,71.0,29.0,8.0,5.0,327.0,104.0,201.0,22.0,86.0,211.0,40.8,13.0,22.0,59.1,109.0,863.0
DEN,16.0,334.0,580.0,57.6,4038.0,7.4,252.4,71.0,25.0,12.0,40.0,269.0,86.8,2010,398.0,1544.0,3.9,96.5,40.0,13.0,12.0,8.0,334.0,4307.0,12.9,269.2,71.0,25.0,5.0,1.0,309.0,81.0,204.0,24.0,67.0,207.0,32.4,6.0,19.0,31.6,98.0,944.0
WAS,16.0,349.0,605.0,57.7,3913.0,7.0,244.6,76.0,21.0,19.0,46.0,348.0,78.0,2010,351.0,1461.0,4.2,91.3,54.0,9.0,6.0,2.0,349.0,4261.0,12.2,266.3,76.0,21.0,8.0,5.0,295.0,72.0,194.0,29.0,61.0,208.0,29.3,6.0,12.0,50.0,90.0,647.0
PHI,16.0,348.0,561.0,62.0,3906.0,7.5,244.1,91.0,28.0,13.0,49.0,309.0,92.1,2010,428.0,2324.0,5.4,145.3,62.0,18.0,7.0,3.0,348.0,4215.0,12.1,263.4,91.0,28.0,6.0,3.0,322.0,116.0,189.0,17.0,85.0,214.0,39.7,9.0,13.0,69.2,129.0,1101.0
NYG,16.0,339.0,539.0,62.9,3885.0,7.4,242.8,92.0,31.0,25.0,16.0,117.0,85.3,2010,480.0,2200.0,4.6,137.5,73.0,17.0,12.0,11.0,339.0,4002.0,11.8,250.1,92.0,31.0,3.0,2.0,331.0,112.0,192.0,27.0,74.0,206.0,35.9,3.0,11.0,27.3,92.0,777.0
NE,16.0,331.0,507.0,65.3,3847.0,7.9,240.4,79.0,37.0,5.0,25.0,175.0,109.8,2010,454.0,1973.0,4.3,123.3,36.0,19.0,2.0,1.0,331.0,4022.0,12.2,251.4,79.0,37.0,2.0,2.0,335.0,119.0,196.0,20.0,95.0,197.0,48.2,7.0,14.0,50.0,83.0,766.0
DET,16.0,383.0,633.0,60.5,3810.0,6.3,238.1,87.0,26.0,16.0,27.0,191.0,82.0,2010,404.0,1613.0,4.0,100.8,45.0,11.0,6.0,3.0,383.0,4001.0,10.4,250.1,87.0,26.0,4.0,3.0,304.0,83.0,199.0,22.0,97.0,242.0,40.1,10.0,16.0,62.5,136.0,1018.0
CIN,16.0,365.0,590.0,61.9,3767.0,6.8,235.4,78.0,26.0,20.0,28.0,221.0,82.4,2010,428.0,1522.0,3.6,95.1,42.0,8.0,11.0,7.0,365.0,3988.0,10.9,249.3,78.0,26.0,4.0,3.0,317.0,85.0,206.0,26.0,87.0,224.0,38.8,13.0,19.0,68.4,90.0,725.0
PIT,16.0,298.0,479.0,62.2,3601.0,8.1,225.1,56.0,22.0,9.0,43.0,289.0,95.2,2010,471.0,1924.0,4.1,120.3,50.0,15.0,9.0,4.0,298.0,3890.0,13.1,243.1,56.0,22.0,3.0,2.0,295.0,106.0,175.0,14.0,94.0,218.0,43.1,2.0,5.0,40.0,100.0,903.0
ATL,16.0,361.0,577.0,62.6,3567.0,6.5,222.9,46.0,28.0,9.0,23.0,158.0,90.8,2010,497.0,1891.0,3.8,118.2,55.0,14.0,4.0,3.0,361.0,3725.0,10.3,232.8,46.0,28.0,3.0,1.0,353.0,111.0,200.0,42.0,112.0,240.0,46.7,11.0,15.0,73.3,58.0,598.0
MIA,16.0,335.0,557.0,60.1,3527.0,6.7,220.4,57.0,17.0,21.0,38.0,228.0,74.8,2010,445.0,1643.0,3.7,102.7,51.0,8.0,12.0,5.0,335.0,3755.0,11.2,234.7,57.0,17.0,3.0,2.0,300.0,91.0,189.0,20.0,92.0,230.0,40.0,3.0,10.0,30.0,72.0,595.0
TB,16.0,306.0,494.0,61.9,3361.0,7.2,210.1,64.0,26.0,6.0,30.0,203.0,96.2,2010,431.0,2001.0,4.6,125.1,61.0,9.0,7.0,6.0,306.0,3564.0,11.6,222.8,64.0,26.0,6.0,3.0,288.0,97.0,172.0,19.0,89.0,211.0,42.2,10.0,14.0,71.4,100.0,837.0
SF,16.0,282.0,500.0,56.4,3356.0,7.2,209.8,66.0,19.0,15.0,44.0,257.0,79.4,2010,401.0,1657.0,4.1,103.6,64.0,10.0,6.0,2.0,282.0,3613.0,12.8,225.8,66.0,19.0,3.0,2.0,251.0,85.0,149.0,17.0,68.0,213.0,31.9,8.0,16.0,50.0,112.0,933.0
SEA,16.0,324.0,544.0,59.6,3341.0,6.5,208.8,87.0,14.0,20.0,35.0,195.0,72.1,2010,385.0,1424.0,3.7,89.0,39.0,13.0,3.0,1.0,324.0,3536.0,10.9,221.0,87.0,14.0,3.0,3.0,260.0,81.0,159.0,20.0,76.0,214.0,35.5,6.0,17.0,35.3,101.0,890.0
BAL,16.0,308.0,491.0,62.7,3335.0,7.4,208.4,67.0,25.0,10.0,40.0,294.0,93.6,2010,487.0,1831.0,3.8,114.4,50.0,11.0,6.0,5.0,308.0,3629.0,11.8,226.8,67.0,25.0,3.0,1.0,303.0,97.0,175.0,31.0,82.0,210.0,39.1,4.0,10.0,40.0,90.0,673.0
