player,team,position
DeMarco Murray,DAL,RB
Le'Veon Bell,PIT,RB
Marshawn Lynch,SEA,RB
Antonio Brown,PIT,WR
Matt Forte,CHI,RB
Arian Foster,HOU,RB
Eddie Lacy,GB,RB
Jordy Nelson,GB,WR
Demaryius Thomas,DEN,WR
Dez Bryant,DAL,WR
Rob Gronkowski,NE,TE
Aaron Rodgers,GB,QB
Jamaal Charles,KC,RB
Andrew Luck,IND,QB
Justin Forsett,BAL,RB
Odell Beckham,NYG,WR
Randall Cobb,GB,WR
Emmanuel Sanders,DEN,WR
Julio Jones,ATL,WR
Jeremy Maclin,PHI,WR
Lamar Miller,MIA,RB
Russell Wilson,SEA,QB
Jeremy Hill,CIN,RB
Antonio Gates,SD,TE
C.J. Anderson,DEN,RB
T.Y. Hilton,IND,WR
Jimmy Graham,NO,TE
Mike Evans,TB,WR
Alshon Jeffery,CHI,WR
LeSean McCoy,PHI,RB
Alfred Morris,WAS,RB
Peyton Manning,DEN,QB
Joique Bell,DET,RB
Greg Olsen,CAR,TE
Ben Roethlisberger,PIT,QB
Mark Ingram,NO,RB
Martellus Bennett,CHI,TE
Drew Brees,NO,QB
Golden Tate,DET,WR
Coby Fleener,IND,TE
Calvin Johnson,DET,WR
DeAndre Hopkins,HOU,WR
Kelvin Benjamin,CAR,WR
Matt Asiata,MIN,RB
Julius Thomas,DEN,TE
DeSean Jackson,WAS,WR
Frank Gore,SF,RB
Giovani Bernard,CIN,RB
Delanie Walker,TEN,TE
Mike Wallace,MIA,WR
Travis Kelce,KC,TE
Torrey Smith,BAL,WR
Matt Ryan,ATL,QB
Steve Smith,BAL,WR
Chris Ivory,NYJ,RB
Tom Brady,NE,QB
Anquan Boldin,SF,WR
Brandon LaFell,NE,WR
A.J. Green,CIN,WR
Ryan Tannehill,MIA,QB
Andre Ellington,ARI,RB
Jordan Matthews,PHI,WR
Jason Witten,DAL,TE
Sammy Watkins,BUF,WR
Julian Edelman,NE,WR
Roddy White,ATL,WR
Eli Manning,NYG,QB
Andre Williams,NYG,WR
Heath Miller,PIT,TE
Fred Jackson,BUF,RB
Eric Decker,NYJ,WR
Steven Jackson,ATL,RB
Jonathan Stewart,CAR,RB
Tony Romo,DAL,QB
Bradie Ewing,JAC,0
Philip Rivers,SD,QB
Mohamed Sanu,CIN,WR
Richie Brockel,CAR,0
Joe Flacco,BAL,QB
Jay Cutler,CHI,QB
Matthew Stafford,DET,QB
Colin Kaepernick,SF,QB
Cam Newton,CAR,QB
Andy Dalton,CIN,QB
Alex Smith,KC,QB
Derek Carr,OAK,QB
Teddy Bridgewater,MIN,QB
Ryan Fitzpatrick,HOU,QB
Kyle Orton,BUF,QB
Blake Bortles,JAC,QB
Brian Hoyer,CLE,QB
Geno Smith,NYJ,QB
Mark Sanchez,PHI,QB
Josh McCown,TB,QB
Malcom Floyd,SD,WR
Nick Foles,PHI,QB
Tre Mason,STL,RB
Eddie Royal,SD,WR
Marques Colston,NO,WR
Michael Floyd,ARI,WR
Brandon Marshall,CHI,WR
Ahmad Bradshaw,IND,RB
Shane Vereen,NE,RB
Isaiah Crowell,CLE,RB
Rueben Randle,NYG,WR
Kenny Stills,NO,WR
Kendall Wright,TEN,WR
Vincent Jackson,TB,WR
Greg Jennings,MIN,WR
Terrance Williams,DAL,WR
Rashad Jennings,NYG,RB
Branden Oliver,SD,RB
Austin Davis,STL,QB
Andre Johnson,HOU,WR
Carson Palmer,ARI,QB
Darren Sproles,PHI,RB
Martavis Bryant,PIT,WR
Allen Hurns,JAC,WR
Terrance West,CLE,RB
Doug Baldwin,SEA,WR
James Jones,OAK,WR
Robert Woods,BUF,WR
John Brown,ARI,WR
Knile Davis,KC,RB
Keenan Allen,SD,WR
Jarvis Landry,MIA,WR
Andrew Hawkins,CLE,WR
Drew Stanton,ARI,QB
Kenny Britt,STL,WR
Michael Crabtree,SF,WR
Pierre Garcon,WAS,WR
Andre Holmes,OAK,WR
Chris Johnson,NYJ,RB
Trent Richardson,IND,RB
Denard Robinson,JAC,WR
Larry Donnell,NYG,TE
Larry Fitzgerald,ARI,WR
Mike Glennon,TB,QB
Reggie Wayne,IND,WR
Robert Griffin,WAS,QB
Shaun Hill,STL,QB
Dwayne Allen,IND,RB
LeGarrette Blount,CIN,RB
Kirk Cousins,WAS,QB
Charlie Whitehurst,TEN,QB
Brandin Cooks,NO,WR
Zach Ertz,PHI,TE
Roy Helu,WAS,WR
Darren McFadden,OAK,RB
Alfred Blue,HOU,RB
Jared Cook,STL,TE
Ronnie Hillman,DEN,RB
Benny Cunningham,STL,RB
Charles Clay,MIA,TE
Percy Harvin,CIN,WR
Bobby Rainey,TB,RB
Bishop Sankey,TEN,RB
Pierre Thomas,NO,RB
Markus Wheaton,PIT,WR
Jarius Wright,MIN,WR
Dwayne Bowe,KC,WR
Owen Daniels,BAL,TE
Nate Washington,TEN,WR
Jermaine Gresham,CIN,TE
Mychal Rivera,OAK,TE
Riley Cooper,PHI,WR
Jonas Gray,NE,RB
Zach Mettenberger,TEN,QB
Harry Douglas,ATL,WR
Devin Hester,ATL,WR
Miles Austin,CLE,WR
Taylor Gabriel,CLE,WR
Latavius Murray,OAK,RB
Allen Robinson,JAC,WR
Scott Chandler,BUF,TE
Justin Hunter,TEN,WR
Doug Martin,TB,RB
Reggie Bush,DET,RB
Jerick McKinnon,MIN,RB
Cecil Shorts,JAC,WR
Ben Tate,CIN,RB
Jerricho Cotchery,CAR,WR
Hakeem Nicks,IND,WR
Antone Smith,ATL,RB
Lorenzo Taliaferro,BAL,RB
Jermaine Kearse,SEA,WR
Jake Locker,TEN,QB
Donte Moncrief,IND,WR
Davante Adams,GB,WR
Chris Hogan,BUF,WR
Colt McCoy,WAS,QB
Cole Beasley,DAL,WR
Carlos Hyde,SF,RB
Steve Johnson,SF,WR
Tim Wright,NE,WR
Toby Gerhart,JAC,RB
Theo Riddick,DET,RB
Anthony Dixon,BUF,RB
Charles Johnson,MIN,WR
