team,rank_qb,pa_qb,rank_rb,pa_rb,rank_wr,pa_wr,rank_te,pa_te,year
ARI,25.0,11.2,11.0,19.0,21.0,19.6,16.0,6.9,2012
ATL,18.0,14.1,8.0,19.6,24.0,18.7,10.0,7.7,2012
BAL,19.0,13.9,8.0,19.6,19.0,21.5,19.0,6.4,2012
BUF,3.0,19.3,1.0,22.8,17.0,21.8,13.0,7.3,2012
CAR,17.0,14.2,9.0,19.4,29.0,17.4,11.0,7.6,2012
CHI,24.0,11.3,24.0,14.2,20.0,20.2,21.0,6.2,2012
CIN,21.0,13.5,16.0,17.4,25.0,18.4,11.0,7.6,2012
CLE,10.0,16.8,6.0,20.2,5.0,25.8,21.0,6.2,2012
DAL,13.0,16.1,10.0,19.3,13.0,22.3,9.0,8.3,2012
DEN,16.0,14.8,26.0,13.9,23.0,19.0,1.0,10.6,2012
DET,10.0,16.8,21.0,16.2,10.0,23.2,8.0,8.4,2012
GB,16.0,14.8,17.0,17.0,16.0,21.9,19.0,6.4,2012
HOU,11.0,16.5,27.0,12.7,9.0,23.5,6.0,9.2,2012
IND,14.0,15.9,7.0,19.7,7.0,25.0,16.0,6.9,2012
JAC,8.0,17.5,2.0,22.6,15.0,22.1,12.0,7.4,2012
KC,9.0,17.3,12.0,18.6,16.0,21.9,15.0,7.0,2012
MIA,14.0,15.9,22.0,15.3,18.0,21.7,17.0,6.8,2012
MIN,5.0,18.5,20.0,16.3,14.0,22.2,10.0,7.7,2012
NE,4.0,18.6,19.0,16.6,6.0,25.2,4.0,9.8,2012
NO,1.0,21.0,4.0,21.9,1.0,28.7,8.0,8.4,2012
NYG,7.0,17.7,15.0,17.9,4.0,26.0,14.0,7.1,2012
NYJ,21.0,13.5,9.0,19.4,28.0,17.6,11.0,7.6,2012
LV,,0.0,,0.0,,0.0,,0.0,2012
PHI,4.0,18.6,19.0,16.6,8.0,23.7,18.0,6.7,2012
PIT,22.0,12.0,25.0,14.0,26.0,18.3,20.0,6.3,2012
LAC,,0.0,,0.0,,0.0,,0.0,2012
SEA,23.0,11.7,23.0,14.5,30.0,17.0,11.0,7.6,2012
SF,20.0,13.6,26.0,13.9,27.0,17.7,11.0,7.6,2012
LAR,,0.0,,0.0,,0.0,,0.0,2012
TB,2.0,19.8,19.0,16.6,2.0,27.9,5.0,9.5,2012
TEN,8.0,17.5,3.0,22.2,12.0,22.8,2.0,10.3,2012
WAS,6.0,18.2,18.0,16.8,3.0,27.6,3.0,10.2,2012
