team,rank_qb,pa_qb,rank_rb,pa_rb,rank_wr,pa_wr,rank_te,pa_te,rank_k,pa_k,rank_dst,pa_dst,year
ARI,15.0,16.5,29.0,15.7,15.0,19.9,19.0,6.8,19.0,7.9,3.0,10.5,2017
ATL,10.0,17.1,26.0,16.8,19.0,19.1,20.0,6.7,12.0,8.6,22.0,5.7,2017
BAL,31.0,10.3,11.0,19.5,31.0,15.9,12.0,7.5,18.0,8.0,27.0,4.6,2017
BUF,28.0,12.5,1.0,23.3,28.0,16.6,11.0,7.6,5.0,9.3,16.0,7.6,2017
CAR,22.0,15.1,30.0,14.6,5.0,23.3,22.0,6.5,20.0,7.8,21.0,6.3,2017
CHI,26.0,13.3,27.0,16.3,17.0,19.6,26.0,6.0,11.0,8.7,7.0,9.3,2017
CIN,20.0,15.6,3.0,20.6,30.0,16.1,14.0,7.5,6.0,9.3,11.0,8.6,2017
CLE,4.0,18.8,19.0,17.9,20.0,18.8,4.0,9.8,14.0,8.4,1.0,12.9,2017
DAL,11.0,17.1,25.0,17.0,9.0,22.4,16.0,7.3,32.0,6.2,17.0,7.5,2017
DEN,19.0,15.6,28.0,15.8,29.0,16.5,2.0,9.9,16.0,8.1,2.0,11.9,2017
DET,18.0,15.6,2.0,21.0,18.0,19.1,9.0,8.3,21.0,7.8,13.0,8.1,2017
GB,8.0,17.4,12.0,19.3,6.0,22.8,27.0,6.0,7.0,9.1,12.0,8.3,2017
HOU,3.0,19.0,22.0,17.4,1.0,25.3,10.0,7.9,3.0,10.1,5.0,10.2,2017
IND,7.0,17.8,5.0,20.1,7.0,22.7,8.0,8.4,8.0,9.1,4.0,10.5,2017
JAC,32.0,10.2,20.0,17.5,32.0,15.1,23.0,6.4,31.0,6.3,24.0,5.4,2017
KC,9.0,17.2,21.0,17.4,3.0,24.4,21.0,6.5,28.0,6.5,31.0,3.7,2017
MIA,14.0,16.8,6.0,20.1,24.0,17.8,3.0,9.9,13.0,8.5,6.0,9.9,2017
MIN,30.0,12.0,32.0,13.4,25.0,17.6,32.0,5.1,23.0,7.5,29.0,4.2,2017
NE,6.0,18.0,16.0,18.6,4.0,23.7,25.0,6.1,29.0,6.5,32.0,3.7,2017
NO,21.0,15.1,18.0,18.0,16.0,19.8,29.0,5.8,22.0,7.8,28.0,4.2,2017
NYG,1.0,19.4,10.0,19.7,8.0,22.6,1.0,11.3,10.0,8.7,8.0,9.3,2017
NYJ,5.0,18.5,14.0,19.0,12.0,21.2,6.0,8.6,24.0,6.9,10.0,8.7,2017
LV,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,2017
PHI,23.0,14.8,31.0,13.7,14.0,20.9,18.0,6.9,26.0,6.8,23.0,5.5,2017
PIT,27.0,13.1,15.0,18.8,21.0,18.2,30.0,5.7,30.0,6.3,25.0,4.7,2017
LAC,29.0,12.4,13.0,19.1,27.0,17.4,28.0,5.9,27.0,6.7,26.0,4.7,2017
SEA,25.0,13.4,23.0,17.3,13.0,20.9,24.0,6.2,15.0,8.2,20.0,6.5,2017
SF,2.0,19.2,7.0,20.0,11.0,21.6,17.0,7.2,9.0,8.9,15.0,7.9,2017
LAR,24.0,13.6,4.0,20.4,26.0,17.6,15.0,7.5,25.0,6.9,30.0,4.0,2017
TB,13.0,16.8,9.0,19.7,2.0,25.2,31.0,5.7,17.0,8.1,14.0,8.1,2017
TEN,12.0,16.9,24.0,17.0,10.0,22.0,13.0,7.5,1.0,10.9,19.0,7.1,2017
WAS,17.0,15.7,8.0,20.0,22.0,18.0,5.0,9.3,4.0,9.7,9.0,8.8,2017
