Team,Rank,QB,Rank.1,RB,Rank.2,WR,Rank.3,TE,Rank.4,K,Rank.5,DST
Arizona Cardinals,25.0,17.9,29.0,16.5,5.0,26.3,29.0,5.0,19.0,8.2,24.0,5.3
Atlanta Falcons,7.0,20.0,10.0,20.0,9.0,24.8,19.0,7.4,22.0,7.8,6.0,9.3
Baltimore Ravens,4.0,20.2,24.0,17.4,2.0,27.1,9.0,9.2,25.0,6.8,7.0,9.0
Buffalo Bills,32.0,13.6,16.0,18.9,32.0,14.8,30.0,5.0,32.0,5.5,31.0,4.0
Carolina Panthers,29.0,17.6,14.0,19.2,26.0,21.2,22.0,7.1,4.0,9.9,1.0,10.5
Chicago Bears,18.0,18.8,17.0,18.9,7.0,24.9,27.0,5.3,16.0,8.6,4.0,9.6
Cincinnati Bengals,22.0,18.3,15.0,19.1,20.0,23.1,6.0,9.9,24.0,7.4,19.0,6.6
Cleveland Browns,26.0,17.9,21.0,18.2,25.0,21.6,13.0,8.0,21.0,8.1,14.0,7.1
Dallas Cowboys,23.0,18.2,23.0,17.9,13.0,24.2,18.0,7.5,13.0,8.9,27.0,4.4
Denver Broncos,30.0,17.2,18.0,18.8,18.0,23.4,28.0,5.3,18.0,8.3,10.0,8.4
Detroit Lions,8.0,19.5,4.0,23.8,19.0,23.4,11.0,8.7,2.0,10.6,16.0,6.8
Green Bay Packers,20.0,18.3,26.0,16.8,17.0,23.5,14.0,7.9,29.0,6.6,32.0,3.1
Houston Texans,5.0,20.2,5.0,23.3,6.0,25.9,8.0,9.2,10.0,9.1,8.0,8.8
Indianapolis Colts,10.0,19.4,28.0,16.6,14.0,24.1,7.0,9.8,31.0,6.5,30.0,4.1
Jacksonville Jaguars,17.0,19.0,11.0,19.9,8.0,24.8,20.0,7.2,9.0,9.3,2.0,10.4
Kansas City Chiefs,2.0,21.5,20.0,18.4,15.0,24.1,15.0,7.9,28.0,6.6,25.0,4.9
Las Vegas Raiders,13.0,19.3,8.0,22.2,29.0,20.6,3.0,11.0,12.0,9.1,12.0,7.5
Los Angeles Chargers,11.0,19.3,2.0,24.5,28.0,20.7,1.0,11.6,5.0,9.8,23.0,5.3
Los Angeles Rams,27.0,17.8,25.0,17.3,11.0,24.6,16.0,7.7,8.0,9.4,18.0,6.6
Miami Dolphins,21.0,18.3,12.0,19.6,22.0,22.7,10.0,9.0,11.0,9.1,11.0,7.9
Minnesota Vikings,6.0,20.0,9.0,20.9,1.0,28.6,21.0,7.2,7.0,9.6,28.0,4.3
New England Patriots,31.0,14.4,19.0,18.5,31.0,19.7,32.0,4.5,26.0,6.8,15.0,6.9
New Orleans Saints,16.0,19.1,32.0,14.8,12.0,24.6,23.0,6.8,14.0,8.9,13.0,7.3
New York Giants,28.0,17.7,7.0,22.4,21.0,23.0,24.0,6.7,3.0,9.9,3.0,10.3
New York Jets,3.0,20.6,1.0,27.3,16.0,23.6,5.0,10.1,1.0,11.1,9.0,8.6
Philadelphia Eagles,15.0,19.2,13.0,19.3,30.0,20.2,2.0,11.2,30.0,6.5,26.0,4.6
Pittsburgh Steelers,24.0,18.1,6.0,22.8,23.0,22.2,25.0,6.7,6.0,9.6,17.0,6.8
San Francisco 49ers,19.0,18.4,30.0,15.5,10.0,24.8,31.0,4.7,27.0,6.6,22.0,5.7
Seattle Seahawks,12.0,19.3,3.0,24.1,24.0,21.9,4.0,10.6,20.0,8.2,21.0,5.8
Tampa Bay Buccaneers,9.0,19.5,27.0,16.7,27.0,21.0,12.0,8.3,23.0,7.4,29.0,4.1
Tennessee Titans,14.0,19.3,31.0,15.1,3.0,26.7,26.0,5.9,17.0,8.4,20.0,6.4
Washington Commanders,1.0,24.8,22.0,18.2,4.0,26.5,17.0,7.6,15.0,8.6,5.0,9.5
,,,,,,,,,,,,
,,,,,,,,,,,,
