player,sacks,defense_int,fumble_recovery,fumble_forced,defense_td,defense_safety,pa,yds_against,fantasy_points,team,position,week,year
Los Angeles Rams,2.7,0.9,0.6,0.8,0.2,0.1,18.6,294.7,7.9,,DST,1,2021
Carolina Panthers,2.3,0.9,0.6,1.0,0.2,0.1,19.6,323.5,7.3,,DST,1,2021
Green Bay Packers,2.5,1.3,0.6,0.8,0.2,0.0,22.8,340.7,7.2,,DST,1,2021
San Francisco 49ers,2.1,0.9,0.6,0.9,0.2,0.0,19.3,313.2,7.0,,DST,1,2021
Denver Broncos,2.9,0.9,0.6,0.9,0.2,0.0,20.0,312.1,6.9,,DST,1,2021
Indianapolis Colts,2.9,0.8,0.6,1.0,0.2,0.1,24.1,358.9,6.7,,DST,1,2021
Los Angeles Chargers,2.4,1.1,0.5,0.8,0.2,0.1,23.7,344.2,6.7,,DST,1,2021
Seattle Seahawks,2.6,0.9,0.6,0.8,0.1,0.1,22.6,329.9,6.6,,DST,1,2021
Atlanta Falcons,2.5,0.8,0.7,1.1,0.2,0.0,21.8,369.8,6.5,,DST,1,2021
Pittsburgh Steelers,2.5,0.9,0.6,0.9,0.1,0.0,24.9,348.1,6.5,,DST,1,2021
New York Jets,2.5,0.9,0.5,0.8,0.2,0.0,24.0,332.1,6.4,,DST,1,2021
Miami Dolphins,2.5,0.9,0.5,0.8,0.1,0.0,22.3,347.0,6.4,,DST,1,2021
Philadelphia Eagles,2.8,0.7,0.6,0.9,0.1,0.0,25.1,366.6,6.3,,DST,1,2021
Tampa Bay Buccaneers,2.4,0.8,0.7,1.2,0.2,0.0,21.7,371.4,6.3,,DST,1,2021
Detroit Lions,2.4,0.8,0.6,1.0,0.2,0.0,26.7,411.2,6.3,,DST,1,2021
New England Patriots,2.4,0.9,0.5,0.7,0.2,0.0,20.3,333.5,6.3,,DST,1,2021
Minnesota Vikings,2.7,0.7,0.6,1.1,0.1,0.0,22.6,352.6,6.3,,DST,1,2021
Washington Commanders,2.5,0.7,0.6,0.9,0.1,0.1,21.2,353.7,6.1,,DST,1,2021
Chicago Bears,2.4,0.8,0.6,1.0,0.1,0.0,25.6,366.7,6.1,,DST,1,2021
New York Giants,2.2,0.8,0.6,0.9,0.2,0.0,21.6,355.3,6.0,,DST,1,2021
Jacksonville Jaguars,2.6,0.7,0.5,0.8,0.2,0.0,21.9,350.0,6.0,,DST,1,2021
Kansas City Chiefs,2.0,0.8,0.5,0.9,0.2,0.1,24.0,364.8,5.9,,DST,1,2021
Baltimore Ravens,2.0,0.7,0.7,1.3,0.2,0.0,22.5,349.4,5.8,,DST,1,2021
Tennessee Titans,2.0,0.8,0.6,0.9,0.1,0.0,23.9,379.8,5.7,,DST,1,2021
Cincinnati Bengals,2.0,0.8,0.6,0.8,0.1,0.0,25.2,388.6,5.6,,DST,1,2021
Las Vegas Raiders,2.1,0.8,0.6,0.7,0.1,0.1,25.6,359.9,5.6,,DST,1,2021
Houston Texans,2.2,0.7,0.6,0.9,0.1,0.0,23.8,378.7,5.6,,DST,1,2021
Arizona Cardinals,2.2,0.7,0.6,0.9,0.1,0.0,26.0,367.8,5.6,,DST,1,2021
Buffalo Bills,1.4,0.9,0.6,0.9,0.2,0.0,20.8,335.6,5.4,,DST,1,2021
Dallas Cowboys,1.7,0.7,0.6,1.0,0.1,0.0,30.0,387.7,5.1,,DST,1,2021
New Orleans Saints,2.0,0.5,0.5,0.8,0.1,0.0,24.8,358.4,4.8,,DST,1,2021
Cleveland Browns,1.8,0.6,0.5,0.8,0.1,0.0,27.7,400.7,4.8,,DST,1,2021
