player,fg,fg_att,XPT,fantasy_points,team,position,week,year
Matt Gay,2.0,2.4,3.0,9.0,LAR,K,8,2021
Tyler Bass,1.8,2.1,3.3,8.5,BUF,K,8,2021
Ryan Succop,1.6,1.9,2.9,7.9,TB,K,8,2021
Greg Zuerlein,1.7,2.1,2.8,7.8,DAL,K,8,2021
Greg Joseph,1.8,2.1,2.3,7.7,MIN,K,8,2021
Randy Bullock,1.8,2.0,2.4,7.7,TEN,K,8,2021
Nick Folk,1.8,2.2,2.1,7.7,NE,K,8,2021
Joey Slye,1.8,2.1,2.1,7.6,WAS,K,8,2021
Matt Prater,1.6,1.9,2.8,7.6,ARI,K,8,2021
Evan McPherson,1.7,2.0,2.5,7.6,CIN,K,8,2021
Austin Seibert,1.8,2.0,2.1,7.6,DET,K,8,2021
Michael Badgley,1.6,2.0,2.6,7.5,IND,K,8,2021
Harrison Butker,1.6,1.8,2.7,7.5,KC,K,8,2021
Younghoe Koo,1.7,2.0,2.3,7.5,ATL,K,8,2021
Jason Sanders,1.8,2.1,2.2,7.4,MIA,K,8,2021
Chase McLaughlin,1.7,2.0,2.2,7.4,CLE,K,8,2021
Graham Gano,1.7,1.9,2.3,7.3,NYG,K,8,2021
Chris Boswell,1.6,1.9,2.4,7.2,PIT,K,8,2021
Zane Gonzalez,1.7,2.0,2.0,7.2,CAR,K,8,2021
Brandon McManus,1.6,1.8,2.3,7.0,DEN,K,8,2021
Chris Blewitt,1.7,2.1,1.8,7.0,CLE,K,8,2021
Brian Johnson,1.6,1.8,2.3,6.9,WAS,K,8,2021
Jake Elliott,1.6,1.9,2.0,6.9,PHI,K,8,2021
Jason Myers,1.4,1.5,2.6,6.9,SEA,K,8,2021
Mason Crosby,1.5,1.7,2.5,6.8,GB,K,8,2021
Cairo Santos,1.6,1.9,1.8,6.7,CHI,K,8,2021
Dustin Hopkins,1.4,1.6,2.4,6.7,LAC,K,8,2021
Ka'imi Fairbairn,1.6,1.9,1.7,6.5,HOU,K,8,2021
Matthew Wright,1.4,1.6,1.6,5.9,JAC,K,8,2021
Matt Ammendola,1.5,1.8,1.3,5.9,NYJ,K,8,2021
