player,field_goal,field_goal_att,XPT,fantasy_points,team,week,position
Tyler BassBUF,2.1,2.5,3.0,9.4,BUF,9,K
Greg ZuerleinDAL,1.9,2.5,2.9,8.7,DAL,9,K
Justin TuckerBAL,1.9,2.2,3.1,8.7,BAL,9,K
Matt GayLAR,1.7,2.0,3.2,8.3,LAR,9,K
Daniel CarlsonLV,1.9,2.3,2.2,8.0,LV,9,K
Chris BoswellPIT,1.9,2.2,2.4,8.0,PIT,9,K
Michael BadgleyIND,1.8,2.2,2.5,7.8,IND,9,K
Jason SandersMIA,1.8,2.2,2.3,7.8,MIA,9,K
Robbie GouldSF,1.8,2.3,2.3,7.6,SF,9,K
Graham GanoNYG,1.8,2.1,2.1,7.5,NYG,9,K
Evan McPhersonCIN,1.7,2.1,2.4,7.5,PhersonCIN,9,K
Randy BullockTEN,1.8,2.0,2.2,7.5,TEN,9,K
Harrison ButkerKC,1.6,1.8,2.6,7.4,KC,9,K
Nick FolkNE,1.7,2.0,2.2,7.4,NE,9,K
Zane GonzalezCAR,1.8,2.0,2.0,7.2,CAR,9,K
Mason CrosbyGB,1.6,1.8,2.5,7.2,GB,9,K
Dustin HopkinsLAC,1.6,1.9,2.2,7.1,LAC,9,K
Brandon McManusDEN,1.7,2.0,2.0,7.1,ManusDEN,9,K
Jake ElliottPHI,1.7,2.0,2.1,7.1,PHI,9,K
Greg JosephMIN,1.7,1.9,2.2,7.1,MIN,9,K
Younghoe KooATL,1.7,2.0,2.0,7.1,ATL,9,K
Chase McLaughlinCLE,1.5,1.8,2.3,6.9,LaughlinCLE,9,K
Ka'imi FairbairnHOU,1.5,1.8,2.0,6.5,HOU,9,K
Matt PraterARI,1.4,1.6,2.2,6.2,ARI,9,K
Cairo SantosCHI,1.4,1.6,1.6,5.9,CHI,9,K
Matt AmmendolaNYJ,1.3,1.6,1.6,5.6,NYJ,9,K
Matthew WrightJAC,1.2,1.4,1.5,5.1,JAC,9,K
