Player,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL,FPTS
Lamar JacksonBAL,33.3,21.3,253.8,1.6,1.0,10.6,65.9,0.2,0.3,23.1
Patrick Mahomes IIKC,38.6,25.0,287.0,2.0,0.6,4.1,23.2,0.1,0.2,21.9
Justin HerbertLAC,38.3,25.4,286.5,1.9,0.9,4.1,23.6,0.2,0.1,21.2
Josh AllenBUF,36.3,24.0,266.4,1.7,0.9,6.6,33.7,0.3,0.2,21.1
Kyler MurrayARI,33.7,23.0,260.0,1.8,0.9,6.7,28.4,0.2,0.2,20.5
Matthew StaffordLAR,34.6,23.1,285.3,2.1,0.6,1.9,6.2,0.1,0.1,20.0
Dak PrescottDAL,37.0,24.8,283.4,1.9,0.7,3.2,12.6,0.1,0.2,19.8
Kirk CousinsMIN,35.2,23.6,279.8,2.0,0.7,1.6,6.5,0.1,0.2,19.1
Derek CarrLV,35.0,23.6,280.8,1.8,0.6,1.8,7.1,0.1,0.2,18.6
Carson WentzWAS,34.6,22.0,247.9,1.7,0.5,4.2,17.3,0.1,0.2,18.4
Joe BurrowCIN,33.9,22.5,256.2,1.8,0.9,2.5,10.5,0.1,0.2,18.1
Taylor HeinickeWAS,34.7,23.0,245.4,1.5,1.0,4.7,24.1,0.1,0.1,17.9
Jimmy GaroppoloSF,34.9,23.5,277.9,1.6,0.7,2.4,6.5,0.1,0.2,17.5
Tua TagovailoaMIA,35.9,24.1,252.5,1.6,0.9,3.4,13.7,0.2,0.2,17.5
Russell WilsonDEN,28.6,19.3,225.3,1.5,0.6,3.5,19.7,0.1,0.2,16.4
Taysom HillNO,30.3,19.6,195.6,1.2,0.8,8.3,35.4,0.3,0.2,16.4
Daniel JonesNYG,0.0,0.0,239.4,1.2,1.0,0.0,25.1,0.2,0.2,16.4
Matt RyanATL,37.7,25.2,262.4,1.6,1.0,1.4,4.7,0.1,0.2,16.3
Teddy BridgewaterDEN,35.2,23.5,261.5,1.3,0.8,2.5,10.0,0.1,0.2,16.3
Justin FieldsCHI,30.8,18.0,178.7,1.1,1.2,7.9,39.7,0.2,0.2,14.9
Mac JonesNE,34.7,23.8,245.8,1.2,0.9,2.4,10.1,0.1,0.2,14.8
Trevor LawrenceJAC,35.0,21.7,221.7,1.1,0.9,3.9,20.0,0.1,0.2,14.6
Gardner Minshew IIPHI,32.5,20.3,194.0,1.2,0.6,4.8,18.3,0.1,0.2,14.1
Jared GoffDET,32.7,21.0,226.4,1.2,0.8,1.3,5.4,0.1,0.2,13.5
Tyrod TaylorHOU,26.1,16.3,186.6,1.0,0.7,3.9,19.0,0.1,0.1,13.0
Mike GlennonNYG,34.0,21.0,224.0,1.0,1.0,1.5,6.1,0.0,0.2,12.6
Zach WilsonNYJ,32.5,19.5,218.5,1.0,1.4,1.7,7.0,0.1,0.2,12.3
Jalen HurtsPHI,1.0,1.0,110.2,0.6,0.3,0.0,28.6,0.3,0.2,10.7
Andy DaltonCHI,26.6,16.6,156.1,0.7,0.5,2.2,8.4,0.1,0.1,9.4
Davis MillsHOU,31.7,20.8,124.1,0.6,0.7,1.5,1.9,0.0,0.1,6.7
Jake FrommNYG,7.4,3.9,37.9,0.2,0.3,0.3,1.2,0.0,0.0,2.1
Trey LanceSF,0.6,0.4,11.8,0.0,0.0,1.6,4.7,0.1,0.0,1.5
Sam EhlingerIND,0.0,0.0,20.5,0.1,0.1,0.0,0.8,0.0,0.0,1.4
Trevor SiemianNO,2.6,1.4,15.1,0.2,0.1,0.2,1.0,0.0,0.0,1.2
Jacoby BrissettMIA,0.0,0.0,11.4,0.0,0.0,1.7,2.5,0.1,0.0,1.2
Drew LockSEA,1.4,0.9,16.7,0.1,0.1,0.3,0.6,0.0,0.0,1.1
Blaine GabbertTB,1.4,1.0,12.4,0.1,0.0,0.2,0.5,0.0,0.0,0.9
Mason RudolphPIT,1.4,0.9,9.5,0.1,0.0,0.3,1.0,0.0,0.0,0.9
Joe FlaccoNYJ,1.3,0.8,13.7,0.1,0.1,0.2,0.4,0.0,0.1,0.9
Colt McCoyARI,1.3,0.9,13.0,0.1,0.0,0.2,0.4,0.0,0.0,0.8
Chase DanielLAC,1.7,1.1,12.2,0.1,0.0,0.2,0.6,0.0,0.0,0.8
C.J. BeathardJAC,1.5,0.8,11.8,0.1,0.0,0.2,0.5,0.0,0.0,0.8
Brandon AllenCIN,1.3,0.9,11.0,0.1,0.0,0.3,0.5,0.0,0.0,0.8
Geno SmithSEA,1.2,0.8,11.1,0.1,0.0,0.2,0.6,0.0,0.0,0.8
Mitchell TrubiskyBUF,1.5,1.0,10.0,0.1,0.0,0.3,0.8,0.0,0.0,0.8
Cooper RushDAL,1.5,0.9,10.1,0.1,0.0,0.3,0.2,0.0,0.0,0.7
Kyle TraskTB,1.2,0.8,8.0,0.1,0.0,0.1,0.2,0.0,0.0,0.7
Josh RosenATL,1.5,0.9,9.1,0.1,0.1,0.2,0.7,0.0,0.0,0.7
Chad HenneKC,1.6,1.0,10.5,0.1,0.0,0.2,0.5,0.0,0.0,0.7
