player,passing_att,passing_cmp,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_td,fumbles_lost,fantasy_points,team,position,week,year
Josh Allen,35.3,22.9,252.1,2.1,0.8,7.3,39.6,0.4,0.3,23.5,BUF,QB,15,2021
Kyler Murray,32.2,22.1,268.2,1.9,0.6,7.3,31.8,0.3,0.2,22.7,ARI,QB,15,2021
Justin Herbert,39.8,26.2,299.1,2.0,0.9,4.2,23.3,0.2,0.1,22.2,LAC,QB,15,2021
Patrick Mahomes II,37.8,24.6,275.3,2.0,0.6,3.9,19.9,0.2,0.2,21.0,KC,QB,15,2021
Aaron Rodgers,36.0,23.5,291.8,2.0,0.4,1.9,7.9,0.1,0.1,20.5,GB,QB,15,2021
Dak Prescott,37.8,25.5,284.6,2.1,0.7,3.2,11.6,0.1,0.2,20.4,DAL,QB,15,2021
Jalen Hurts,25.9,15.9,187.2,1.2,0.5,9.9,56.2,0.4,0.2,19.8,PHI,QB,15,2021
Matthew Stafford,35.6,23.9,291.3,2.0,0.6,1.5,3.6,0.0,0.1,19.5,LAR,QB,15,2021
Taysom Hill,30.1,18.9,205.6,1.1,1.0,8.8,48.2,0.5,0.2,19.4,NO,QB,15,2021
Tua Tagovailoa,35.3,24.2,261.7,1.8,0.6,3.1,11.1,0.2,0.1,19.3,MIA,QB,15,2021
Kirk Cousins,34.3,23.0,268.9,2.0,0.7,2.5,6.3,0.1,0.2,18.7,MIN,QB,15,2021
Jimmy Garoppolo,31.8,21.3,254.8,1.9,0.6,1.8,4.6,0.1,0.2,17.7,SF,QB,15,2021
Justin Fields,31.5,19.1,213.7,1.2,1.0,7.8,42.6,0.2,0.3,17.1,CHI,QB,15,2021
Derek Carr,34.7,23.2,266.9,1.6,0.8,2.2,7.4,0.1,0.2,17.1,LV,QB,15,2021
Russell Wilson,31.5,20.9,236.8,1.5,0.7,3.3,15.4,0.1,0.1,16.6,SEA,QB,15,2021
Joe Burrow,32.3,20.6,255.0,1.6,1.0,1.9,8.0,0.1,0.1,16.5,CIN,QB,15,2021
Tyler Huntley,33.2,21.3,227.7,1.1,1.2,6.3,34.5,0.1,0.3,16.2,BAL,QB,15,2021
