player,passing_att,passing_cmp,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_td,fumbles_lost,fantasy_points,team,week,position
Kyler MurrayARI,33.9,23.8,285.1,2.5,0.6,7.6,41.3,0.5,0.2,27.2,ARI,7,QB
Patrick Mahomes IIKC,38.4,26.1,321.5,2.8,0.7,4.5,25.8,0.2,0.2,26.6,IKC,7,QB
Lamar JacksonBAL,32.5,21.1,252.1,1.8,0.9,9.9,58.9,0.4,0.3,24.2,BAL,7,QB
Matthew StaffordLAR,34.2,23.1,308.6,2.7,0.7,2.5,9.1,0.1,0.2,23.6,LAR,7,QB
Jalen HurtsPHI,36.9,22.6,249.6,1.4,0.9,9.0,50.4,0.6,0.2,22.8,PHI,7,QB
Aaron RodgersGB,34.4,23.5,281.4,2.4,0.5,2.3,10.3,0.1,0.1,21.6,GB,7,QB
Ryan TannehillTEN,33.0,21.4,260.8,1.8,0.8,3.6,18.7,0.3,0.2,20.3,TEN,7,QB
Derek CarrLV,36.3,24.5,292.2,1.9,0.8,2.4,8.1,0.1,0.2,19.3,LV,7,QB
Matt RyanATL,39.5,26.7,297.2,1.9,0.8,1.5,5.6,0.1,0.2,19.3,ATL,7,QB
Joe BurrowCIN,33.8,22.5,271.1,1.7,0.9,3.1,12.1,0.1,0.1,18.4,CIN,7,QB
Tua TagovailoaMIA,36.9,24.5,251.4,1.7,0.8,3.1,13.3,0.1,0.1,18.0,MIA,7,QB
Baker MayfieldCLE,30.0,17.0,246.0,2.0,1.0,3.0,8.0,0.0,0.0,17.6,CLE,7,QB
Sam DarnoldCAR,34.1,22.0,244.6,1.4,1.0,4.3,18.4,0.3,0.2,17.5,CAR,7,QB
Daniel JonesNYG,35.2,21.5,236.9,1.3,1.0,5.1,30.0,0.2,0.3,17.1,NYG,7,QB
Mac JonesNE,35.1,24.6,254.6,1.7,0.9,2.3,9.3,0.1,0.2,17.1,NE,7,QB
Taylor HeinickeWAS,35.2,22.6,236.5,1.4,1.2,4.8,23.0,0.1,0.1,16.8,WAS,7,QB
Jameis WinstonNO,30.8,19.3,232.3,1.5,1.0,4.4,19.4,0.1,0.2,16.6,NO,7,QB
Teddy BridgewaterDEN,33.3,21.3,241.8,1.6,0.7,2.9,12.3,0.1,0.2,16.6,DEN,7,QB
Jimmy GaroppoloSF,31.2,21.1,251.9,1.5,0.9,2.5,7.8,0.1,0.2,15.9,SF,7,QB
Carson WentzIND,32.4,20.2,227.1,1.4,0.8,3.2,13.4,0.1,0.2,15.5,IND,7,QB
Geno SmithSEA,32.8,20.9,232.1,1.3,1.1,2.6,12.2,0.0,0.2,14.4,SEA,7,QB
Case KeenumCLE,31.3,19.6,220.8,1.2,0.8,2.5,9.1,0.1,0.1,14.2,CLE,7,QB
Jared GoffDET,38.2,24.7,252.1,1.1,1.0,2.2,7.0,0.1,0.2,14.1,DET,7,QB
Justin FieldsCHI,30.9,19.3,203.3,1.0,1.1,4.7,20.8,0.1,0.2,13.6,CHI,7,QB
Davis MillsHOU,34.6,21.7,237.6,1.0,1.3,1.7,6.6,0.0,0.2,12.8,HOU,7,QB
Zach WilsonNYJ,31.9,19.0,218.1,1.0,1.3,1.9,8.1,0.0,0.1,12.3,NYJ,7,QB
Taysom HillNO,1.7,1.0,12.7,0.0,0.0,3.3,16.6,0.1,0.0,3.0,NO,7,QB
Nate SudfeldSF,0.0,0.0,25.2,0.1,0.1,0.0,0.7,0.0,0.0,1.4,SF,7,QB
Trey LanceSF,0.0,0.0,0.0,0.0,0.0,2.1,8.0,0.1,0.0,1.4,SF,7,QB
Jeff DriskelHOU,0.0,0.0,21.5,0.1,0.1,0.0,0.2,0.0,0.0,1.0,HOU,7,QB
Jacoby BrissettMIA,0.8,0.5,8.3,0.0,0.0,1.3,3.0,0.0,0.0,1.0,MIA,7,QB
Jordan LoveGB,1.3,0.9,16.6,0.1,0.1,0.3,0.1,0.0,0.0,1.0,GB,7,QB
Marcus MariotaLV,1.5,1.0,13.9,0.1,0.0,0.3,0.7,0.0,0.0,1.0,LV,7,QB
Josh RosenATL,1.6,1.0,11.7,0.1,0.0,0.2,0.9,0.0,0.0,1.0,ATL,7,QB
Brian HoyerNE,1.3,0.9,14.3,0.1,0.0,0.3,0.3,0.0,0.0,0.9,NE,7,QB
John WolfordLAR,1.4,0.9,13.7,0.1,0.0,0.3,0.6,0.0,0.0,0.9,LAR,7,QB
Blaine GabbertTB,1.6,1.0,14.0,0.1,0.0,0.2,0.3,0.0,0.0,0.9,TB,7,QB
Trevor SiemianNO,0.0,0.0,20.8,0.0,0.1,0.0,0.0,0.0,0.0,0.9,NO,7,QB
David BloughDET,1.4,0.9,9.3,0.1,0.0,0.2,0.8,0.0,0.0,0.9,DET,7,QB
Colt McCoyARI,1.4,1.0,13.8,0.1,0.0,0.2,0.1,0.0,0.0,0.8,CoyARI,7,QB
P.J. WalkerCAR,1.3,0.9,13.2,0.1,0.0,0.2,0.1,0.0,0.0,0.8,CAR,7,QB
Chad HenneKC,1.6,1.0,11.7,0.1,0.0,0.2,0.6,0.0,0.0,0.8,KC,7,QB
Drew LockDEN,1.4,0.8,11.9,0.1,0.1,0.3,0.6,0.0,0.0,0.8,DEN,7,QB
Tyler HuntleyBAL,1.3,0.8,13.4,0.0,0.0,0.3,1.3,0.0,0.0,0.7,BAL,7,QB
Joe FlaccoNYJ,1.4,0.9,9.5,0.1,0.0,0.2,0.6,0.0,0.0,0.7,NYJ,7,QB
Brandon AllenCIN,1.4,0.9,11.5,0.1,0.1,0.3,0.5,0.0,0.0,0.7,CIN,7,QB
Ian BookNO,0.9,0.6,6.2,0.1,0.0,0.1,0.2,0.0,0.0,0.7,NO,7,QB
Andy DaltonCHI,1.5,0.9,10.2,0.1,0.1,0.1,0.3,0.0,0.0,0.6,CHI,7,QB
Mike GlennonNYG,1.5,0.9,7.7,0.1,0.0,0.3,0.6,0.0,0.0,0.6,NYG,7,QB
Kyle AllenWAS,1.4,0.8,8.6,0.1,0.1,0.1,0.3,0.0,0.0,0.6,WAS,7,QB
