player,rushing_att,rushing_yds,rushing_td,receiving_rec,receiving_yds,receiving_td,fumbles_lost,fantasy_points,team,position,week,year
Jonathan Taylor,17.6,84.4,0.9,3.2,26.3,0.2,0.1,16.9,IND,RB,12,2021
Christian McCaffrey,15.9,70.0,0.5,5.6,48.9,0.2,0.1,16.2,CAR,RB,12,2021
Austin Ekeler,13.6,61.8,0.5,4.8,42.5,0.3,0.1,15.3,LAC,RB,12,2021
Ezekiel Elliott,17.6,75.8,0.7,3.2,23.0,0.1,0.1,14.5,DAL,RB,12,2021
D'Andre Swift,16.0,68.1,0.6,4.4,35.5,0.2,0.1,14.5,DET,RB,12,2021
Dalvin Cook,18.6,81.2,0.6,3.1,23.5,0.1,0.2,14.4,MIN,RB,12,2021
Najee Harris,18.3,72.1,0.5,3.9,30.2,0.1,0.1,14.2,PIT,RB,12,2021
Joe Mixon,17.8,75.8,0.6,2.2,18.7,0.1,0.1,13.8,CIN,RB,12,2021
David Montgomery,18.0,75.2,0.6,2.8,21.9,0.1,0.1,13.7,CHI,RB,12,2021
Nick Chubb,15.8,79.8,0.6,1.5,12.8,0.1,0.1,13.0,CLE,RB,12,2021
James Robinson,16.2,68.4,0.7,2.5,19.0,0.1,0.1,12.9,JAC,RB,12,2021
Saquon Barkley,14.0,57.9,0.5,3.7,28.0,0.1,0.1,12.0,NYG,RB,12,2021
Darrell Henderson Jr.,14.1,64.0,0.5,2.5,19.8,0.1,0.1,12.0,LAR,RB,12,2021
Cordarrelle Patterson,10.9,43.6,0.3,4.2,42.4,0.3,0.1,11.9,ATL,RB,12,2021
Antonio Gibson,15.3,60.9,0.6,1.7,13.0,0.1,0.2,10.9,WAS,RB,12,2021
Elijah Mitchell,14.2,66.1,0.5,1.2,9.8,0.0,0.1,10.9,SF,RB,12,2021
Mark Ingram II,12.4,54.0,0.3,3.7,26.0,0.2,0.1,10.8,NO,RB,12,2021
Melvin Gordon III,11.9,55.2,0.6,2.1,14.4,0.1,0.1,10.7,DEN,RB,12,2021
AJ Dillon,12.5,54.0,0.5,2.5,21.0,0.1,0.1,10.7,GB,RB,12,2021
Leonard Fournette,13.6,54.5,0.3,3.8,28.3,0.1,0.1,10.6,TB,RB,12,2021
Myles Gaskin,13.4,53.9,0.3,3.5,24.0,0.2,0.1,10.0,MIA,RB,12,2021
Damien Harris,13.2,59.6,0.6,0.9,7.2,0.0,0.1,10.0,NE,RB,12,2021
Miles Sanders,12.7,57.7,0.4,2.1,16.0,0.1,0.1,10.0,PHI,RB,12,2021
Josh Jacobs,12.5,52.0,0.3,2.9,21.3,0.1,0.1,9.5,LV,RB,12,2021
Rhamondre Stevenson,10.6,45.7,0.5,1.9,16.7,0.1,0.1,9.3,NE,RB,12,2021
Alex Collins,13.3,55.2,0.5,1.1,8.1,0.0,0.1,9.3,SEA,RB,12,2021
Devonta Freeman,9.9,44.3,0.5,2.0,15.3,0.1,0.1,9.1,BAL,RB,12,2021
Tony Jones Jr.,11.7,48.4,0.3,2.2,17.4,0.1,0.1,8.5,NO,RB,12,2021
Javonte Williams,10.4,50.6,0.2,2.1,16.1,0.1,0.1,8.4,DEN,RB,12,2021
Aaron Jones,9.7,41.1,0.3,2.5,19.5,0.1,0.1,8.2,GB,RB,12,2021
D'Onta Foreman,12.5,54.9,0.2,1.4,13.4,0.0,0.1,8.2,TEN,RB,12,2021
Kareem Hunt,7.8,35.1,0.2,3.0,25.3,0.1,0.0,8.0,CLE,RB,12,2021
Ty Johnson,8.4,33.4,0.2,3.3,29.1,0.1,0.1,7.9,NYJ,RB,12,2021
Tony Pollard,9.1,43.1,0.2,2.1,17.6,0.1,0.1,7.7,DAL,RB,12,2021
David Johnson,8.6,33.7,0.2,2.7,22.6,0.1,0.1,7.6,HOU,RB,12,2021
Tevin Coleman,10.5,43.4,0.2,1.5,11.3,0.1,0.1,7.1,NYJ,RB,12,2021
Dontrell Hilliard,8.2,29.7,0.2,3.1,25.7,0.1,0.1,6.7,TEN,RB,12,2021
Rex Burkhead,10.6,38.5,0.3,0.9,8.2,0.1,0.1,6.7,HOU,RB,12,2021
Devin Singletary,8.0,34.9,0.2,2.2,14.7,0.1,0.1,6.1,BUF,RB,12,2021
Kenyan Drake,6.1,27.2,0.2,2.4,19.3,0.1,0.1,6.0,LV,RB,12,2021
J.D. McKissic,4.6,17.9,0.1,3.7,28.1,0.1,0.1,5.6,WAS,RB,12,2021
Jeff Wilson Jr.,7.1,31.3,0.2,1.1,9.7,0.1,0.1,5.6,SF,RB,12,2021
Jamaal Williams,7.7,31.4,0.2,1.2,8.8,0.0,0.0,5.2,DET,RB,12,2021
Matt Breida,6.6,27.9,0.1,1.4,12.7,0.1,0.1,5.2,BUF,RB,12,2021
Mike Davis,7.6,26.9,0.1,2.2,14.5,0.1,0.1,5.2,ATL,RB,12,2021
Latavius Murray,7.7,30.7,0.2,0.9,6.2,0.0,0.1,5.0,BAL,RB,12,2021
Boston Scott,7.5,28.7,0.2,1.2,8.9,0.0,0.0,5.0,PHI,RB,12,2021
Sony Michel,7.1,30.6,0.2,0.9,6.8,0.0,0.0,4.9,LAR,RB,12,2021
Zack Moss,7.2,26.0,0.1,1.5,12.5,0.1,0.1,4.6,BUF,RB,12,2021
Khalil Herbert,6.4,26.0,0.2,0.9,7.6,0.0,0.1,4.4,CHI,RB,12,2021
DeeJay Dallas,5.1,18.8,0.1,1.7,13.4,0.0,0.0,4.3,SEA,RB,12,2021
Nyheim Hines,3.1,13.5,0.1,2.3,17.5,0.1,0.0,4.1,IND,RB,12,2021
Brandon Bolden,2.8,12.0,0.1,2.2,18.7,0.1,0.0,4.0,NE,RB,12,2021
Ronald Jones II,5.6,24.7,0.2,0.4,3.0,0.0,0.1,3.8,TB,RB,12,2021
Alexander Mattison,4.8,19.5,0.1,0.9,7.5,0.0,0.0,3.5,MIN,RB,12,2021
Devontae Booker,4.2,18.5,0.1,1.0,7.0,0.0,0.0,3.4,NYG,RB,12,2021
Samaje Perine,4.5,18.9,0.1,1.0,8.2,0.0,0.0,3.3,CIN,RB,12,2021
