Player,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Austin EkelerLAC,14.5,63.7,0.6,5.4,45.2,0.3,0.1,16.3
Alvin KamaraNO,15.9,67.5,0.6,4.9,43.6,0.2,0.1,15.7
Najee HarrisPIT,18.0,71.6,0.5,4.0,30.7,0.1,0.1,14.0
Joe MixonCIN,18.0,74.5,0.7,2.5,18.2,0.1,0.1,13.9
Dalvin CookMIN,16.3,76.5,0.6,2.8,22.3,0.1,0.1,13.8
Antonio GibsonWAS,17.4,74.1,0.6,3.3,24.1,0.1,0.1,13.6
Ezekiel ElliottDAL,16.7,68.0,0.6,3.4,24.4,0.1,0.1,13.4
Leonard FournetteTB,15.0,61.1,0.6,4.3,30.1,0.1,0.1,13.3
Javonte WilliamsDEN,15.2,69.3,0.5,2.7,23.4,0.2,0.1,13.0
Sony MichelLAR,17.1,73.9,0.5,2.4,18.5,0.1,0.1,12.8
Josh JacobsLV,15.0,62.0,0.5,4.2,30.3,0.1,0.1,12.7
Nick ChubbCLE,14.9,74.3,0.6,1.7,14.1,0.1,0.1,12.5
Aaron JonesGB,12.0,53.5,0.5,3.1,25.5,0.2,0.1,11.9
David MontgomeryCHI,16.1,66.5,0.5,2.8,21.1,0.1,0.1,11.8
Cordarrelle PattersonATL,12.7,57.9,0.3,3.3,31.6,0.2,0.1,11.7
James ConnerARI,15.3,57.9,0.7,1.9,15.0,0.1,0.1,11.5
James RobinsonJAC,13.8,60.2,0.5,2.6,20.0,0.1,0.1,11.4
Saquon BarkleyNYG,13.1,57.9,0.4,3.3,22.9,0.1,0.1,11.0
Clyde Edwards-HelaireKC,13.7,58.0,0.5,2.0,16.8,0.1,0.1,10.7
AJ DillonGB,12.9,54.9,0.3,2.3,19.8,0.3,0.1,10.6
D'Onta ForemanTEN,15.1,66.1,0.5,1.0,10.3,0.0,0.2,10.5
Chuba HubbardCAR,15.1,57.5,0.5,2.0,16.2,0.1,0.1,10.4
Devonta FreemanBAL,12.4,53.0,0.4,2.5,18.4,0.1,0.1,10.1
Jeff Wilson Jr.SF,13.7,57.1,0.5,1.2,10.6,0.1,0.1,9.9
Melvin Gordon IIIDEN,11.6,50.5,0.4,1.7,13.0,0.1,0.1,8.9
Rex BurkheadHOU,12.0,46.0,0.2,2.3,19.8,0.1,0.1,8.4
Kareem HuntCLE,8.5,36.4,0.3,2.4,21.8,0.1,0.0,8.0
Alex CollinsSEA,11.3,49.8,0.3,0.9,6.9,0.0,0.1,7.6
Ty JohnsonNYJ,9.8,35.3,0.2,2.8,23.7,0.1,0.1,7.5
Godwin IgwebuikeDET,8.1,40.5,0.2,2.2,18.1,0.1,0.1,7.0
Austin WalterNYJ,8.3,36.0,0.2,1.9,16.7,0.1,0.1,6.9
Dontrell HilliardTEN,8.1,35.3,0.2,2.1,18.1,0.1,0.2,6.9
Devin SingletaryBUF,9.2,39.8,0.2,2.2,14.0,0.1,0.1,6.6
Darrel WilliamsKC,6.3,24.8,0.2,2.5,22.1,0.1,0.1,6.5
Jermar JeffersonDET,10.2,39.6,0.2,1.7,13.4,0.0,0.1,6.5
Alexander MattisonMIN,8.3,32.9,0.2,1.9,16.1,0.1,0.1,6.2
Chase EdmondsARI,6.4,27.2,0.2,2.5,18.4,0.1,0.1,6.0
Rashaad PennySEA,8.8,37.4,0.2,1.0,8.4,0.0,0.0,5.8
Ameer AbdullahCAR,5.7,20.3,0.1,2.5,19.5,0.1,0.1,5.1
Mike DavisATL,6.6,24.2,0.1,2.6,17.2,0.1,0.1,5.1
Matt BreidaBUF,5.9,25.9,0.1,1.7,13.7,0.1,0.1,4.9
JaMycal HastySF,5.7,21.1,0.1,1.9,16.1,0.1,0.0,4.8
David JohnsonHOU,7.0,29.0,0.0,2.0,15.0,0.0,0.0,4.4
Latavius MurrayBAL,6.1,24.9,0.1,1.0,6.8,0.0,0.1,4.0
Royce FreemanHOU,7.0,24.8,0.1,1.1,7.6,0.0,0.1,3.9
Zack MossBUF,3.9,15.7,0.2,1.1,8.6,0.1,0.0,3.9
Samaje PerineCIN,4.9,18.7,0.1,1.2,9.4,0.0,0.0,3.6
Justin JacksonLAC,4.7,20.9,0.1,0.9,6.1,0.0,0.0,3.4
Peyton BarberLV,5.0,18.7,0.1,0.9,7.3,0.0,0.0,3.3
Carlos HydeJAC,5.2,20.5,0.1,0.8,5.4,0.0,0.0,3.3
Mekhi SargentJAC,4.2,17.0,0.1,0.9,7.4,0.0,0.0,3.3
Ronald Jones IITB,4.5,21.7,0.2,0.4,2.3,0.0,0.1,3.3
Craig ReynoldsDET,4.3,17.6,0.1,1.0,8.7,0.0,0.0,3.2
Tony Jones Jr.NO,4.4,17.5,0.1,0.9,7.4,0.0,0.0,3.1
Mark Ingram IINO,4.5,17.4,0.1,0.9,7.6,0.0,0.1,3.0
Brian HillSF,3.6,16.4,0.1,0.6,5.9,0.0,0.0,2.8
DeeJay DallasSEA,2.2,9.5,0.1,1.4,11.0,0.0,0.0,2.8
Qadree OllisonATL,4.1,15.8,0.1,0.7,5.0,0.0,0.0,2.7
Jaret PattersonWAS,3.7,14.8,0.1,0.6,5.2,0.0,0.0,2.6
Corey ClementDAL,4.3,14.1,0.1,0.7,4.9,0.0,0.1,2.5
Kyle JuszczykSF,0.6,1.9,0.0,1.6,15.9,0.1,0.0,2.3
D'Ernest JohnsonCLE,1.9,10.3,0.1,0.5,5.5,0.0,0.0,2.3
La'Mical PerineNYJ,2.6,11.6,0.1,0.5,4.1,0.0,0.0,2.2
Derrick GoreKC,1.7,11.0,0.1,0.2,1.9,0.0,0.0,2.2
Khalil HerbertCHI,3.1,12.6,0.1,0.6,4.8,0.0,0.0,2.1
Reggie BonnafonWAS,1.5,11.2,0.1,0.7,5.2,0.0,0.0,2.0
Ty MontgomeryNO,0.6,2.6,0.0,1.5,12.9,0.1,0.0,2.0
Mike BooneDEN,1.9,11.2,0.1,0.1,1.0,0.0,0.0,1.8
Damien WilliamsCHI,1.4,8.7,0.1,0.5,3.1,0.0,0.0,1.8
Nate McCraryBAL,2.2,10.1,0.1,0.2,1.9,0.0,0.0,1.8
Jonathan WilliamsWAS,1.0,7.1,0.0,0.7,5.3,0.0,0.0,1.7
Demetric FeltonCLE,0.9,3.1,0.0,0.9,9.5,0.1,0.0,1.7
Larry Rountree IIILAC,3.7,11.5,0.1,0.0,0.0,0.0,0.0,1.5
Giovani BernardTB,1.0,4.7,0.0,0.9,6.0,0.0,0.0,1.4
Benny Snell Jr.PIT,2.1,8.5,0.0,0.4,2.8,0.0,0.0,1.4
Kalen BallagePIT,2.5,7.6,0.1,0.5,2.5,0.0,0.0,1.4
Patrick Taylor Jr.GB,1.9,7.8,0.1,0.2,2.0,0.0,0.0,1.4
Eno BenjaminARI,2.1,6.5,0.1,0.3,2.7,0.0,0.0,1.2
Kene NwangwuMIN,1.5,6.3,0.0,0.4,3.2,0.0,0.0,1.2
