player,rushing_att,rushing_yds,rushing_td,receiving_rec,receiving_yds,receiving_td,lst,fantasy_points,team,position,week,year
Kareem Hunt,18.0,83.6,0.8,3.7,32.9,0.2,0.1,17.5,CLE,RB,6,2021
Derrick Henry,23.0,103.4,0.8,2.1,18.1,0.1,0.2,16.8,TEN,RB,6,2021
Najee Harris,19.7,77.1,0.7,4.8,39.7,0.2,0.1,16.6,PIT,RB,6,2021
Jonathan Taylor,17.3,82.6,0.9,2.8,24.7,0.1,0.1,16.4,IND,RB,6,2021
Austin Ekeler,14.5,63.1,0.6,5.0,44.3,0.3,0.1,15.8,LAC,RB,6,2021
Dalvin Cook,17.5,80.8,0.6,3.2,25.4,0.1,0.1,14.6,MIN,RB,6,2021
Aaron Jones,14.9,68.8,0.6,3.4,29.3,0.2,0.1,14.1,GB,RB,6,2021
James Robinson,16.6,75.3,0.6,2.8,22.3,0.1,0.1,14.1,JAC,RB,6,2021
Ezekiel Elliott,17.5,77.6,0.7,2.3,17.9,0.1,0.1,13.9,DAL,RB,6,2021
Joe Mixon,18.1,74.7,0.7,2.4,17.6,0.1,0.1,13.9,CIN,RB,6,2021
Antonio Gibson,16.0,70.2,0.7,2.1,18.9,0.1,0.1,13.5,WAS,RB,6,2021
Darrell Henderson Jr.,16.0,71.2,0.6,2.2,19.6,0.1,0.1,13.2,LAR,RB,6,2021
Chuba Hubbard,16.5,69.9,0.6,3.0,23.2,0.1,0.1,12.9,CAR,RB,6,2021
D'Andre Swift,10.6,44.4,0.4,5.4,45.2,0.3,0.1,12.5,DET,RB,6,2021
Leonard Fournette,14.7,58.1,0.5,3.6,25.7,0.1,0.1,12.0,TB,RB,6,2021
Khalil Herbert,16.4,66.7,0.6,2.0,15.5,0.1,0.1,11.7,CHI,RB,6,2021
Myles Gaskin,11.4,49.3,0.3,4.1,32.0,0.2,0.1,11.0,MIA,RB,6,2021
Josh Jacobs,15.2,58.9,0.5,2.3,16.5,0.0,0.1,10.8,LV,RB,6,2021
Melvin Gordon III,12.6,57.0,0.6,1.8,13.4,0.1,0.1,10.6,DEN,RB,6,2021
Darrel Williams,13.7,52.2,0.6,2.1,16.4,0.1,0.1,10.5,KC,RB,6,2021
Zack Moss,11.9,48.0,0.5,1.7,14.4,0.1,0.1,9.8,BUF,RB,6,2021
Alex Collins,14.0,56.7,0.4,1.6,14.1,0.0,0.1,9.8,SEA,RB,6,2021
Damien Harris,13.1,57.1,0.5,1.1,9.3,0.0,0.2,9.6,NE,RB,6,2021
Latavius Murray,12.3,53.3,0.5,1.1,7.8,0.0,0.1,9.2,BAL,RB,6,2021
Devontae Booker,12.8,49.3,0.3,2.5,17.6,0.1,0.1,9.1,NYG,RB,6,2021
Miles Sanders,10.6,44.9,0.2,2.7,21.8,0.1,0.1,8.5,PHI,RB,6,2021
Javonte Williams,10.7,47.9,0.3,2.2,17.1,0.1,0.1,8.5,DEN,RB,6,2021
Chase Edmonds,8.0,33.7,0.2,3.8,30.1,0.2,0.1,8.2,ARI,RB,6,2021
Jamaal Williams,10.9,44.1,0.2,2.3,16.4,0.1,0.1,7.9,DET,RB,6,2021
Tony Pollard,8.6,42.3,0.2,1.9,16.2,0.1,0.1,7.2,DAL,RB,6,2021
James Conner,10.3,39.0,0.4,1.0,7.8,0.0,0.1,6.8,ARI,RB,6,2021
Devin Singletary,8.6,37.4,0.2,1.8,12.9,0.1,0.1,6.4,BUF,RB,6,2021
J.D. McKissic,3.7,16.1,0.1,3.7,29.1,0.2,0.0,6.0,WAS,RB,6,2021
AJ Dillon,8.4,35.5,0.2,1.4,12.0,0.0,0.1,5.9,GB,RB,6,2021
Nyheim Hines,4.3,18.3,0.1,3.0,24.9,0.1,0.1,5.8,IND,RB,6,2021
Kenneth Gainwell,4.3,17.7,0.1,3.1,26.3,0.1,0.0,5.8,PHI,RB,6,2021
Ty'Son Williams,7.0,33.0,0.3,2.0,9.5,0.0,0.0,5.8,BAL,RB,6,2021
Samaje Perine,8.2,31.0,0.2,0.9,8.0,0.1,0.1,5.5,CIN,RB,6,2021
David Johnson,4.9,19.0,0.1,2.9,23.0,0.1,0.0,5.2,HOU,RB,6,2021
Sony Michel,7.5,31.8,0.2,0.7,5.8,0.0,0.0,5.0,LAR,RB,6,2021
Jerick McKinnon,6.1,20.2,0.1,1.9,13.7,0.1,0.0,4.8,KC,RB,6,2021
Alexander Mattison,6.9,29.6,0.1,1.3,10.6,0.1,0.1,4.8,MIN,RB,6,2021
Brandon Bolden,2.6,11.1,0.1,3.0,22.9,0.1,0.0,4.5,NE,RB,6,2021
Ronald Jones II,6.6,27.7,0.2,0.4,3.3,0.0,0.1,4.3,TB,RB,6,2021
Marlon Mack,5.2,24.7,0.1,0.5,3.8,0.0,0.0,3.8,IND,RB,6,2021
Kenyan Drake,4.5,17.5,0.1,1.6,12.2,0.0,0.0,3.7,LV,RB,6,2021
