player,receiving_rec,receiving_yds,receiving_td,fumbles_lost,fantasy_points,team,week,position
George Kittle,5.8,74.4,0.6,0.1,10.9,SF,15,TE
Travis Kelce,5.8,70.0,0.6,0.0,10.3,KC,15,TE
Rob Gronkowski,4.9,61.6,0.6,0.0,10.0,TB,15,TE
Mark Andrews,5.4,61.1,0.5,0.0,9.0,BAL,15,TE
Dallas Goedert,4.1,49.6,0.5,0.0,8.0,PHI,15,TE
Mike Gesicki,4.5,50.5,0.5,0.0,7.8,MIA,15,TE
Zach Ertz,4.0,45.6,0.5,0.0,7.8,ARI,15,TE
Dawson Knox,3.8,43.8,0.5,0.0,7.6,BUF,15,TE
Pat Freiermuth,4.0,40.5,0.5,0.0,6.8,PIT,15,TE
Kyle Pitts,4.5,55.7,0.2,0.0,6.7,ATL,15,TE
Tyler Conklin,3.7,39.8,0.2,0.0,5.3,MIN,15,TE
David Njoku,3.1,38.1,0.2,0.0,5.2,CLE,15,TE
Noah Fant,3.9,40.4,0.2,0.0,5.2,DEN,15,TE
Dalton Schultz,3.5,38.9,0.2,0.0,5.1,DAL,15,TE
Cole Kmet,3.4,36.3,0.2,0.0,4.7,CHI,15,TE
Jared Cook,2.9,33.4,0.2,0.0,4.6,LAC,15,TE
Foster Moreau,2.7,30.4,0.2,0.0,4.4,LV,15,TE
Evan Engram,3.3,34.2,0.1,0.0,4.1,NYG,15,TE
James O'Shaughnessy,3.0,32.5,0.1,0.0,4.0,JAC,15,TE
Hunter Henry,2.5,27.5,0.2,0.0,4.0,NE,15,TE
C.J. Uzomah,2.8,29.0,0.2,0.0,4.0,CIN,15,TE
Ricky Seals-Jones,2.8,29.0,0.2,0.0,3.9,WAS,15,TE
Albert Okwuegbunam,2.5,25.6,0.2,0.0,3.5,DEN,15,TE
Jack Doyle,2.4,26.3,0.1,0.0,3.5,IND,15,TE
Jonnu Smith,2.4,26.2,0.1,0.0,3.5,NE,15,TE
Brevin Jordan,2.5,25.1,0.1,0.0,3.4,HOU,15,TE
Josiah Deguara,2.2,22.8,0.2,0.0,3.3,GB,15,TE
Adam Trautman,2.2,23.3,0.2,0.0,3.2,NO,15,TE
Chris Manhertz,1.7,19.6,0.2,0.0,3.2,JAC,15,TE
Austin Hooper,2.3,19.2,0.2,0.0,3.1,CLE,15,TE
