player,receiving_rec,receiving_yds,receiving_td,lst,fantasy_points,team,position,week,year
George Kittle,6.0,78.5,0.5,0.1,11.0,SF,TE,16,2021
Mark Andrews,5.9,71.0,0.5,0.1,10.0,BAL,TE,16,2021
Rob Gronkowski,4.6,55.4,0.6,0.0,8.9,TB,TE,16,2021
Dallas Goedert,4.6,57.3,0.5,0.0,8.7,PHI,TE,16,2021
Kyle Pitts,4.7,64.0,0.2,0.0,7.8,ATL,TE,16,2021
Zach Ertz,4.5,47.5,0.5,0.0,7.5,ARI,TE,16,2021
Dawson Knox,4.0,46.4,0.3,0.0,6.3,BUF,TE,16,2021
Jared Cook,3.3,40.2,0.3,0.0,6.0,LAC,TE,16,2021
Hunter Henry,3.0,33.4,0.4,0.0,5.9,NE,TE,16,2021
Dalton Schultz,3.8,41.1,0.3,0.0,5.7,DAL,TE,16,2021
Mike Gesicki,3.9,41.8,0.2,0.0,5.3,MIA,TE,16,2021
Foster Moreau,3.3,37.2,0.3,0.0,5.2,LV,TE,16,2021
Cole Kmet,4.2,41.5,0.2,0.0,5.1,CHI,TE,16,2021
Noah Fant,3.6,37.7,0.2,0.0,4.9,DEN,TE,16,2021
Tyler Higbee,3.2,34.4,0.2,0.0,4.6,LAR,TE,16,2021
Tyler Conklin,3.5,34.8,0.2,0.0,4.6,MIN,TE,16,2021
C.J. Uzomah,2.7,29.2,0.2,0.0,4.3,CIN,TE,16,2021
Austin Hooper,3.0,30.1,0.2,0.0,4.1,CLE,TE,16,2021
James O'Shaughnessy,3.2,33.1,0.1,0.0,4.1,JAC,TE,16,2021
Evan Engram,3.3,32.8,0.1,0.0,4.0,NYG,TE,16,2021
Ricky Seals-Jones,2.9,30.1,0.2,0.0,4.0,WAS,TE,16,2021
David Njoku,2.3,29.0,0.1,0.0,3.7,CLE,TE,16,2021
Brevin Jordan,2.4,22.8,0.2,0.0,3.4,HOU,TE,16,2021
Cameron Brate,2.2,21.9,0.2,0.0,3.4,TB,TE,16,2021
Ryan Griffin,2.2,22.7,0.2,0.0,3.4,NYJ,TE,16,2021
Shane Zylstra,2.5,25.8,0.1,0.0,3.3,DET,TE,16,2021
Albert Okwuegbunam,2.4,25.0,0.1,0.0,3.3,DEN,TE,16,2021
Jack Doyle,2.3,24.3,0.1,0.0,3.3,IND,TE,16,2021
Josiah Deguara,2.2,22.7,0.2,0.0,3.3,GB,TE,16,2021
Nick Vannett,2.3,25.5,0.1,0.0,3.2,NO,TE,16,2021
Noah Gray,2.1,23.1,0.1,0.0,3.2,KC,TE,16,2021
Jonnu Smith,2.1,22.2,0.1,0.0,3.1,NE,TE,16,2021
Dan Arnold,2.0,24.9,0.1,0.1,2.9,JAC,TE,16,2021
Hayden Hurst,1.8,18.9,0.2,0.0,2.8,ATL,TE,16,2021
Brock Wright,2.0,20.5,0.1,0.0,2.8,DET,TE,16,2021
Tyler Kroft,1.8,19.5,0.1,0.0,2.7,NYJ,TE,16,2021
Zach Gentry,2.1,20.8,0.1,0.0,2.6,PIT,TE,16,2021
Marcedes Lewis,1.7,18.9,0.1,0.0,2.5,GB,TE,16,2021
Mo Alie-Cox,1.6,18.0,0.1,0.0,2.5,IND,TE,16,2021
Jordan Akins,1.9,20.2,0.1,0.0,2.5,HOU,TE,16,2021
Pharaoh Brown,1.9,19.5,0.1,0.0,2.4,HOU,TE,16,2021
Luke Farrell,1.8,16.6,0.1,0.0,2.3,JAC,TE,16,2021
Geoff Swaim,1.8,16.7,0.1,0.0,2.3,TEN,TE,16,2021
Tommy Tremble,1.6,16.7,0.1,0.0,2.2,CAR,TE,16,2021
Kyle Rudolph,1.7,16.0,0.1,0.0,2.1,NYG,TE,16,2021
John Bates,1.6,17.7,0.1,0.0,2.1,WAS,TE,16,2021
Will Dissly,1.3,14.6,0.1,0.0,2.0,SEA,TE,16,2021
Anthony Firkser,1.6,15.8,0.1,0.0,2.0,TEN,TE,16,2021
Adam Trautman,1.5,15.5,0.1,0.0,2.0,NO,TE,16,2021
Blake Bell,1.3,12.8,0.1,0.0,1.9,KC,TE,16,2021
Durham Smythe,1.6,14.9,0.1,0.0,1.9,MIA,TE,16,2021
Stephen Anderson,1.2,12.9,0.1,0.0,1.9,LAC,TE,16,2021
MyCole Pruitt,1.1,10.8,0.1,0.0,1.9,TEN,TE,16,2021
Jimmy Graham,1.3,13.7,0.1,0.0,1.8,CHI,TE,16,2021
Jesse James,1.4,12.3,0.1,0.0,1.8,CHI,TE,16,2021
Chris Manhertz,1.0,11.2,0.1,0.0,1.8,JAC,TE,16,2021
O.J. Howard,1.2,13.8,0.1,0.0,1.8,TB,TE,16,2021
Ian Thomas,1.4,13.2,0.1,0.0,1.7,CAR,TE,16,2021
Harrison Bryant,1.2,12.8,0.1,0.0,1.6,CLE,TE,16,2021
Kevin Rader,1.2,12.4,0.1,0.0,1.6,PIT,TE,16,2021
Nakia Griffin-Stewart,0.8,9.4,0.1,0.0,1.5,KC,TE,16,2021
Tre' McKitty,0.9,9.8,0.1,0.0,1.5,LAC,TE,16,2021
Tyree Jackson,0.7,9.0,0.1,0.0,1.5,PHI,TE,16,2021
Jacob Hollister,1.0,8.5,0.1,0.0,1.4,JAC,TE,16,2021
Jesper Horsted,0.6,6.5,0.1,0.0,1.3,CHI,TE,16,2021
Kendall Blanton,0.8,8.8,0.1,0.0,1.2,LAR,TE,16,2021
Chris Herndon IV,0.7,6.1,0.1,0.1,1.1,MIN,TE,16,2021
Daniel Helm,0.9,8.7,0.0,0.0,1.1,ATL,TE,16,2021
Adam Shaheen,0.9,8.5,0.0,0.0,1.0,MIA,TE,16,2021
Travis Kelce,1.0,10.0,0.0,0.0,1.0,KC,TE,16,2021
Kylen Granson,0.7,7.3,0.0,0.0,0.9,IND,TE,16,2021
Brycen Hopkins,0.5,6.1,0.1,0.0,0.9,LAR,TE,16,2021
Nick Boyle,0.6,6.0,0.1,0.0,0.9,BAL,TE,16,2021
Dominique Dafney,0.5,5.6,0.1,0.0,0.9,GB,TE,16,2021
Colby Parkinson,0.6,6.2,0.0,0.0,0.9,SEA,TE,16,2021
Jeremy Sprinkle,0.5,5.1,0.1,0.0,0.8,DAL,TE,16,2021
Nick Bowers,0.8,8.0,0.0,0.0,0.8,LV,TE,16,2021
Drew Sample,0.6,5.9,0.0,0.0,0.8,CIN,TE,16,2021
Antony Auclair,0.5,4.5,0.1,0.0,0.8,HOU,TE,16,2021
Ross Dwelley,0.4,4.2,0.1,0.0,0.7,SF,TE,16,2021
Jack Stoll,0.5,7.0,0.0,0.0,0.7,PHI,TE,16,2021
Ethan Wolf,0.5,6.0,0.0,0.0,0.6,NO,TE,16,2021
Eric Saubert,0.4,3.0,0.1,0.0,0.6,DEN,TE,16,2021
Demetrius Harris,0.4,4.4,0.0,0.0,0.6,ARI,TE,16,2021
Hunter Long,0.5,5.0,0.0,0.0,0.5,MIA,TE,16,2021
Charlie Woerner,0.4,4.3,0.0,0.0,0.4,SF,TE,16,2021
Trevon Wesco,0.4,4.1,0.0,0.0,0.4,NYJ,TE,16,2021
Sean McKeon,0.3,4.0,0.0,0.0,0.4,DAL,TE,16,2021
Josh Oliver,0.4,3.7,0.0,0.0,0.4,BAL,TE,16,2021
Eric Tomlinson,0.4,3.5,0.0,0.0,0.4,BAL,TE,16,2021
Chris Myarick,0.3,3.0,0.0,0.0,0.3,NYG,TE,16,2021
Reggie Gilliam,0.4,2.8,0.0,0.0,0.3,BUF,TE,16,2021
Daniel Brown,0.2,2.0,0.0,0.0,0.2,NYJ,TE,16,2021
Tyler Mabry,0.2,2.0,0.0,0.0,0.2,SEA,TE,16,2021
Cethan Carter,0.2,2.0,0.0,0.0,0.2,MIA,TE,16,2021
Darrell Daniels,0.2,2.0,0.0,0.0,0.2,ARI,TE,16,2021
J.P. Holtz,0.2,2.0,0.0,0.0,0.2,CHI,TE,16,2021
Mitchell Wilcox,0.1,1.0,0.0,0.0,0.1,CIN,TE,16,2021
Luke Stocker,0.1,1.0,0.0,0.0,0.1,MIN,TE,16,2021
Giovanni Ricci,0.1,0.3,0.0,0.0,0.0,CAR,TE,16,2021
