Player,REC,YDS,TDS,FL,FPTS
Travis KelceKC,6.9,88.4,0.8,0.1,13.5
Darren WallerLV,7.0,83.3,0.6,0.1,12.0
George KittleSF,5.2,64.9,0.5,0.1,9.5
Mark AndrewsBAL,4.8,58.8,0.6,0.0,9.5
T.J. HockensonDET,5.6,63.2,0.5,0.1,9.3
Rob GronkowskiTB,3.7,46.2,0.6,0.0,8.4
Noah FantSEA,4.5,51.4,0.5,0.0,7.9
Kyle PittsATL,4.6,52.9,0.4,0.0,7.6
Tyler HigbeeLAR,4.0,44.6,0.4,0.0,6.9
Logan ThomasWAS,4.2,42.7,0.4,0.0,6.7
Jared CookLAC,3.5,43.9,0.3,0.0,6.4
Robert TonyanGB,3.3,37.0,0.4,0.0,5.8
Dallas GoedertPHI,3.5,39.8,0.3,0.0,5.8
Austin HooperCLE,3.4,35.4,0.2,0.0,5.0
Mike GesickiMIA,2.8,34.1,0.2,0.0,4.7
Hunter HenryNE,2.9,34.4,0.2,0.0,4.7
Jonnu SmithNE,3.0,32.7,0.2,0.0,4.5
Dawson KnoxBUF,2.6,29.8,0.2,0.0,4.5
Cole KmetCHI,3.1,32.4,0.2,0.0,4.4
Blake JarwinDAL,2.6,29.9,0.2,0.0,4.0
Dalton SchultzDAL,3.0,29.5,0.2,0.0,3.9
Evan EngramNYG,2.8,28.9,0.2,0.0,3.8
David NjokuCLE,2.1,26.8,0.2,0.0,3.6
Anthony FirkserTEN,2.0,24.0,0.2,0.0,3.6
Dan ArnoldJAC,2.0,25.3,0.2,0.0,3.6
Hayden HurstATL,2.6,25.9,0.2,0.0,3.5
Tyler ConklinMIN,2.6,27.1,0.1,0.0,3.5
C.J. UzomahCIN,2.6,26.2,0.1,0.0,3.3
Pat FreiermuthPIT,2.3,25.4,0.1,0.0,3.3
Adam TrautmanNO,2.2,25.3,0.1,0.0,3.3
Maxx WilliamsARI,2.0,23.3,0.1,0.0,3.2
Pharaoh BrownHOU,2.2,24.7,0.1,0.0,3.2
Juwan JohnsonNO,1.9,22.8,0.1,0.0,3.1
Albert OkwuegbunamDEN,2.2,22.9,0.2,0.1,3.1
James O'ShaughnessyJAC,3.0,30.0,0.0,0.0,3.0
Zach ErtzARI,2.0,22.1,0.1,0.0,2.9
Will DisslySEA,1.7,17.9,0.2,0.0,2.7
Tyler KroftNYJ,2.0,19.8,0.1,0.0,2.7
Luke FarrellJAC,1.7,18.5,0.1,0.0,2.6
Harrison BryantCLE,1.6,18.1,0.1,0.0,2.6
Jordan AkinsHOU,1.8,18.7,0.1,0.0,2.4
Mo Alie-CoxIND,1.5,17.8,0.1,0.0,2.3
Chris ManhertzJAC,1.5,17.1,0.1,0.0,2.2
Geoff SwaimTEN,1.5,14.0,0.1,0.0,2.0
MyCole PruittTEN,1.3,14.7,0.1,0.0,2.0
Tommy HudsonTEN,1.2,12.5,0.1,0.0,2.0
O.J. HowardTB,1.1,15.2,0.1,0.0,2.0
Tommy TrembleCAR,1.0,10.9,0.1,0.0,1.7
Donald Parham Jr.LAC,1.1,12.9,0.1,0.0,1.6
Ryan GriffinNYJ,1.2,12.9,0.0,0.0,1.6
Jimmy GrahamCHI,1.0,12.6,0.1,0.0,1.6
Ian ThomasCAR,1.1,10.8,0.1,0.0,1.5
Giovanni RicciCAR,0.8,8.3,0.1,0.0,1.4
Cameron BrateTB,0.8,8.7,0.1,0.0,1.3
Foster MoreauLV,0.7,7.6,0.1,0.0,1.2
Drew SampleCIN,1.2,10.4,0.0,0.0,1.2
Derek CarrierLV,0.7,7.2,0.1,0.0,1.2
Marcedes LewisGB,0.8,8.7,0.0,0.0,1.1
Hunter LongMIA,1.1,10.4,0.0,0.1,1.1
Josh OliverBAL,0.8,8.2,0.0,0.0,1.1
Noah GrayKC,0.8,7.8,0.1,0.0,1.1
Eric SaubertDEN,0.8,7.0,0.1,0.0,1.0
Dominique DafneyGB,0.7,7.2,0.1,0.0,1.0
Ricky Seals-JonesWAS,0.7,8.6,0.0,0.1,1.0
Chris Herndon IVMIN,0.7,7.6,0.0,0.0,1.0
Stephen AndersonLAC,0.8,7.7,0.0,0.0,1.0
Durham SmytheMIA,0.8,7.3,0.0,0.0,0.9
Ben EllefsonMIN,0.6,5.6,0.1,0.0,0.9
