player,receiving_rec,receiving_yds,receiving_td,fumbles_lost,fantasy_points,team,position,week,year
Travis Kelce,7.0,86.8,0.8,0.1,13.1,KC,TE,7,2021
Darren Waller,7.8,86.3,0.8,0.1,13.0,LV,TE,7,2021
Mark Andrews,5.5,70.3,0.6,0.1,10.4,BAL,TE,7,2021
Kyle Pitts,4.8,59.4,0.4,0.0,8.5,ATL,TE,7,2021
Mike Gesicki,4.9,56.3,0.5,0.0,8.5,MIA,TE,7,2021
Dallas Goedert,4.3,49.4,0.5,0.0,7.9,PHI,TE,7,2021
T.J. Hockenson,4.9,52.3,0.4,0.0,7.5,DET,TE,7,2021
Tyler Higbee,3.7,44.0,0.5,0.0,7.4,LAR,TE,7,2021
Hunter Henry,3.7,40.8,0.5,0.0,7.0,NE,TE,7,2021
Noah Fant,4.5,47.6,0.3,0.0,6.6,DEN,TE,7,2021
Ricky Seals-Jones,3.4,39.3,0.4,0.0,6.4,WAS,TE,7,2021
Zach Ertz,3.3,36.3,0.4,0.0,5.9,ARI,TE,7,2021
O.J. Howard,2.7,33.5,0.2,0.0,4.8,TB,TE,7,2021
Robert Tonyan,2.8,30.7,0.3,0.0,4.7,GB,TE,7,2021
Foster Moreau,2.5,26.6,0.3,0.0,4.7,LV,TE,7,2021
Evan Engram,3.3,35.8,0.2,0.1,4.4,NYG,TE,7,2021
C.J. Uzomah,2.6,27.2,0.2,0.0,3.9,CIN,TE,7,2021
Cole Kmet,3.1,29.6,0.1,0.0,3.8,CHI,TE,7,2021
Jonnu Smith,2.4,24.9,0.2,0.0,3.7,NE,TE,7,2021
Cameron Brate,2.4,24.3,0.2,0.0,3.7,TB,TE,7,2021
Mo Alie-Cox,2.2,25.8,0.2,0.0,3.6,IND,TE,7,2021
Anthony Firkser,2.3,26.4,0.1,0.0,3.5,TEN,TE,7,2021
Ross Dwelley,2.2,24.1,0.2,0.0,3.4,SF,TE,7,2021
Austin Hooper,2.6,25.1,0.1,0.0,3.4,CLE,TE,7,2021
David Njoku,2.0,23.7,0.1,0.0,3.0,CLE,TE,7,2021
Adam Trautman,1.8,21.8,0.1,0.0,3.0,NO,TE,7,2021
Hayden Hurst,2.2,23.2,0.1,0.0,3.0,ATL,TE,7,2021
Ian Thomas,1.8,19.2,0.1,0.0,2.7,CAR,TE,7,2021
Durham Smythe,1.9,19.3,0.1,0.0,2.6,MIA,TE,7,2021
Tommy Tremble,1.7,17.5,0.1,0.0,2.6,CAR,TE,7,2021
Jordan Akins,2.1,21.2,0.1,0.0,2.5,HOU,TE,7,2021
Juwan Johnson,1.6,17.8,0.1,0.0,2.5,NO,TE,7,2021
