player,receiving_rec,receiving_yds,receiving_td,rushing_att,rushing_yds,rushing_td,lst,fantasy_points,team,position,week,year
Cooper Kupp,8.7,111.8,0.8,0.0,0.1,0.0,0.0,15.8,LAR,WR,15,2021
Davante Adams,7.7,106.2,0.8,0.0,0.0,0.0,0.0,15.3,GB,WR,15,2021
Justin Jefferson,6.9,101.5,0.8,0.4,2.0,0.0,0.0,15.1,MIN,WR,15,2021
Deebo Samuel,3.8,55.5,0.3,6.4,36.1,0.5,0.1,13.5,SF,WR,15,2021
Tyreek Hill,6.2,77.5,0.7,0.8,4.9,0.0,0.0,12.3,KC,WR,15,2021
Diontae Johnson,6.9,83.0,0.6,0.4,2.4,0.0,0.1,12.0,PIT,WR,15,2021
Hunter Renfrow,7.3,79.8,0.5,0.1,0.8,0.0,0.1,11.2,LV,WR,15,2021
Mike Evans,5.0,71.6,0.7,0.0,0.2,0.0,0.0,11.1,TB,WR,15,2021
Stefon Diggs,5.9,74.5,0.6,0.0,0.2,0.0,0.0,11.1,BUF,WR,15,2021
CeeDee Lamb,5.5,72.0,0.5,0.7,4.3,0.0,0.0,11.0,DAL,WR,15,2021
Ja'Marr Chase,4.9,71.4,0.6,0.6,3.0,0.0,0.0,10.8,CIN,WR,15,2021
Cordarrelle Patterson,2.9,31.9,0.2,10.4,43.2,0.4,0.2,10.4,ATL,WR,15,2021
D.K. Metcalf,5.1,70.0,0.6,0.0,0.2,0.0,0.0,10.4,SEA,WR,15,2021
Tee Higgins,5.0,71.9,0.5,0.0,0.1,0.0,0.0,10.1,CIN,WR,15,2021
Chris Godwin,5.8,67.0,0.5,0.4,1.6,0.0,0.1,10.1,TB,WR,15,2021
Mike Williams,4.8,67.4,0.5,0.0,0.0,0.0,0.0,9.9,LAC,WR,15,2021
Odell Beckham Jr.,4.3,62.1,0.6,0.2,1.5,0.0,0.1,9.8,LAR,WR,15,2021
Brandon Aiyuk,4.6,60.0,0.6,0.5,3.0,0.0,0.0,9.7,SF,WR,15,2021
DeVante Parker,5.1,66.5,0.5,0.0,0.0,0.0,0.0,9.7,MIA,WR,15,2021
Keenan Allen,6.6,74.6,0.3,0.0,0.1,0.0,0.1,9.4,LAC,WR,15,2021
Brandin Cooks,5.4,65.8,0.4,0.3,2.0,0.0,0.0,9.4,HOU,WR,15,2021
Amari Cooper,4.7,61.9,0.5,0.0,0.2,0.0,0.0,9.3,DAL,WR,15,2021
Christian Kirk,4.3,61.4,0.5,0.1,0.5,0.0,0.0,9.2,ARI,WR,15,2021
DJ Moore,4.8,63.8,0.4,0.5,2.6,0.0,0.0,9.1,CAR,WR,15,2021
Michael Pittman Jr.,4.7,60.6,0.5,0.4,2.5,0.0,0.0,9.1,IND,WR,15,2021
Darnell Mooney,4.4,61.1,0.4,0.1,1.1,0.0,0.0,9.1,CHI,WR,15,2021
Terry McLaurin,4.6,60.1,0.5,0.0,0.3,0.0,0.0,8.7,WAS,WR,15,2021
Julio Jones,4.1,59.7,0.4,0.0,0.0,0.0,0.0,8.4,TEN,WR,15,2021
A.J. Green,3.8,55.7,0.5,0.0,0.1,0.0,0.0,8.4,ARI,WR,15,2021
Michael Gallup,4.1,55.7,0.5,0.0,0.0,0.0,0.0,8.3,DAL,WR,15,2021
K.J. Osborn,4.0,53.1,0.5,0.0,0.3,0.0,0.0,8.2,MIN,WR,15,2021
Jerry Jeudy,4.2,56.1,0.4,0.2,0.6,0.0,0.0,8.0,DEN,WR,15,2021
Marquise Brown,5.2,63.7,0.3,0.0,0.2,0.0,0.0,8.0,BAL,WR,15,2021
Chase Claypool,4.1,59.1,0.2,1.0,5.3,0.0,0.0,7.9,PIT,WR,15,2021
Cole Beasley,4.8,51.0,0.5,0.0,0.0,0.0,0.0,7.8,BUF,WR,15,2021
Jamison Crowder,4.3,48.8,0.4,0.0,0.2,0.0,0.0,7.2,NYJ,WR,15,2021
Van Jefferson,3.8,52.6,0.3,0.0,0.6,0.0,0.0,7.1,LAR,WR,15,2021
DeVonta Smith,4.0,54.5,0.3,0.0,0.0,0.0,0.0,7.1,PHI,WR,15,2021
Donovan Peoples-Jones,3.6,56.6,0.2,0.0,0.0,0.0,0.0,7.0,CLE,WR,15,2021
Russell Gage,4.9,55.7,0.2,0.0,0.2,0.0,0.0,6.7,ATL,WR,15,2021
Marquez Valdes-Scantling,3.0,51.7,0.2,0.0,0.2,0.0,0.0,6.6,GB,WR,15,2021
Kenny Golladay,3.7,55.2,0.2,0.0,0.0,0.0,0.0,6.5,NYG,WR,15,2021
